region_schema,region_parent,region_child,agerange,2020-06-28,2020-06-30,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30
tr_nuts1,tr,tr1,,108749,108749,110899,112791,114490,115907,117043,118182,119064,119967,121179
tr_nuts1,tr,tr2,,2834,2834,2887,2938,2989,3042,3112,3173,3246,3315,3379
tr_nuts1,tr,tr3,,12926,12926,13505,13961,14359,14883,15316,15839,16272,16749,17353
tr_nuts1,tr,tr4,,21626,21626,22437,23059,23614,24122,24588,25090,25614,26157,26791
tr_nuts1,tr,tr5,,15181,15181,16493,17557,18548,19469,20579,21999,23598,25213,27487
tr_nuts1,tr,tr6,,5184,5184,5600,6034,6419,6823,7285,7904,8639,9311,10115
tr_nuts1,tr,tr7,,3010,3010,3187,3402,3633,3929,4319,4886,5584,6647,7957
tr_nuts1,tr,tr8,,4746,4746,4931,5150,5324,5513,5727,6102,6547,7033,7616
tr_nuts1,tr,tr9,,1949,1949,2028,2105,2225,2357,2514,2771,3058,3360,3643
tr_nuts1,tr,tra,,2176,2176,2328,2448,2630,2890,3158,3512,3970,4486,4977
tr_nuts1,tr,trb,,3090,3090,3411,3696,3938,4193,4494,4933,5561,6235,7023
tr_nuts1,tr,trc,,16813,16813,19141,20888,22489,23979,25725,27417,29160,30780,32030
