region_schema,region_parent,region_child,agerange,2020-01-24,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-05,2020-02-06,2020-02-07,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-03-02,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-22,2020-04-23,2020-05-14,2020-05-15,2020-05-22,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-13,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-10-08
admin_0,,hk,,1,-9,1,14,1,-2,4,25,5,-3,3,-5,54,-58,70,-59,-8,-73,90,-78,-14,3,22,122,7,3,3,13,174,-184,-24,42,191,-207,240,-214,4,6,33,429,-506,62,4,682,106,75,-796,-75,48,157,-184,66,192,5,-206,-32,22,36,219,-52,4,-182,1279,-1044,1050,-1095,1104,-1058,41,4,2,28,1,3,-1112,-229,1,-124,177,181,50,1389,1,-122,1578,-1224,-211,38,1448,-1623,1640,-1219,-285,1511,-1478,264,-422,367,-208,5,272,-267,1651,-1788,120,4,260,8,1899,-2082,2293,-2362,-154,3058,-2556,2827,-2774,-388,417,-537,170,9,581,-98,119,-548,7,648,28,-693,729,-722,662,-841,875,-626,-52,715,-642,703,8,-703,765,13,-47,-18,-969,1009,-806,808,59,6079,-6937,821,50,-35,1,-830,838,-763,760,-3,-750,762,6,6334,-6331,-1,41,-33,5,4,-778,784,6446,-6416,3,-25,-6,6493,4,-6494,-34
hk_district,hk,central & western,,,1,,,,,,,,,,,,,,,,,,,1,,,,1,,,1,,,1,,,3,2,21,18,25,9,13,14,19,7,19,11,25,21,7,9,8,2,8,3,6,4,3,7,7,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,4,10,11,5,5,4,4,5,3,6,9,15,2,2,8,14,3,13,11,11,3,1,5,3,1,12,2,6,3,2,3,,,1,,,,1,1,4,2,4,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hk_district,hk,eastern,,,,,,,,,,,,,,,4,1,3,,5,3,6,4,4,,1,,,,,,,,,,,,,,,1,7,4,3,1,2,3,5,,,2,9,3,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,2,,,4,3,3,7,4,3,7,8,6,3,15,12,10,17,11,5,4,5,1,3,9,1,4,5,,,,8,4,1,4,,,,,,,5,11,,,5,2,1,,,,,,,,,,,,,,,3,,,,,,,,,,,,,
hk_district,hk,kowloon,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,5,1,2,7,3,1,3,4,3,9,,,4,6,3,2,2,4,2,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,7,1,4,5,2,,,4,19,8,9,6,24,22,24,15,13,11,7,21,34,27,20,20,21,20,19,12,4,8,13,6,5,12,7,5,4,10,3,5,2,6,2,6,4,1,8,3,4,2,3,,,,,,2,7,,,,,,,,1,2,,,,,,,,,3,,,
hk_district,hk,kwai tsing,,,,,,,1,1,,,2,1,,,,,,,,,,,,,,,,,,,2,2,3,,,,,,2,3,2,6,,,3,1,2,1,3,,,3,2,1,2,,,1,1,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,,,,,,3,5,1,7,18,15,5,13,11,10,16,14,22,12,9,21,20,25,19,18,10,10,6,14,15,10,8,8,11,7,9,4,21,4,,,,,2,1,,,3,1,,,,,,,,,,,4,,,,,,6,,,,,,,,,,,,,
hk_district,hk,kwun tong,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1,1,,,,9,2,9,2,4,7,,,1,2,1,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,4,4,8,6,12,6,7,3,15,17,22,45,15,12,20,6,13,33,23,34,33,18,26,28,24,21,15,16,12,14,9,6,10,7,6,20,11,1,10,4,4,3,3,3,4,1,4,,,1,2,3,13,2,,,,,2,1,,,,,2,,,,,,,,2,,,,,,,,
hk_district,hk,sai kung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,4,4,3,,,,,1,4,2,2,1,2,3,6,1,1,4,2,2,2,3,2,1,4,3,4,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hk_district,hk,sha tin,,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,,,3,2,,,,6,3,3,1,2,3,2,,,1,3,,,,1,1,1,,,,,,,,,,,,,,2,18,,,,,1,,,,,,,,,,,,,,3,,,,,,,,,31,1,6,8,4,4,11,9,4,12,12,11,14,23,17,16,19,11,15,5,25,17,10,35,17,21,6,8,9,2,7,2,2,6,18,2,5,8,3,5,2,5,4,2,1,,,,2,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,
hk_district,hk,sham shui po,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,,,2,7,2,1,4,3,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,11,11,16,3,20,7,7,15,22,10,26,18,17,17,10,29,1,19,14,20,6,16,19,10,13,20,11,17,6,12,3,8,20,10,3,9,6,1,3,5,1,2,2,3,4,,,,,,,,,,3,,,,,,,,1,8,8,,,1,,,,,,,,,
hk_district,hk,tsuen wan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,2,,,,,1,2,2,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,3,,,,,,7,4,3,5,11,10,3,7,15,4,10,11,13,10,5,7,2,6,4,1,6,14,1,3,8,6,2,,,2,8,,,1,4,5,,,11,2,1,6,3,2,2,4,1,,,,4,1,,,,,2,2,,,,,,,,,,,,
hk_district,hk,unknown,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,4,2,1,,,6,4,,,7,4,2,,,,1,3,1,1,5,3,3,1,2,4,,,2,2,,,1,,3,,,,1,3,,,,3,3,1,1,,4,3,1,3,29,16,2,14,3,1,2,3,,,9,5,7,8,15,3,3,5,5,11,7,12,7,2,5,10,2,28,4,2,9,10,18,11,27,9,4,6,9,4,3,2,,,4,6,7,2,9,7,3,1,4,4,5,4,13,2,2,3,9,1,2,1,2,2,6,2,1,5,1,1,,,1,,,1,1,2,9,8,4,8,1,4,2,3,,,12,2,1,,,1,
hk_district,hk,wan chai,,,,,,,,,,1,1,,,,,,,,,,7,2,,,,2,2,,,,,,1,3,2,2,9,4,15,3,9,8,13,7,26,19,11,14,14,3,8,8,11,5,8,3,12,5,3,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,4,2,6,6,5,1,4,6,10,3,14,8,7,16,8,10,17,10,10,6,8,,,11,3,8,3,3,1,1,3,5,5,2,5,2,1,5,3,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
hk_district,hk,wong tai sin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-5,,,,,,,,,2,1,,,,,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,39,23,19,20,41,49,19,58,54,51,59,38,24,39,35,33,28,17,31,28,27,11,19,23,21,10,15,13,18,13,4,2,14,2,7,7,6,3,5,2,6,,,,,1,,,,,,,,,,,3,,,5,2,,,,,,,,,,,,,,,,,,,
hk_district,hk,yau tsim mong,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,6,6,6,9,5,7,6,4,12,27,34,15,10,14,15,14,10,7,2,1,2,7,6,4,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,11,5,5,5,4,19,5,2,12,9,38,37,21,18,22,43,26,31,29,23,19,20,19,16,26,11,13,32,14,11,12,24,18,7,12,6,9,8,6,5,2,2,14,9,10,10,12,1,10,7,1,6,3,,,2,4,4,10,5,9,1,,,2,4,2,3,2,,,3,5,1,5,,,,,,1
