region_schema,region_parent,region_child,agerange,2020-05-03,2020-06-10,2020-06-30,2020-07-02,2020-07-06,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-24,2020-08-31,2020-09-07,2020-09-14,2020-09-21,2020-09-28,2020-10-05,2020-10-12,2020-12-22,2020-12-23,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02
pt_municipality,pt,abrantes,,,,25,,29,29,29,29,29,29,29,29,29,29,29,29,31,31,31,31,31,31,31,33,33,33,36,36,36,36,36,36,36,37,39,41,43,48,51,55,57,58,69,94,94,94,94,94,94,100,100,100,100,100
pt_municipality,pt,aguiar da beira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,24,29,30,33,50,50,50,50,50,50,25,25,25,25,25
pt_municipality,pt,alandroal,,,,,,,3,3,3,3,,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,6,6,5,18,18,18,18,18,18,18,18,18,18,18,18
pt_municipality,pt,albergaria-a-velha,,,,95,,95,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,92,92,92,96,96,96,96,96,96,96,97,97,98,98,99,101,102,106,115,157,125,125,125,125,125,125,100,100,100,100,100
pt_municipality,pt,albufeira,,,,121,,125,127,127,127,127,135,135,135,135,135,135,135,141,141,141,141,141,141,141,154,154,154,157,157,157,157,157,157,157,164,173,181,187,204,227,258,292,326,98,82,82,82,82,82,82,77,77,77,77,77
pt_municipality,pt,alcanena,,,,16,,16,17,17,17,17,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,20,21,22,24,26,28,41,34,34,34,34,34,34,29,29,29,29,29
pt_municipality,pt,alcobaça,,,,105,,106,106,106,106,106,106,106,106,106,106,106,106,105,105,105,105,105,105,105,112,112,112,129,129,129,129,129,129,129,142,149,152,156,174,182,185,199,223,103,86,86,86,86,86,86,118,118,118,118,118
pt_municipality,pt,alcochete,,,,28,,28,32,32,32,32,33,33,33,33,33,33,33,34,34,34,34,34,34,34,34,34,34,40,40,40,40,40,40,40,44,46,47,50,58,67,71,78,95,89,93,93,93,93,93,93,105,105,105,105,105
pt_municipality,pt,alcoutim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,10,1,0,0,0,0,0,0,0,0,0,0,0
pt_municipality,pt,alcácer do sal,,,,9,,11,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,14,14,19,19,19,19,19,19,19,19,24,45,45,48,50,51,54,54,47,40,40,40,40,40,40,21,21,21,21,21
pt_municipality,pt,alenquer,,,,149,,159,194,194,194,194,215,215,215,215,215,215,215,221,221,221,221,221,221,221,225,225,225,245,245,245,245,245,245,245,256,260,271,277,285,295,311,342,380,296,328,328,328,328,328,328,325,325,325,325,325
pt_municipality,pt,alfândega da fé,,,,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,6,10,31,30,30,30,30,30,30,62,62,62,62,62
pt_municipality,pt,alijó,,,,5,,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,6,6,7,8,8,8,14,44,33,33,33,33,33,33,45,45,45,45,45
pt_municipality,pt,aljezur,,,,,,,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,9,9,9,9,5,7,7,7,7,7,7,8,8,8,8,8
pt_municipality,pt,aljustrel,,,,3,,3,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,6,5,4,6,6,1,1,1,1,1,1,1,3,3,3,3,3
pt_municipality,pt,almada,,,,588,,624,714,714,714,714,774,774,774,774,774,774,774,819,819,819,819,819,819,819,844,844,844,869,869,869,869,869,869,869,896,923,967,1000,1066,1153,1250,1393,1485,925,962,962,962,962,962,962,908,908,908,908,908
pt_municipality,pt,almeida,,,,6,,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,9,10,12,16,35,35,35,35,35,35,36,36,36,36,36
pt_municipality,pt,almeirim,,,,33,,33,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,36,36,36,36,36,36,36,37,37,36,39,40,41,46,48,48,58,53,53,53,53,53,53,55,55,55,55,55
pt_municipality,pt,almodôvar,,,,7,,7,8,8,8,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,8,11,11,11,11,11,11,6,6,6,6,6
pt_municipality,pt,alpiarça,,,,13,,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,16,16,15,15,18,18,18,18,18,3,8,8,8,8,8,8,9,9,9,9,9
pt_municipality,pt,alter do chão,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,10,35,35,35,35,35,35,38,38,38,38,38
pt_municipality,pt,alvaiázere,,,,25,,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,27,11,10,10,10,10,10,10,12,12,12,12,12
pt_municipality,pt,alvito,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,4,4,4,4,4
pt_municipality,pt,amadora,,,,1697,,1780,1989,1989,1989,1989,2090,2090,2090,2090,2090,2090,2090,2185,2185,2185,2185,2185,2185,2185,2262,2262,2262,2299,2299,2299,2299,2299,2299,2299,2350,2411,2494,2586,2741,2914,3038,3149,3268,733,709,709,709,709,709,709,731,731,731,731,731
pt_municipality,pt,amarante,,,,102,,102,102,102,102,102,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,105,105,105,105,105,105,105,108,111,114,122,127,136,145,153,179,456,498,498,498,498,498,498,638,638,638,638,638
pt_municipality,pt,amares,,,,82,,83,82,82,82,82,82,82,82,82,82,82,82,83,83,83,83,83,83,83,85,85,85,86,86,86,86,86,86,86,86,91,94,100,106,114,115,122,131,137,124,124,124,124,124,124,115,115,115,115,115
pt_municipality,pt,anadia,,,,55,,55,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,63,66,69,71,74,79,222,195,195,195,195,195,195,168,168,168,168,168
pt_municipality,pt,angra do heroísmo,,,,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8,10,13,18,20,101,100,100,100,100,100,100,76,76,76,76,76
pt_municipality,pt,ansião,,,,9,,9,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,52,59,59,59,59,59,59,64,64,64,64,64
pt_municipality,pt,arcos de valdevez,,,,75,,75,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,73,73,73,73,73,73,73,74,74,74,76,79,84,88,88,87,95,36,36,36,36,36,36,43,43,43,43,43
pt_municipality,pt,arganil,,,,9,,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,12,14,14,14,15,17,17,17,16,12,12,12,12,12,12,22,22,22,22,22
pt_municipality,pt,armamar,,,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,10,10,10,11,11,11,12,91,65,65,65,65,65,65,80,80,80,80,80
pt_municipality,pt,arouca,,,,49,,49,53,53,53,53,55,55,55,55,55,55,55,58,58,58,58,58,58,58,59,59,59,59,59,59,59,59,59,59,59,63,93,191,222,237,240,239,252,130,117,117,117,117,117,117,121,121,121,121,121
pt_municipality,pt,arraiolos,,,,,,,,,,,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,12,18,19,20,21,25,27,27,8,12,12,12,12,12,12,17,17,17,17,17
pt_municipality,pt,arronches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,2,2,2,2,2,1,1,1,1,1
pt_municipality,pt,arruda dos vinhos,,,,23,,23,26,26,26,26,27,27,27,27,27,27,27,28,28,28,28,28,28,28,30,30,30,32,32,32,32,32,32,32,32,35,42,56,69,74,88,97,112,36,44,44,44,44,44,44,48,48,48,48,48
pt_municipality,pt,aveiro,,,,359,,365,379,379,379,379,385,385,385,385,385,385,385,386,386,386,386,386,386,386,388,388,388,389,389,389,389,389,389,389,398,400,404,419,431,440,459,470,502,381,337,337,337,337,337,337,283,283,283,283,283
pt_municipality,pt,avis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6,10,12,10,10,10,10,10,10,13,13,13,13,13
pt_municipality,pt,azambuja,,,,110,,112,117,117,117,117,121,121,121,121,121,121,121,127,127,127,127,127,127,127,131,131,131,138,138,138,138,138,138,138,151,152,226,229,238,252,254,271,278,135,129,129,129,129,129,129,108,108,108,108,108
pt_municipality,pt,baião,,,,38,,38,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,56,56,56,78,78,78,78,78,78,78,89,89,92,94,95,112,133,139,142,175,142,142,142,142,142,142,112,112,112,112,112
pt_municipality,pt,barcelos,,,,309,,309,309,309,309,309,310,310,310,310,310,310,310,309,309,309,309,309,309,309,310,310,310,319,319,319,319,319,319,319,332,341,351,357,387,420,451,470,502,1400,1214,1214,1214,1214,1214,1214,1160,1160,1160,1160,1160
pt_municipality,pt,barrancos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,0,0,0,0,0,0,0,0,0,0
pt_municipality,pt,barreiro,,,,335,,345,385,385,385,385,423,423,423,423,423,423,423,434,434,434,434,434,434,434,445,445,445,459,459,459,459,459,459,459,497,507,522,543,554,585,621,659,684,377,456,456,456,456,456,456,485,485,485,485,485
pt_municipality,pt,batalha,,,,8,,8,14,14,14,14,15,15,15,15,15,15,15,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,17,17,17,20,20,25,27,30,31,56,60,60,60,60,60,60,56,56,56,56,56
pt_municipality,pt,beja,,,,22,,21,21,21,21,21,22,22,22,22,22,22,22,25,25,25,25,25,25,25,25,25,25,26,26,26,26,26,26,26,28,28,27,27,30,34,45,50,58,23,22,22,22,22,22,22,89,89,89,89,89
pt_municipality,pt,belmonte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6,36,21,21,21,21,21,21,11,11,11,11,11
pt_municipality,pt,benavente,,,,77,,83,110,110,110,110,115,115,115,115,115,115,115,119,119,119,119,119,119,119,126,126,126,135,135,135,135,135,135,135,157,161,164,172,179,193,206,216,230,41,55,55,55,55,55,55,84,84,84,84,84
pt_municipality,pt,bombarral,,,,29,,28,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,28,28,28,27,27,27,27,27,27,27,28,29,30,28,30,28,31,34,39,17,28,28,28,28,28,28,28,28,28,28,28
pt_municipality,pt,borba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,11,11,11,11,11,11,6,6,6,6,6
pt_municipality,pt,boticas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,4,33,27,27,27,27,27,27,31,31,31,31,31
pt_municipality,pt,braga,,,,1256,,1256,1260,1260,1260,1260,1265,1265,1265,1265,1265,1265,1265,1269,1269,1269,1269,1269,1269,1269,1277,1277,1277,1280,1280,1280,1280,1280,1280,1280,1313,1324,1379,1414,1464,1494,1551,1600,1670,1746,1441,1441,1441,1441,1441,1441,1233,1233,1233,1233,1233
pt_municipality,pt,bragança,,,,135,,139,147,147,147,147,148,148,148,148,148,148,148,158,158,158,158,158,158,158,178,178,178,179,179,179,179,179,179,179,188,191,198,205,213,229,250,357,467,221,354,354,354,354,354,354,394,394,394,394,394
pt_municipality,pt,cabeceiras de basto,,,,21,,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,22,22,23,27,27,28,28,29,31,92,58,58,58,58,58,58,48,48,48,48,48
pt_municipality,pt,cadaval,,,,22,,24,25,25,25,25,25,25,25,25,25,25,25,26,26,26,26,26,26,26,26,26,26,27,27,27,27,27,27,27,41,41,40,41,42,44,47,47,47,24,13,13,13,13,13,13,27,27,27,27,27
pt_municipality,pt,caldas da rainha,,,,73,,79,116,116,116,116,122,122,122,122,122,122,122,127,127,127,127,127,127,127,139,139,139,143,143,143,143,143,143,143,143,144,142,146,150,155,157,161,167,146,178,178,178,178,178,178,205,205,205,205,205
pt_municipality,pt,calheta,,,,4,,4,4,4,4,4,3,3,3,3,3,3,3,3,,3,3,3,3,3,8,8,8,7,7,7,7,7,7,7,8,8,8,8,9,11,12,15,16,7,,,,,,,,,,,
