region_schema,region_parent,region_child,agerange,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-12-23,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02
pt_municipality,pt,abrantes,,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,25,0,0,0,0,0,6,0,0,0,0
pt_municipality,pt,aguiar da beira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0,0,0,0,0,-25,0,0,0,0
pt_municipality,pt,alandroal,,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pt_municipality,pt,albergaria-a-velha,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,-32,0,0,0,0,0,-25,0,0,0,0
pt_municipality,pt,albufeira,,0,0,0,8,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,-16,0,0,0,0,0,-5,0,0,0,0
pt_municipality,pt,alcanena,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7,0,0,0,0,0,-5,0,0,0,0
pt_municipality,pt,alcobaça,,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,13,-17,0,0,0,0,0,32,0,0,0,0
pt_municipality,pt,alcochete,,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,4,4,0,0,0,0,0,12,0,0,0,0
pt_municipality,pt,alcoutim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,0,0,0,0,0,0,0,0,0,0
pt_municipality,pt,alcácer do sal,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,-7,0,0,0,0,0,-19,0,0,0,0
pt_municipality,pt,alenquer,,0,0,0,21,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,11,32,0,0,0,0,0,-3,0,0,0,0
pt_municipality,pt,alfândega da fé,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,32,0,0,0,0
pt_municipality,pt,alijó,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-11,0,0,0,0,0,12,0,0,0,0
pt_municipality,pt,aljezur,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0
pt_municipality,pt,aljustrel,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,2,0,0,0,0
pt_municipality,pt,almada,,0,0,0,60,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,27,37,0,0,0,0,0,-54,0,0,0,0
pt_municipality,pt,almeida,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,1,0,0,0,0
pt_municipality,pt,almeirim,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-5,0,0,0,0,0,2,0,0,0,0
pt_municipality,pt,almodôvar,,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,-5,0,0,0,0
pt_municipality,pt,alpiarça,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,1,0,0,0,0
pt_municipality,pt,alter do chão,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,0,0,0,0,0,3,0,0,0,0
pt_municipality,pt,alvaiázere,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,2,0,0,0,0
pt_municipality,pt,alvito,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,0,0,0,0,-1,0,0,0,0
pt_municipality,pt,amadora,,0,0,0,101,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,51,-24,0,0,0,0,0,22,0,0,0,0
pt_municipality,pt,amarante,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,42,0,0,0,0,0,140,0,0,0,0
pt_municipality,pt,amares,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-13,0,0,0,0,0,-9,0,0,0,0
pt_municipality,pt,anadia,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-27,0,0,0,0,0,-27,0,0,0,0
pt_municipality,pt,angra do heroísmo,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-24,0,0,0,0
pt_municipality,pt,ansião,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,5,0,0,0,0
pt_municipality,pt,arcos de valdevez,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,-59,0,0,0,0,0,7,0,0,0,0
pt_municipality,pt,arganil,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,0,0,0,0,0,10,0,0,0,0
pt_municipality,pt,armamar,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-26,0,0,0,0,0,15,0,0,0,0
pt_municipality,pt,arouca,,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13,0,0,0,0,0,4,0,0,0,0
pt_municipality,pt,arraiolos,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,5,0,0,0,0
pt_municipality,pt,arronches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3,0,0,0,0,0,-1,0,0,0,0
pt_municipality,pt,arruda dos vinhos,,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,8,0,0,0,0,0,4,0,0,0,0
pt_municipality,pt,aveiro,,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,-44,0,0,0,0,0,-54,0,0,0,0
pt_municipality,pt,avis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,0,0,0,0,0,3,0,0,0,0
pt_municipality,pt,azambuja,,0,0,0,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,13,-6,0,0,0,0,0,-21,0,0,0,0
pt_municipality,pt,baião,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,11,-33,0,0,0,0,0,-30,0,0,0,0
pt_municipality,pt,barcelos,,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,13,-186,0,0,0,0,0,-54,0,0,0,0
pt_municipality,pt,barrancos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5,0,0,0,0,0,0,0,0,0,0
pt_municipality,pt,barreiro,,0,0,0,38,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,38,79,0,0,0,0,0,29,0,0,0,0
pt_municipality,pt,batalha,,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,4,0,0,0,0,0,-4,0,0,0,0
pt_municipality,pt,beja,,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,-1,0,0,0,0,0,67,0,0,0,0
pt_municipality,pt,belmonte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-15,0,0,0,0,0,-10,0,0,0,0
pt_municipality,pt,benavente,,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,22,14,0,0,0,0,0,29,0,0,0,0
pt_municipality,pt,bombarral,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,11,0,0,0,0,0,0,0,0,0,0
pt_municipality,pt,borba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3,0,0,0,0,0,-5,0,0,0,0
pt_municipality,pt,boticas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,0,0,0,0,0,4,0,0,0,0
pt_municipality,pt,braga,,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,33,-305,0,0,0,0,0,-208,0,0,0,0
pt_municipality,pt,bragança,,0,0,0,1,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,133,0,0,0,0,0,40,0,0,0,0
pt_municipality,pt,cabeceiras de basto,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-34,0,0,0,0,0,-10,0,0,0,0
pt_municipality,pt,cadaval,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,14,-11,0,0,0,0,0,14,0,0,0,0
pt_municipality,pt,caldas da rainha,,0,0,0,6,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,32,0,0,0,0,0,27,0,0,0,0
pt_municipality,pt,calheta,,0,0,0,-1,0,0,0,0,0,0,0,,,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,,,,,,,,,,,
pt_municipality,pt,caminha,,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,12,0,0,0,0
pt_municipality,pt,campo maior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,0,0,0,0,0,-10,0,0,0,0
pt_municipality,pt,cantanhede,,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-23,0,0,0,0,0,5,0,0,0,0
pt_municipality,pt,carrazeda de ansiães,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,2,0,0,0,0
pt_municipality,pt,carregal do sal,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,-7,0,0,0,0
pt_municipality,pt,cartaxo,,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-26,0,0,0,0,0,-12,0,0,0,0
pt_municipality,pt,cascais,,0,0,0,90,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,31,-17,0,0,0,0,0,-62,0,0,0,0
pt_municipality,pt,castanheira de pêra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,0,0,0,0,5,0,0,0,0
pt_municipality,pt,castelo branco,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,-55,0,0,0,0,0,17,0,0,0,0
pt_municipality,pt,castelo de paiva,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,-3,0,0,0,0,0,-6,0,0,0,0
pt_municipality,pt,castelo de vide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,0,0,0,0,0,1,0,0,0,0
pt_municipality,pt,castro daire,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,6,0,0,0,0
pt_municipality,pt,castro marim,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,-11,0,0,0,0
pt_municipality,pt,castro verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,0,0,0,0,0,1,0,0,0,0
pt_municipality,pt,celorico da beira,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,0,0,0,0,0,8,0,0,0,0
pt_municipality,pt,celorico de basto,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-39,0,0,0,0,0,44,0,0,0,0
pt_municipality,pt,chamusca,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,-9,0,0,0,0,0,-31,0,0,0,0
pt_municipality,pt,chaves,,0,0,0,-1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-47,0,0,0,0,0,-191,0,0,0,0
pt_municipality,pt,cinfães,,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,-15,0,0,0,0
pt_municipality,pt,coimbra,,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,1,0,0,0,0,0,68,0,0,0,0
pt_municipality,pt,condeixa-a-nova,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-24,0,0,0,0,0,32,0,0,0,0
pt_municipality,pt,constância,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0
pt_municipality,pt,coruche,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-13,0,0,0,0,0,7,0,0,0,0
pt_municipality,pt,corvo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
pt_municipality,pt,covilhã,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-35,0,0,0,0,0,-51,0,0,0,0
pt_municipality,pt,crato,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-11,0,0,0,0
pt_municipality,pt,cuba,,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-4,0,0,0,0,0,5,0,0,0,0
pt_municipality,pt,câmara de lobos,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-15,0,0,0,0,0,10,0,0,0,0
pt_municipality,pt,elvas,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,65,0,0,0,0
pt_municipality,pt,entroncamento,,0,0,0,2,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,4,-10,0,0,0,0,0,-3,0,0,0,0
pt_municipality,pt,espinho,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,-114,0,0,0,0,0,-34,0,0,0,0
pt_municipality,pt,esposende,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,-42,0,0,0,0,0,-8,0,0,0,0
pt_municipality,pt,estarreja,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,-20,0,0,0,0
pt_municipality,pt,estremoz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,0,0,0,0,0,34,0,0,0,0
pt_municipality,pt,fafe,,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-216,0,0,0,0,0,-95,0,0,0,0
pt_municipality,pt,faro,,0,0,0,12,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,8,55,0,0,0,0,0,33,0,0,0,0
pt_municipality,pt,felgueiras,,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-215,0,0,0,0,0,-166,0,0,0,0
pt_municipality,pt,ferreira do alentejo,,,,,,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0
pt_municipality,pt,ferreira do zêzere,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0
pt_municipality,pt,figueira da foz,,0,0,0,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-52,0,0,0,0,0,-5,0,0,0,0
pt_municipality,pt,figueira de castelo rodrigo,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,-9,0,0,0,0,0,-24,0,0,0,0
