region_schema,region_parent,region_child,agerange,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-23,2020-06-24,2020-06-28,2020-06-30,2020-07-01,2020-07-06,2020-07-09,2020-07-20,2020-07-27,2020-07-30,2020-08-03,2020-08-06,2020-08-10,2020-08-13,2020-08-17,2020-08-20,2020-08-24
admin_1,au,au-tas,,106,117,123,132,135,137,144,153,157,158,164,165,168,170,177,179,185,183,185,187,187,190,195,195,197,198,198,199,201,201,202,203,205,205,205,205,207,208,209,209,210,210,210,210,211,211,211,211,211,,213,213,213,213,213,213,213,,,213,213,213,213,213,213,213,213,213,213,214,214,214,214,214,214,214,214
ths,au-tas,north,,,23,24,24,24,24,24,24,24,25,25,25,25,25,25,26,26,26,26,26,27,27,27,,27,28,28,28,28,28,28,28,29,29,29,29,29,29,29,29,29,29,29,29,,29,29,29,29,29,29,29,29,29,29,29,29,29,29,,,,,,,,,,,,,,,,,,
ths,au-tas,north-west,,,42,52,59,69,71,72,78,87,90,91,97,98,100,102,105,107,113,111,113,114,114,117,,121,122,123,123,124,126,126,127,127,129,129,129,129,131,132,133,133,134,134,134,,135,135,135,135,135,137,137,137,137,137,137,137,137,137,,,,,,,,,,,,,,,,,,
ths,au-tas,south,,,38,38,37,36,37,38,39,39,39,39,39,39,40,40,43,43,43,43,43,43,43,43,,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,,44,44,44,44,44,44,44,44,44,44,44,44,44,44,,,,,,,,,,,,,,,,,,
