region_schema,region_parent,region_child,agerange,2020-12-02,2020-12-03,2020-12-04,2020-12-05,2020-12-08,2020-12-09,2020-12-10,2020-12-11,2020-12-12,2020-12-13,2020-12-14,2020-12-15,2020-12-16,2020-12-17,2020-12-18,2020-12-19,2020-12-20,2020-12-21,2020-12-22,2020-12-23,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15
admin_1,lv,lv-001,,2,1,0,2,2,0,0,20,4,4,6,-72,74,3,3,4,5,3,0,0,6,8,1,1,0,0,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,2,0,13,14,1,0,29,1
admin_1,lv,lv-004,,8,6,0,6,0,1,10,4,8,1,4,2,1,1,0,2,0,0,1,0,0,3,4,,,,,,,2,1,2,2,0,44,8,5,0,8,0,18,21,0,4,3,0,1,2,1,6,0,5,1,4,1,0,2,0,0,2,,,,,1,32,0,5,1
admin_1,lv,lv-005,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin_1,lv,lv-007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,-3,5,1,3,6,13,,,,,,10,18,2,11,15,10,0,22,3
admin_1,lv,lv-008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,1,0,1,5,0,2,2,0,-1,0,,
admin_1,lv,lv-009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,4,0,0,8,6,5,31,6,0,6,3,9,3,0,2,8,7,1,1,0,0,0,,,,,,,,,
admin_1,lv,lv-010,,4,0,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin_1,lv,lv-011,,,,,,,,,,,,,,,,,,,2,0,13,6,9,5,4,7,1,13,8,14,4,,,24,6,17,16,13,0,25,5,34,1,14,5,3,2,,,,,,2,,,9,18,5,,,7,14,7,2,11,19,6,0,26,3
admin_1,lv,lv-013,,2,4,0,2,,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin_1,lv,lv-015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,0,27,27
admin_1,lv,lv-016,,,,,,,,,,,,,,,,,,,,2,11,17,17,9,5,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin_1,lv,lv-017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,3,2,0,,,,4,1,0,,
admin_1,lv,lv-023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,2,1,1,-1,2,0,0,0,0,0,,,,,,,,,
admin_1,lv,lv-024,,,,,,,,,,,,,,,,,,4,6,1,4,22,3,8,4,2,-1,1,4,24,4,6,0,0,0,6,18,9,0,14,-2,1,9,9,0,0,6,0,,,,,,,,,,,,,,,,,,,,,,
admin_1,lv,lv-026,,,,,,,,,,,,,,,,,,,,,,,,,5,12,3,24,13,48,6,6,7,0,9,20,40,23,0,15,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin_1,lv,lv-029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,13,51,3,58,3,0,1,0,5,1,13,2,2,3,1,,,,,,,,,,,,,,,
admin_1,lv,lv-031,,0,2,0,5,,,,,,,,,,,,,,,,,,,,,,,,10,10,2,7,3,5,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin_1,lv,lv-033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2,0,28,32,31,10,19,0,9,14,1,0,34,1,19,0,21,13
admin_1,lv,lv-034,,,,,,3,12,11,5,3,1,2,1,3,5,6,6,3,87,11,10,14,9,2,-1,0,0,6,4,7,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin_1,lv,lv-035,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin_1,lv,lv-036,,,,,,,,,,,,,,,,,,,3,,,,,,,,3,4,,,,,,,,,10,8,0,28,1,10,14,6,5,3,3,0,0,5,3,3,-1,3,,,,,0,,,,,,,,,,,
admin_1,lv,lv-044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-2,3,4,7,2,2,2,1,2,,,,,,,,,
admin_1,lv,lv-046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,-1,2,8,3,0,5,1,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin_1,lv,lv-047,,0,,,,,,,,,,,,,,,,,,,,,,,,,3,2,8,29,13,1,18,5,6,8,21,16,0,24,6,5,10,42,14,5,9,3,7,5,5,7,2,7,,,,,,,,,,,,,,,,
admin_1,lv,lv-049,,,,0,38,2,3,13,4,1,4,2,0,0,4,1,6,2,20,2,6,0,2,5,1,3,0,2,4,7,2,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin_1,lv,lv-052,,11,24,0,23,3,11,15,10,8,12,8,2,8,14,10,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin_1,lv,lv-054,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin_1,lv,lv-056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,18,11,2,7,9,11,6,2,1,18,14,8,9,4,2,2,11,2,1,1,13,,,,6
admin_1,lv,lv-057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,0,1,0,13,1,8,0,3,1,2,5,0,-1,2,3,0,0,,,,,,,,,0,4,0,0,,,0,5,2,1,0,,
admin_1,lv,lv-058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,
admin_1,lv,lv-061,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin_1,lv,lv-062,,12,23,0,18,0,4,6,10,14,8,7,4,8,9,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin_1,lv,lv-065,,,,,,,,,,8,0,2,1,1,3,6,4,2,0,0,0,11,4,0,0,0,1,1,7,6,1,0,0,1,4,3,,,0,4,0,2,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,
admin_1,lv,lv-068,,4,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,22,11,21,0,28,6
admin_1,lv,lv-069,,,,,,1,3,4,20,20,10,13,2,4,2,5,4,6,13,5,4,4,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin_1,lv,lv-073,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,15,18,1,7,0,1,34,19,14,0,32,5,3,26,15,12,21,9,2,23,15,3,14,0,2,21,15,3,6,9,-1,0,8,3,0,2,,,,,
admin_1,lv,lv-076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,0,0,3,0
admin_1,lv,lv-078,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,5,1,2,1,3,5,,,,,,,,,,,,,,,,,,,,
admin_1,lv,lv-079,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin_1,lv,lv-080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,4,4,4,5,12,0,16,0,7,6,3,57,28,1,1,4,2,2,1,1,4,8,4,,,,,,,,,,,,,,
admin_1,lv,lv-081,,,,,,,,,,,,,,,,1,0,0,0,0,0,2,0,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin_1,lv,lv-082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,8,1,0,,
admin_1,lv,lv-085,,,,,,,,,,,,,,,,,,3,4,2,3,3,1,2,0,1,1,0,5,10,4,0,1,1,0,3,3,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin_1,lv,lv-086,,7,8,0,2,0,0,2,3,5,1,1,0,5,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin_1,lv,lv-087,,7,10,0,12,2,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin_1,lv,lv-092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,5,1,1,2,10,2,1,6,0,0,1,,,0,,,,,,
admin_1,lv,lv-095,,,,,,,0,4,3,4,8,1,4,,,8,10,6,4,1,8,6,6,9,3,5,5,7,8,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin_1,lv,lv-097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,6,16,5,9,11,26,49,0,44,0,0,16,,,18,6,0,,,,,,,,,,,,,,,,,,,,,,
admin_1,lv,lv-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0,1,6,-1,0,0,16,0
admin_1,lv,lv-101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,0,3,2,5,0,6,0
admin_1,lv,lv-103,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,5,4,0,0,0,2,0,3,1,4,0,11,0,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,
admin_1,lv,lv-105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2,2,,,,,,,,
admin_1,lv,lv-107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6,0,1,1,2,0,0,0,,,,,,,
