region_schema,region_parent,region_child,agerange,2020-03-03,2020-03-11,2020-03-13,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-21,2020-04-22,2020-04-23,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-30,2020-05-02,2020-05-05,2020-05-14,2020-06-16,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-30,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-13,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-23,2020-07-26,2020-07-27,2020-07-31,2020-08-01,2020-08-03,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17
admin_0,,nz,,2,1,2,9,15,17,27,33,37,68,88,110,154,179,215,178,265,286,305,327,335,395,411,434,376,401,184,478,73,350,123,58,245,184,207,240,133,95,78,110,121,79,78,80,96,79,80,81,2,81,112,3,80,114,137,82,115,85,97,86,144,116,205,89,119,82,90,98,92,81,82,99,83,2,138,121,225,425,468,170,337,268,355,113
admin_0,,nz,1-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin_0,,nz,10-14,,,,,,,,,,1,,,2,,,,,3,5,,,6,8,,,,,,,,,9,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,13
admin_0,,nz,15-19,,,,,1,,,,2,,3,,4,,5,,7,8,,,9,11,,12,13,,14,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,19,,,20,,,
admin_0,,nz,20-29,,,,,1,,,3,7,11,13,18,25,32,44,47,57,63,67,74,81,83,88,93,95,99,100,105,,107,,,,108,,109,,,,110,111,,,,,,,,,,112,,,114,,,115,,,,,116,117,,119,,,,,,,,,,120,121,122,123,124,,125,,,
admin_0,,nz,30-39,,,,1,,,3,,5,6,8,14,21,23,26,29,31,35,38,43,50,55,60,64,70,73,,75,,76,,,,,77,,,,,,,,78,,,,,79,,,,,80,,81,82,,85,,86,87,,88,89,,,90,,92,,,,,,,,,93,95,,96,97,98,100
admin_0,,nz,40-49,2,,,3,6,7,11,12,,15,17,20,25,29,34,40,48,52,57,59,60,62,63,67,68,69,70,72,73,74,,,75,76,,77,,,78,,,79,,80,,,,,,,,,,,,,,,,,,,,,,,,,,81,82,,83,,,,,85,86,87,,,88,
admin_0,,nz,5-9,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,4,,
admin_0,,nz,50-59,,,,,2,4,6,7,9,13,21,26,33,43,50,,54,55,62,66,74,79,81,83,85,89,,90,,92,,,94,,,,,95,,,,,,,96,,,,,,,,,,,,,,97,,,,,,,,,98,,,,99,,,,,100,102,105,,,108,109,
admin_0,,nz,60-69,,1,2,3,5,6,7,8,14,17,19,23,30,34,36,40,44,45,48,55,61,66,69,70,,71,,72,,,75,,76,,77,,78,,,,,,,,,79,80,,,81,,,,,,,,,,,,,,,,82,,,,,,,,,,,,,,83,84,,,
admin_0,,nz,70+,,,,2,,,,3,,5,7,9,14,18,20,22,24,25,28,30,,33,42,44,45,,,47,,,48,49,,,52,54,55,,,,,,,,,,,,,,,,,,56,,,,,,57,,,,,,,,,,,,,,,,,,58,,,59,60,
admin_0,,nz,<1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,3,,,,,,,
nz_dhb,nz,auckland,,,,,1,3,,5,6,8,13,15,19,23,26,29,33,38,40,,41,43,,46,,47,48,,54,,55,,,,,56,,,,,,,,,,,57,,,,,58,59,60,61,,62,63,66,67,68,,,70,,,,,,,71,,,,,,,72,,75,76,78,81,83,84
nz_dhb,nz,bay of plenty,,,,,,,,,,1,,,,2,3,5,,,7,8,13,14,,,,15,16,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nz_dhb,nz,canterbury,,,,,,,1,,2,4,,7,9,,15,,17,18,,,,19,21,28,,30,31,,33,,,,,,34,35,,36,,,,37,,,,,,,,38,,,,,,40,,,,,,42,,,43,,,,,,,,,,,44,,,,,,,,,
nz_dhb,nz,capital and coast,,,,1,3,4,5,6,,7,9,14,20,23,24,26,,29,,31,32,,34,35,,,,36,38,,,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nz_dhb,nz,counties manukau,,1,2,,,,,3,,6,10,,11,13,14,15,16,18,20,22,24,27,29,32,36,39,40,41,43,,44,,,46,,48,,49,,,,,,,50,51,,52,,,53,,,,54,,,,,,,,55,,,57,58,59,60,62,,63,64,65,66,67,68,70,76,79,80,83,86,88,89
nz_dhb,nz,hawke's bay,,,,,,,,1,,,,,2,3,5,,6,,8,,10,11,14,,15,,,,16,,,17,,,,,,,,18,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nz_dhb,nz,hutt valley,,,,,,,,2,,,,3,,4,,5,,,,6,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nz_dhb,nz,lakes,,,,,,1,,,2,,,,3,4,5,,,,6,,,,,,,,,,,,,7,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nz_dhb,nz,midcentral,,,,,,,,1,,,,2,,3,,,,,4,6,,7,,8,10,11,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nz_dhb,nz,nelson marlborough,,,,,,,,,,2,5,6,8,12,,,13,,,14,15,16,,17,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nz_dhb,nz,northland,,,,,,1,,,,,,,2,3,,,,,4,,,5,6,7,8,,,,,9,,,10,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nz_dhb,nz,south canterbury,,,,,,,,,,,,2,,,,,3,4,5,,,,,,,,,,,,,,,6,7,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nz_dhb,nz,southern,,,,,,2,4,,6,,,8,12,18,22,32,36,40,44,47,52,61,66,69,78,82,85,86,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nz_dhb,nz,tairāwhiti,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nz_dhb,nz,taranaki,,,,,1,,,,,3,,,,,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nz_dhb,nz,waikato,,,,,1,,,,,2,3,5,,15,21,26,,34,35,47,51,56,62,65,,66,68,,69,,72,,,,,,,,,,,,,,,,,,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nz_dhb,nz,wairarapa,,,,,,,,1,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nz_dhb,nz,waitematā,,1,,,,3,,,4,,6,,8,13,16,18,22,30,32,35,39,42,46,50,52,,56,,57,,59,61,62,,,,,,,,63,64,,65,,,,,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,70,,71,,,72
nz_dhb,nz,west coast,,,,,,,,,,,1,,,,2,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nz_dhb,nz,whanganui,,,,,,,,,,,,,,,,3,,,,,4,5,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
