region_schema,region_parent,region_child,agerange,2020-03-03,2020-03-05,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-25,2020-04-26,2020-04-28,2020-04-29,2020-04-30,2020-05-04,2020-05-05,2020-05-06,2020-05-09,2020-05-13,2020-05-14,2020-05-21,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18
admin_0,,nz,,1,2,3,4,8,11,22,33,43,58,87,107,145,175,217,244,288,318,354,396,430,466,490,509,518,545,550,558,565,568,573,577,587,591,594,600,601,603,605,609,611,614,615,618,621,622,624,625,627,628,629,630,634,644,655,660,673,679,686,693,694
admin_0,,nz,1-4,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,4,,,5,,,6,,,,
admin_0,,nz,10-14,,,,,,,,1,,,3,,,7,8,9,12,13,,16,19,,,,,21,,22,23,24,,,,,,,,,,26,,,,,,27,,,,,,,,28,,,29,30,31,32,
admin_0,,nz,15-19,,,1,,,,2,,3,,7,8,11,14,19,22,23,24,26,29,,30,32,34,35,39,,,,,,40,41,,,42,,,,,,,,,,,,,,43,,,,44,45,46,47,,,,48
admin_0,,nz,20-29,,,,,,,1,3,4,,9,12,19,21,31,39,45,47,55,59,62,74,79,84,85,92,93,94,,,95,96,,97,,99,,100,101,102,,103,,104,105,,,106,,,,,107,108,110,,113,,114,116,
admin_0,,nz,30-39,,,,,2,,3,,6,11,17,23,27,29,33,37,46,53,57,63,67,74,80,83,86,91,92,94,96,,,,97,,98,99,,,,,100,101,,102,,,103,,105,,,,,,107,108,110,111,113,116,
admin_0,,nz,40-49,1,2,,,4,,5,6,,8,13,15,21,29,43,48,59,62,67,72,77,81,85,87,90,93,94,95,97,,99,100,,102,,,,103,104,,105,,,106,,,,,,,,,,108,110,112,113,114,115,116,
admin_0,,nz,5-9,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,3,,,,4,,,
admin_0,,nz,50-59,,,,1,,,2,5,9,14,17,21,32,37,39,40,47,56,67,77,79,82,87,92,93,95,,97,98,,99,,101,,,103,,,,,,104,105,,,,,,,,,106,108,110,113,,114,115,,,
admin_0,,nz,60-69,,,,,,2,8,11,,13,17,18,22,25,29,31,35,42,47,54,57,62,63,64,,66,,,67,68,69,,,,70,,,,,71,,,,,72,,,,,,,,,73,,74,76,,77,,
admin_0,,nz,70+,,,,,,1,,2,3,4,,7,9,11,13,16,19,,20,24,38,41,42,43,,45,47,,,48,,49,54,55,56,,57,,,,,,,,58,,,,,,,,,,59,,60,61,62,,
admin_0,,nz,<1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
nz_dhb,nz,auckland,,,,,1,,2,4,5,6,8,12,17,20,27,30,31,33,,35,36,40,43,46,47,49,57,,,,,,,58,,,,,,,,,,,60,61,,,,,,,62,,,64,68,72,76,79,82,
nz_dhb,nz,bay of plenty,,,,,,,,,,,1,,,3,,,4,,5,6,,,7,8,,,,9,,,,,,,10,,12,,,,,,,,,,,,,,,,,,,,,,,,,
nz_dhb,nz,canterbury,,,,,,,,2,,4,5,8,11,,,12,,14,,18,22,33,34,39,40,,45,,,47,48,49,50,53,,55,58,,,60,61,,,,,62,,,,,,63,,,,,,,,,,
nz_dhb,nz,capital and coast,,,,,,,,1,3,,5,,,7,8,12,,13,14,15,18,19,,,,,20,,,21,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nz_dhb,nz,counties manukau,,1,2,,,3,,6,8,,,12,13,16,20,22,27,30,32,36,41,42,45,47,,,51,,,,,52,,,,,,,53,,,,,54,,,,,,,,,,58,65,72,73,79,81,85,88,89
nz_dhb,nz,hawke's bay,,,,,,,,,,,,1,2,,3,,6,,7,,9,,11,,12,13,14,,,15,,,,,,,,,16,,,17,18,,,,,,,,,,,,,,,,,,,
nz_dhb,nz,hutt valley,,,,,,,,,1,,,2,3,,,,,4,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nz_dhb,nz,lakes,,,,,,,,,,,,,,,,,2,,,,,3,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
nz_dhb,nz,midcentral,,,,,,2,,,,,,,,3,,,,5,,,,6,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nz_dhb,nz,nelson marlborough,,,,,,,1,2,3,4,6,7,,,,,,,,8,,9,11,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nz_dhb,nz,northland,,,,,,,,,,,,,,,,,,1,2,3,5,6,8,9,11,,,12,13,,14,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nz_dhb,nz,south canterbury,,,,,,,,,,1,,,,3,,4,,,,,,,,,,5,,,6,,,7,8,,9,,10,,,,,,,,,,,,,,,,,,,,,,,,,
nz_dhb,nz,southern,,,,1,,,,,2,5,7,12,14,30,37,49,56,61,73,87,98,106,119,127,133,135,137,,,,,,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nz_dhb,nz,tairāwhiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nz_dhb,nz,taranaki,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nz_dhb,nz,waikato,,,,,,,,1,2,3,4,11,14,23,26,38,43,65,71,75,85,88,91,93,96,,98,,100,,,,,,,,,101,,,,,,,,,,102,,,,,,,,,,,,,,
nz_dhb,nz,wairarapa,,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nz_dhb,nz,waitematā,,,,,,,1,2,3,4,7,10,12,,19,26,29,34,39,42,46,48,53,,58,61,65,68,72,75,76,,77,81,,82,,,,,85,86,88,,89,90,91,92,93,95,96,,,,99,101,,104,,,105,
nz_dhb,nz,west coast,,,,,,,,,1,,,,2,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nz_dhb,nz,whanganui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
