region_schema,region_parent,region_child,agerange,2020-02-25,2020-03-01,2020-03-03,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-13,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-22,2020-04-24,2020-04-27,2020-04-28,2020-05-02,2020-05-08,2020-05-09,2020-06-15,2020-06-16,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-30,2020-07-01,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-10,2020-07-12,2020-07-13,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-23,2020-07-26,2020-07-27,2020-07-28,2020-07-30,2020-07-31,2020-08-01,2020-08-03,2020-08-10,2020-08-11,2020-08-14,2020-08-17
admin_0,,nz,,1,2,3,4,5,6,7,14,24,28,40,48,61,89,116,156,207,256,287,321,344,361,381,411,434,447,460,468,475,480,488,491,494,499,503,506,509,511,513,514,515,516,517,518,519,520,521,523,524,526,527,530,532,533,536,537,538,543,544,545,546,547,550,553,555,557,560,561,562,565,566,568,570,571,572,573,575,576,577,579,581,584,586,587,589,590,591
admin_0,,nz,1-4,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,
admin_0,,nz,10-14,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,
admin_0,,nz,15-19,,,,,,,,,,,,,,1,3,4,5,6,8,9,,10,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,
admin_0,,nz,20-29,,,,,,,,1,2,,3,6,10,19,23,40,56,73,86,100,112,119,125,138,148,154,159,162,166,168,171,,173,175,,,,,,,176,,,,,177,,,,179,,,181,,,,182,183,,184,,,,186,187,188,191,192,,,,,,,,,193,,194,196,,197,198,199,,,
admin_0,,nz,30-39,,1,,,2,,,3,4,,7,8,10,12,16,23,31,35,39,47,,49,52,56,60,61,65,,66,,,,,68,,,,,,,,,,69,,,,70,,,,71,,,73,74,,78,,,79,80,82,83,84,85,,,,,86,,88,,89,,,,,,90,,,,91,,
admin_0,,nz,40-49,,,1,,,,2,4,8,9,12,13,15,21,24,26,30,37,41,46,50,54,56,58,,59,,62,,,65,66,,,,,,,,,,,67,,,,,68,,,,,,,,,,,,,,,,,,,,,,,,,,69,,70,,71,,,,72,73,,,,
admin_0,,nz,5-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin_0,,nz,50-59,,,,,,,,,2,4,6,8,10,16,22,29,36,44,47,48,53,54,58,61,67,69,71,,,73,74,,75,76,,77,,,,,,78,,,,,79,,,,,80,,,,,,,81,,,,,,,,,,,82,,83,,,,,84,,,,,,,,85,,86
admin_0,,nz,60-69,1,,,2,,3,,4,6,7,9,10,13,15,20,24,33,41,44,47,49,50,53,59,62,64,65,67,68,69,70,71,,,74,76,78,,,79,,,,,80,,,,81,,,,,82,,,,,,,,,,,,,,,83,84,,,,,,,,,,,,,,,,,
admin_0,,nz,70+,,,,,,,,2,,,3,,,5,8,10,16,19,21,23,,24,26,28,,,,,,,,29,,,30,,31,33,35,,,,,,,,,,,,,,,,36,,,,,,,,37,,,,,,,,,38,,,,,,,,,,,,,,,
admin_0,,nz,<1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
nz_dhb,nz,auckland,,1,,,,,,,2,4,,6,,8,14,20,25,32,38,41,47,52,53,55,58,59,,60,61,,,62,,,63,,,,,,,,,,,,,,,,65,66,68,69,70,,71,72,76,77,,78,,,,80,81,,,,,,,,82,83,,,,,,84,,85,86,87,88,
nz_dhb,nz,bay of plenty,,,,,,,,,,,,,,1,,,,3,5,6,8,,11,13,18,20,,,,21,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nz_dhb,nz,canterbury,,,,,,,,,,1,2,,4,5,7,9,15,16,25,27,32,,33,,,,34,,,35,,36,,,,,,,,,,,,,,,,,,,,,,,,38,,,,,,,,41,43,,44,45,46,47,48,,49,,,,,,,,,,50,,,,,
nz_dhb,nz,capital and coast,,,,,,,1,,3,4,5,7,,,10,18,26,30,32,33,37,40,,41,,42,,44,,45,,48,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nz_dhb,nz,counties manukau,,,,,1,,,,,2,,,,3,9,10,12,13,15,17,19,21,23,25,28,29,31,33,37,39,40,42,43,44,45,,48,51,,53,54,,,55,,56,,,,57,,,58,59,,60,,,61,,62,,63,,64,,,66,,,68,69,70,72,,,73,75,76,77,79,80,82,83,,84,,
nz_dhb,nz,hawke's bay,,,,,,,,,,,,1,,,,,3,5,8,9,,,,,12,14,17,,18,19,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nz_dhb,nz,hutt valley,,,,,,,,,,,,2,,,,3,,,6,9,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nz_dhb,nz,lakes,,,,,,,,,,1,,,2,,,3,4,7,8,,9,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
nz_dhb,nz,midcentral,,,,,,,,,,,,1,,2,,3,4,5,,6,7,8,9,11,12,13,,14,15,16,,,,,,,,,18,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nz_dhb,nz,nelson marlborough,,,,,,,,,,,,,1,2,6,7,8,11,,,12,13,14,16,19,21,22,24,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nz_dhb,nz,northland,,,,,,,,,,1,,,,,2,,4,6,7,,,9,10,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nz_dhb,nz,south canterbury,,,,,,,,,,,,,,,,1,,,,3,4,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nz_dhb,nz,southern,,,,,,1,,,,2,4,5,7,,8,9,14,18,23,26,31,,33,35,38,41,44,45,46,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nz_dhb,nz,tairāwhiti,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nz_dhb,nz,taranaki,,,,,,,,,2,,,,,4,,,,5,,10,,,11,,12,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nz_dhb,nz,waikato,,,,,,,,,2,,,4,5,7,8,11,12,25,32,34,,36,,38,40,43,44,45,,,,,46,,48,,,,,,,,,,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nz_dhb,nz,wairarapa,,,,,,,,,,,,,,2,,,3,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nz_dhb,nz,waitematā,,,1,2,,,,3,,5,,6,7,,11,12,17,24,30,32,38,45,48,52,56,58,60,63,,,65,66,,67,68,69,,,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nz_dhb,nz,west coast,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nz_dhb,nz,whanganui,,,,,,,,,,,,,,,,,,,,3,,,,,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
