region_schema,region_parent,region_child,agerange,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-05,2020-05-06,2020-05-09,2020-05-14,2020-06-16,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-07-01,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-13,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-27,2020-07-28,2020-07-31,2020-08-01,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18
admin_0,,nz,,1,1,1,7,11,5,16,11,24,39,37,55,80,69,69,65,67,44,64,60,59,55,47,44,31,24,17,30,8,13,11,3,8,4,13,6,5,7,2,3,4,1,2,3,1,2,3,3,2,1,3,1,1,1,3,2,1,3,1,1,5,1,1,1,3,2,2,3,3,2,2,1,1,1,1,2,3,14,12,5,14,10,9,10,1
admin_0,,nz,1-4,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin_0,,nz,10-14,,,,,,,,,,,,,,,,,1,1,3,1,,,4,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,
admin_0,,nz,15-19,,,,,,,,,,1,3,1,5,2,5,4,5,4,1,1,2,4,,,2,2,1,4,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,
admin_0,,nz,20-29,,,,,1,,,3,5,11,5,17,21,20,20,17,22,15,12,15,18,10,8,15,9,7,4,7,3,3,,,,1,,,,,,2,1,,,,,,,1,,,,,,,,,,,,,1,,,,,1,1,3,,,,,,,,,,1,2,,,,,2,
admin_0,,nz,30-39,,,,,1,,,1,3,2,7,12,14,10,8,10,5,6,12,11,8,7,8,7,7,3,3,5,1,4,2,,,,,,,1,,,,,,1,,,1,,,,,,,,,,,,1,,,,,1,1,1,1,,,,,,,,,,,,2,1,2,1,2,3,
admin_0,,nz,40-49,,,,2,4,1,5,1,3,7,3,4,9,9,10,13,18,9,13,5,5,6,5,7,4,2,6,4,1,1,2,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,1,2,1,
admin_0,,nz,5-9,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin_0,,nz,50-59,,,,,,3,2,2,3,9,10,12,10,12,14,6,8,2,11,12,17,12,4,3,5,7,2,2,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,,,3,1,1,
admin_0,,nz,60-69,,,,,2,1,2,3,9,5,5,6,13,9,7,6,6,3,7,13,8,9,4,7,2,2,1,3,,,,1,3,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,2,,,,
admin_0,,nz,70+,,,,,,,,1,,,4,3,6,6,4,4,2,4,5,2,1,4,14,3,1,1,,,2,,,1,,,6,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,
nz_dhb,nz,auckland,,,,,,2,1,2,1,4,7,7,7,11,11,6,13,8,2,4,3,3,1,5,4,3,1,3,8,,,,,,,,,,,,,,,,,,,,1,,,,,,1,2,1,1,,,1,4,1,,,,,1,,,,,,1,,,,,1,3,4,5,6,4,4,
nz_dhb,nz,auckland,10-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
nz_dhb,nz,auckland,15-19,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nz_dhb,nz,auckland,20-29,,,,,,,,,,2,3,2,4,4,1,2,1,1,1,1,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,
nz_dhb,nz,auckland,30-39,,,,,,,,,,,1,4,3,3,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,
nz_dhb,nz,auckland,40-49,,,,,,,,,,,1,1,1,2,2,,,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,
nz_dhb,nz,auckland,50-59,,,,,,1,,,,1,,,,,,,2,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
nz_dhb,nz,auckland,60-69,,,,,,,,,,,,,,,,3,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nz_dhb,nz,auckland,70+,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,
nz_dhb,nz,bay of plenty,,,,,,,,,,,,,,2,2,3,2,,,2,6,3,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nz_dhb,nz,bay of plenty,20-29,,,,,,,,,,,,,,,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nz_dhb,nz,bay of plenty,70+,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nz_dhb,nz,canterbury,,,,,,,1,,,3,2,4,7,4,12,2,5,1,1,2,,,5,11,1,6,1,1,5,,,,1,1,1,3,,,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,1,,,,,,,,,,,,,,,,
nz_dhb,nz,canterbury,20-29,,,,,,,,,1,2,1,4,2,3,,,1,,,,,,,,1,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nz_dhb,nz,canterbury,30-39,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
nz_dhb,nz,canterbury,40-49,,,,,,,,,,,,,,,,2,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nz_dhb,nz,canterbury,50-59,,,,,,,,,,,,3,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nz_dhb,nz,canterbury,60-69,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nz_dhb,nz,canterbury,70+,,,,,,,,,,,,,,,,,,,,,,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nz_dhb,nz,capital and coast,,,,,,1,1,2,,,5,8,10,4,2,3,5,7,,,1,2,3,3,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nz_dhb,nz,capital and coast,20-29,,,,,,,,,,,,,2,1,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nz_dhb,nz,capital and coast,30-39,,,,,,,,,,,,2,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nz_dhb,nz,capital and coast,40-49,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nz_dhb,nz,capital and coast,50-59,,,,,,,,,,,3,3,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nz_dhb,nz,capital and coast,60-69,,,,,,,,,,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nz_dhb,nz,counties manukau,,,,,,,,,,,8,1,2,5,3,5,6,4,7,5,5,5,7,3,7,4,1,2,5,1,1,,,,,,,,1,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,1,2,,,1,1,1,2,10,7,1,6,4,5,4,1
nz_dhb,nz,counties manukau,15-19,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nz_dhb,nz,counties manukau,20-29,,,,,,,,,,,,,,,,,,4,1,2,,,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,1,
nz_dhb,nz,counties manukau,30-39,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,
nz_dhb,nz,counties manukau,40-49,,,,,,,,,,2,,,,,,3,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,
