region_schema,region_parent,region_child,agerange,2020-07-22,2020-07-23,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23
il_municipality,il,abu gosh,,,,0,0,0,0,1,-1,0,0,,,,,,,,,,,2,5,-1,3,13,0,5,-1,3
il_municipality,il,abu snan,,,,,,,,,,,,,,,,,,,,1,2,5,2,0,-1,3,0,5,-2,4
il_municipality,il,afula,,-2,1,0,0,0,0,-5,0,1,0,5,1,-1,-1,-2,1,0,-2,2,-4,4,3,0,6,2,0,-1,1,-2
il_municipality,il,ako (acre),,5,3,0,0,0,0,-1,1,-2,0,-2,4,7,3,0,-1,0,4,5,4,8,1,0,8,8,0,3,-3,6
il_municipality,il,ar'ara,,-2,1,0,0,0,0,-34,7,3,0,1,0,2,2,5,0,0,6,-1,0,-3,-2,0,4,10,0,2,-2,7
il_municipality,il,arabe,,,,0,0,0,0,-2,0,0,0,,,2,0,3,0,0,0,-2,1,0,1,-1,1,1,0,2,-1,4
il_municipality,il,arad,,6,4,0,0,0,0,-47,-8,-2,0,-6,4,2,-3,0,-2,0,2,3,-2,0,-3,0,0,-3,0,4,-4,3
il_municipality,il,ashdod,,13,27,0,0,0,0,-298,50,-9,0,11,18,15,-17,25,-6,0,35,-4,-40,-110,-3,-12,3,-58,0,21,-10,4
il_municipality,il,ashkelon,,18,46,0,0,0,0,-17,9,-3,0,-27,4,0,-25,-16,-7,0,-19,-17,-15,-28,-3,-4,5,-4,0,0,-27,-3
il_municipality,il,azor,,10,3,0,0,0,0,-19,1,-9,0,-3,0,-3,-2,0,-1,0,0,,,,,,,,0,,,1
il_municipality,il,ba'ana,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,4,5
il_municipality,il,basma,,,,,,,,,,2,0,0,2,3,0,4,0,0,3,-2,1,-1,-3,9,-2,1,0,3,0,3
il_municipality,il,bat yam,,-4,7,0,0,0,0,-199,11,-11,0,-21,3,-25,-13,7,-5,0,-6,-6,-25,-10,0,1,7,-24,0,26,-21,-3
il_municipality,il,be'er sheva,,44,37,0,0,0,0,-24,5,5,0,-77,-6,-4,-44,-11,-6,0,-19,9,-11,-25,-2,-10,0,-4,0,24,-29,6
il_municipality,il,be'er ya'akov,,1,5,0,0,0,0,-35,-2,1,0,-6,2,-3,-3,-3,1,0,0,0,-4,9,7,5,4,-6,0,10,1,5
il_municipality,il,beit dagan,,1,0,0,0,0,0,,,0,0,2,0,0,1,0,0,0,1,0,-3,-2,0,0,,,,,,
il_municipality,il,beit shemesh,,79,68,0,0,0,0,-69,-8,-19,0,-125,20,-25,-38,-27,0,0,-34,-59,-21,-36,-26,-9,-48,-31,0,-14,-62,3
il_municipality,il,bet jan,,,,,,,,,0,0,0,3,0,2,1,2,0,0,0,-2,1,6,4,1,1,15,0,14,15,7
il_municipality,il,bet she'an,,-1,6,0,0,0,0,-68,-1,0,0,-19,-3,-1,0,-1,-1,0,-1,5,1,6,0,0,1,6,0,4,3,0
il_municipality,il,binyamina-giv'at ada,,,3,0,0,0,0,3,-2,1,0,-5,0,-4,0,0,-1,0,-5,1,-1,-1,-1,0,-1,2,0,,,
il_municipality,il,bnei ayish,,2,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,,,
il_municipality,il,bnei brak,,169,147,0,0,0,0,-637,3,-54,0,-59,-25,-27,-115,-28,-57,0,77,-112,-141,-142,-63,-32,-23,-206,0,72,-167,-14
il_municipality,il,daburiya,,,,,,,,,4,0,0,1,6,2,1,5,7,0,4,-2,-1,-2,-2,0,-1,-3,0,-1,-3,1
il_municipality,il,dalyat al-carmel,,,,,,,,,,,,,,,,,,,,,,,,,,,0,18,6,4
il_municipality,il,dimona,,7,6,0,0,0,0,-126,-6,-5,0,-16,-3,4,1,2,1,0,-5,2,0,-2,1,-3,-2,-1,0,-2,-12,1
il_municipality,il,eilat,,8,7,0,0,0,0,-71,-1,-22,0,-17,-7,-6,-10,-1,-16,0,4,-4,-11,-2,-1,2,-5,0,0,-8,-10,1
il_municipality,il,el'ad,,36,66,0,0,0,0,70,11,-5,0,-16,-14,-5,-25,-11,0,0,-19,-52,-83,-40,-27,-10,-8,-33,0,1,-15,-6
il_municipality,il,even yehuda,,1,-1,0,0,0,0,,,,,,,,,,1,0,8,1,0,0,1,0,3,1,0,-2,-6,-1
il_municipality,il,eyn mahel,,8,12,0,0,0,0,54,-3,0,0,-15,-1,-26,-2,-8,4,0,-16,-7,-5,-1,6,2,0,-2,0,0,-1,4
il_municipality,il,furaydis,,,,0,0,0,0,11,3,0,0,-3,-1,3,-1,12,1,0,1,1,-7,-2,0,2,-7,-8,0,,,
il_municipality,il,gan yavne,,2,9,0,0,0,0,-76,1,0,0,-22,-2,-4,-2,-5,-1,0,1,4,-2,3,0,-2,-2,0,0,3,-8,-3
il_municipality,il,gane tikva,,3,0,0,0,0,0,-30,0,-4,0,-1,-1,-1,2,3,0,0,6,0,-1,-4,2,0,7,1,0,6,-7,0
il_municipality,il,gedera,,4,-1,0,0,0,0,-22,5,2,0,-1,1,-1,0,-1,-1,0,6,1,-11,-1,-1,0,4,-1,0,0,-12,4
il_municipality,il,giv'atayim,,4,1,0,0,0,0,-70,-1,-1,0,-2,-2,1,-4,-5,-3,0,0,0,0,-4,1,-1,-4,1,0,7,-12,4
il_municipality,il,giva'at shmuel,,5,4,0,0,0,0,-6,1,1,0,1,5,-9,-1,-6,-4,0,-14,-1,-13,-7,-2,-5,0,-1,0,2,-10,1
