region_schema,region_parent,region_child,agerange,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22
admin_0,,es,,,3,3,3,3,4,10,18,36,55,83,138,195,269,351,533,768,1100,1535,2302,3279,4433,5955,7646,9786,11488,14011,17707,21744,26299,31765,36633,41263,48981,57519,66492,34249,83917,90357,96154,104312,111737,69177,70684,70684,87537,142533,147799,153401,159200,163820,110313,119994,119994,120377,184062,188460,193200,136958,137936,206937,145783,214409,152587,222714,226603,194866,231990,204866,238456,241653,244848,247516,249050,216848,216257,217375,220444,220375,220375,232098,234953,270252,271752,239095,239263,277000,239125,278548,279012,279662,280117,252283
admin_0,,es,0-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129,130,134,175,181,186,207,212,234,234,250,251,251,286,250,247,287,285,288,292,396,396,395,382,423,433,448,451,400,484,492,502,506,624,634,657,660,670,694,696,705,725,731,730,738,765,765,765,817,829,858,857,871,876,877,877,,,,,998
admin_0,,es,10-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221,226,230,302,312,317,360,368,393,398,434,445,445,486,491,489,553,588,593,603,647,647,650,682,734,738,757,768,817,821,839,869,871,1131,1129,1201,1206,1219,1258,1269,1282,1306,1318,1316,1331,1398,1393,1393,1511,1545,1591,1591,1619,1626,1637,1637,,,,,1861
admin_0,,es,20-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1285,1352,1422,1932,2011,2088,2802,2883,3016,3039,3590,3662,3662,4575,4629,4604,5113,5381,5477,5545,6137,6137,6148,6294,6763,6864,6926,6996,7497,7525,7625,7962,7981,10522,10556,11087,11138,11162,11540,11594,11663,11914,12022,12008,12067,12321,12326,12326,12927,13098,13304,13311,13439,13453,13461,13461,,,,,14562
admin_0,,es,30-39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2208,2386,2511,3454,3575,3774,5168,5351,5656,5686,6853,6997,6997,8663,8761,8745,9819,10341,10518,10603,11484,11484,11524,11752,12466,12671,12788,12904,13638,13687,13857,14304,14338,17936,17976,18866,18924,18975,19558,19658,19773,20125,20312,20282,20386,20759,20755,20755,21784,22056,22423,22428,22643,22669,22639,22639,,,,,24075
admin_0,,es,40-49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2919,3190,3383,5045,5242,5551,7731,7965,8493,8579,10551,10759,10759,13300,13421,13411,15256,16088,16451,16591,17962,17962,18002,18388,19536,19877,20037,20201,21320,21370,21658,22430,22476,28127,28198,29547,29629,29680,30572,30707,30861,31342,31569,31489,31658,32239,32208,32208,33801,34233,34793,34808,35175,35192,35135,35135,,,,,36872
admin_0,,es,50-59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3129,3433,3698,5749,6030,6424,9135,9390,10108,10206,12722,12986,12986,16455,16577,16569,18790,19836,20342,20523,22336,22336,22390,22844,24471,24875,25072,25239,26550,26613,26971,27795,27858,34494,34610,36353,36423,36480,37555,37769,37937,38439,38720,38612,38792,39418,39355,39355,41417,41897,42515,42512,42874,42909,42794,42794,,,,,44591
admin_0,,es,60-69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2916,3179,3403,5397,5633,5980,8495,8744,9396,9516,11657,11927,11927,14847,14933,14935,16973,17713,18095,18261,19747,19747,19796,20137,21249,21601,21724,21848,22792,22837,23105,23595,23641,29156,29230,30314,30361,30393,30930,31091,31228,31576,31767,31682,31805,32226,32175,32175,33530,33838,34181,34188,34380,34403,34360,34360,,,,,35713
admin_0,,es,70-79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3132,3304,3555,5377,5620,5923,8416,8625,9295,9442,11368,11630,11630,14217,14300,14295,16257,16957,17297,17474,18716,18716,18764,19042,20287,20669,20801,20909,21773,21827,22101,22470,22490,28447,28499,29517,29550,29564,29979,30111,30190,30478,30583,30517,30632,30861,30844,30844,31962,32189,32323,32326,32395,32415,32443,32443,,,,,33814
admin_0,,es,80 y +,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin_0,,es,80-89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2545,2736,4080,4267,4497,6117,6255,6859,6950,8857,9064,9064,11119,11196,11204,13068,14218,14739,14966,16468,16468,16556,16962,19317,19931,20137,20277,21498,21579,22067,22832,22874,30236,30335,32109,32198,32173,33041,33258,33350,33838,33944,33807,34032,34365,34409,34409,36633,37153,37268,37269,37409,37426,37463,37463,,,,,39909
admin_0,,es,90+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,726,800,1305,1378,1465,1804,1833,2034,2063,2895,2963,2963,3589,3632,3645,4339,5040,5346,5455,6101,6101,6152,6335,7836,8130,8268,8343,8993,9040,9398,9828,9848,13660,13699,14726,14777,14769,15279,15456,15503,15828,15882,15814,15934,16092,16145,16145,17716,18115,18142,18145,18290,18294,18316,18316,,,,,19888
admin_1,es,es-an,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
