region_schema,region_parent,region_child,agerange,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-09-01,2020-09-02,2020-09-03
admin_0,,es,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,761,1084,793,710,524,529,377,692,829,510,734,464,448,245,498,389,317,290,235,257,156,430,-40,140,121,115,88,-2406,743,475,147,87,96,-116,8,95,39,214,17,58,21,25,59,72,57,48,38,9,11,41,49,47,27,49,16,9,45,39,34,32,51,24,27,51,39,-5,267,44,14,30,15,46,46,38,56,88,66,62,74,89,104,77,113,157,163,145,139,1215,144,347,238,320,463,358,339,456,420,439,440,462,481,403
admin_0,,es,0-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,4,2,3,16,0,9,0,12,0,0,21,-28,-2,4,6,1,-2,68,0,-3,-14,14,8,6,2,15,4,3,2,1,21,0,14,2,2,3,0,1,11,1,0,0,6,0,0,11,6,5,0,4,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin_0,,es,10-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,8,6,-1,12,2,4,0,19,6,0,21,6,-5,11,7,1,0,10,0,-1,4,11,7,9,3,-62,82,2,5,0,26,1,18,1,4,0,0,4,11,0,0,-1,2,0,0,9,7,3,0,2,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin_0,,es,20-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,17,65,13,15,134,7,23,3,69,11,0,193,45,-40,49,24,7,-7,86,0,1,2,41,14,18,17,71,6,3,23,0,133,-4,78,7,8,16,3,1,28,4,5,0,10,0,0,38,21,5,0,13,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin_0,,es,30-39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,17,183,24,42,373,29,64,8,205,35,0,531,77,-66,176,75,18,-8,195,0,9,-2,74,42,56,46,157,4,19,31,5,353,11,206,9,9,28,8,7,94,3,2,4,25,-1,0,99,58,13,1,26,5,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin_0,,es,40-49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115,62,433,75,112,744,48,190,21,576,80,0,1150,71,-51,460,215,62,10,464,0,10,4,223,85,143,132,361,9,30,73,10,980,40,439,9,33,46,21,11,142,12,-2,7,25,7,0,180,104,29,3,-7,1,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin_0,,es,50-59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138,96,752,122,157,1149,81,313,51,1000,152,0,1853,40,-12,838,340,146,60,721,0,13,19,443,132,190,183,655,20,64,109,15,1494,68,697,14,29,132,29,20,274,26,1,-12203,12231,6,0,302,161,43,-1,-35,2,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin_0,,es,60-69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202,119,1083,150,215,1460,150,414,55,1433,209,0,2113,-8,43,1152,357,187,73,832,0,23,16,525,181,270,171,618,16,64,80,15,1857,122,799,15,26,113,50,40,228,30,-11,22,43,2,0,333,160,40,5,-70,4,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin_0,,es,70-79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180,191,1329,197,215,1939,140,536,76,1633,234,0,2448,-27,61,1327,431,236,68,834,0,37,2,641,223,358,197,653,28,119,37,11,2377,168,854,20,35,204,76,-760,1080,49,-7,31,72,4,0,409,185,46,3,-105,6,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin_0,,es,80-89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,937,127,137,1263,83,439,47,1306,156,0,1722,-17,67,1054,612,261,189,789,0,55,7,860,270,253,179,819,34,151,245,19,1773,61,1080,34,45,350,156,38,365,27,-1,-15821,15969,9,0,637,277,61,7,101,11,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin_0,,es,90+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,270,31,31,248,12,112,14,411,31,0,374,13,14,241,291,83,140,226,0,17,-65,354,123,85,49,340,21,71,114,10,490,8,500,19,21,192,110,14,221,12,9,8,40,13,0,346,110,20,5,103,4,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin_1,es,es-an,,,,,,,,,,,,,,,,,,,,,18,42,0,0,105,32,90,65,117,104,119,141,267,301,193,217,263,188,377,196,280,297,229,223,211,120,108,128,136,116,93,142,43,61,93,79,72,43,83,49,36,56,51,59,40,32,20,25,39,42,62,26,0,12,10,29,15,11,31,11,12,9,13,14,18,15,13,4,4,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin_1,es,es-ar,,,,,,,,,,,,,,,,,,,,,6,2,12,17,5,10,7,20,26,65,49,57,86,75,103,131,142,0,259,82,58,86,111,74,83,49,26,53,49,57,38,41,37,28,40,102,43,29,36,28,27,33,36,19,13,23,8,22,29,23,17,9,16,7,13,13,12,14,5,5,7,11,8,11,12,11,7,4,8,-233,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin_1,es,es-as,,,,,,,,,,,0,1,0,0,3,0,0,3,4,2,2,3,6,4,11,18,21,27,24,26,25,30,41,30,41,48,57,25,39,38,25,48,32,23,17,21,32,20,28,22,34,32,21,18,12,13,39,14,8,5,6,8,2,3,8,2,6,7,6,6,1,4,3,2,4,7,4,4,1,3,0,0,0,4,3,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin_1,es,es-cb,,,,,,,,,,,,,,,,,,,,,3,0,0,0,15,0,7,15,21,31,24,41,43,41,59,55,51,43,32,41,21,24,25,27,20,19,19,23,20,27,26,32,22,26,20,17,13,8,13,10,14,8,9,13,4,9,4,5,6,1,2,0,1,1,4,3,2,2,1,4,0,0,2,1,1,1,1,2,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin_1,es,es-ce,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
