region_schema,region_parent,region_child,agerange,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-09-29,2020-09-30,2020-10-01,2020-10-02,2020-10-06,2020-10-07,2020-10-08,2020-10-09,2020-10-13,2020-10-14,2020-10-15,2020-10-16,2020-10-20,2020-10-21,2020-10-27,2020-10-28,2020-10-29,2020-10-30,2020-11-03,2020-11-04,2020-11-05,2020-11-06,2020-11-10,2020-11-11,2020-11-12,2020-11-13,2020-11-17,2020-11-18,2020-11-19,2020-11-20,2020-11-24,2020-11-25,2020-11-26,2020-11-27
admin_0,,es,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,81,50,64,21,37,51,55,82,36,27,15,22,25,16,26,11,14,13,12,31,20,8,12,3,-179,66,10,15,8,7,-4,-1,14,2,11,6,172,4,3,3,-1,4,0,2,0,1,4,6,0,3,4,0,1,5,7,1,0,-8,15,3,3,0,3,37,0,1,1,2,5,2,3,2,3,3,5,2,11,5,8,5,15,7,10,12,9,16,14,7,24,35,18,15,40,34,34,39,33,35,29,62,49,45,40,27,65,36,33,43,44,83,60,83,29,129,88,59,71,49,102,90,38,80,73,86,110,62,86,0,211,128,76,-2070,85,134,127,137,123,112,119,113,76,89,130,108,102,128
admin_0,,es,0-9,0,0,0,0,0,2,0,1,0,3,0,0,8,-8,-1,0,1,0,1,12,0,0,0,-1,0,0,2,4,0,0,1,0,2,0,3,0,0,0,0,0,5,1,-1,0,0,0,0,0,3,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin_0,,es,10-19,1,1,-1,0,0,1,0,0,0,1,0,0,1,2,-2,1,0,0,-1,1,0,0,1,1,1,0,2,3,0,0,0,0,4,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin_0,,es,20-29,2,2,3,1,2,4,0,0,0,7,1,0,13,10,-9,6,3,0,0,0,0,0,0,1,0,0,5,9,0,0,0,0,10,0,5,0,1,2,0,0,1,1,-1,0,0,0,0,0,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin_0,,es,30-39,3,5,16,2,0,19,5,1,1,19,3,0,36,11,-11,18,17,2,3,5,0,1,-2,7,2,5,9,6,0,1,8,2,33,-2,9,1,0,-1,1,1,5,0,-1,0,1,0,0,6,4,0,0,7,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin_0,,es,40-49,5,14,35,5,9,26,12,3,9,57,12,0,99,14,-14,43,33,-3,5,20,0,3,4,21,7,19,52,23,0,2,5,0,101,0,32,1,0,6,1,2,12,2,-1,1,-2,2,0,11,7,3,1,2,0,-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin_0,,es,50-59,17,27,54,18,22,59,9,8,15,114,21,0,187,3,2,119,113,13,13,35,0,3,-1,50,14,30,51,39,2,7,28,0,192,-3,84,1,2,12,4,2,35,3,2,0,3,1,0,20,21,7,1,12,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin_0,,es,60-69,30,53,118,27,32,127,36,15,16,193,44,0,266,-9,15,181,180,6,23,78,0,-3,1,83,29,56,85,50,5,5,20,2,293,12,115,4,5,24,8,10,53,3,-1,2,-1,0,0,52,51,9,0,-3,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin_0,,es,70-79,27,56,156,50,36,107,23,23,29,148,39,0,247,-12,13,156,194,7,19,36,0,-17,-2,46,21,69,68,34,3,7,33,0,219,4,62,3,5,32,10,10,33,7,-1,4,4,0,0,40,27,9,6,5,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin_0,,es,80-89,,36,-18,3,1,6,6,3,4,17,2,0,19,2,0,11,24,0,3,7,0,0,2,7,4,4,26,11,0,1,3,-1,46,6,22,1,3,14,2,0,1,-1,1,0,3,0,0,6,3,1,-1,8,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
