region_schema,region_parent,region_child,agerange,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-22
admin_0,,es,,9736,9736,11175,16444,17116,18070,25166,25809,27788,28047,34069,34789,34789,42972,43247,43212,48684,50977,52130,52645,56873,56873,57029,58020,61888,62982,63473,63878,66881,67031,67354,69253,69354,87042,87226,90774,90924,91029,92748,93167,93518,94578,95013,94835,95209,96277,96287,96287,100430,101485,102366,102382,102987,103006,102983,102983,106970
admin_0,,es,0-9,65,65,66,95,99,103,110,113,115,120,135,134,134,155,127,127,148,146,145,148,212,212,211,205,224,236,250,251,267,270,274,277,278,330,337,354,356,363,377,379,383,396,401,399,404,415,416,416,436,445,466,465,468,470,463,463,501
admin_0,,es,10-19,98,96,94,135,142,143,162,168,185,187,210,217,217,228,226,231,264,281,289,291,306,306,306,321,342,345,355,359,381,383,390,404,405,499,499,537,538,544,562,569,572,580,589,588,594,618,619,619,672,691,713,713,728,729,736,736,802
admin_0,,es,20-29,559,599,617,790,822,857,1106,1130,1204,1195,1356,1380,1380,1683,1713,1694,1840,1918,1939,1964,2131,2131,2138,2192,2331,2360,2388,2405,2570,2577,2612,2684,2693,3484,3503,3683,3701,3707,3815,3834,3856,3916,3953,3951,3974,4038,4047,4047,4237,4290,4353,4355,4392,4393,4395,4395,4683
admin_0,,es,30-39,949,1034,1086,1487,1538,1626,2210,2281,2419,2411,2824,2884,2884,3532,3607,3561,3976,4141,4209,4241,4535,4535,4542,4626,4843,4903,4944,4987,5241,5256,5309,5452,5462,6758,6772,7069,7083,7105,7278,7306,7342,7459,7521,7515,7548,7682,7684,7684,8038,8134,8256,8258,8317,8317,8309,8309,8754
admin_0,,es,40-49,1428,1541,1618,2355,2444,2578,3586,3696,3952,3984,4822,4909,4909,6122,6171,6156,6920,7217,7340,7404,7971,7971,7989,8149,8543,8660,8726,8790,9190,9207,9305,9537,9551,11895,11910,12370,12398,12415,12682,12722,12784,12934,13010,12985,13046,13261,13271,13271,13844,13995,14171,14176,14348,14349,14352,14352,14817
admin_0,,es,50-59,1520,1664,1785,2715,2850,3054,4382,4490,4810,4867,5979,6098,6098,7739,7787,7792,8775,9175,9370,9448,10237,10237,10264,10432,11034,11198,11288,11352,11875,11904,12018,12289,12306,15312,15334,15979,16009,16035,16387,16463,16536,16704,16788,16750,16805,17023,17009,17009,17743,17936,18153,18150,18288,18298,18281,18281,18885
admin_0,,es,60-69,1557,1711,1839,2879,2995,3187,4589,4727,5064,5142,6320,6475,6475,8053,8096,8106,9172,9542,9736,9831,10610,10610,10639,10802,11390,11562,11626,11687,12142,12161,12291,12498,12521,15473,15509,16036,16054,16065,16300,16371,16441,16621,16698,16652,16714,16885,16875,16875,17444,17616,17758,17764,17833,17836,17828,17828,18369
admin_0,,es,70-79,1894,2010,2158,3223,3360,3527,4994,5105,5494,5599,6727,6886,6886,8397,8410,8429,9486,9855,10060,10163,10829,10829,10849,10970,11620,11810,11875,11944,12402,12428,12566,12737,12748,16044,16072,16564,16575,16580,16750,16811,16857,16996,17046,17020,17067,17170,17161,17161,17666,17801,17852,17854,17880,17882,17889,17889,18414
admin_0,,es,80 y +,1666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin_0,,es,80-89,,1453,1560,2237,2318,2421,3297,3362,3710,3709,4577,4667,4667,5695,5726,5730,6509,6938,7171,7258,7930,7930,7959,8132,8989,9241,9325,9387,9903,9926,10092,10298,10309,13274,13312,13917,13932,13933,14207,14284,14005,14453,14480,14457,14515,14617,14631,14631,15369,15517,15575,15577,15622,15624,15625,15625,16372
admin_0,,es,90+,,320,352,528,548,574,730,737,835,833,1119,1139,1139,1368,1384,1386,1594,1764,1871,1897,2112,2112,2132,2191,2572,2667,2696,2716,2910,2919,2997,3077,3081,3973,3978,4265,4278,4282,4390,4428,4442,4519,4527,4518,4542,4568,4574,4574,4981,5060,5069,5070,5111,5108,5105,5105,5373
