region_schema,region_parent,region_child,agerange,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22
admin_0,,es,,0,0,0,1,6,8,18,19,28,55,57,74,82,182,235,332,435,767,977,1154,1522,1691,2140,1702,2523,3696,4037,4555,5466,4868,4630,-20792,37048,8973,-32243,1956,54152,5797,-40670,56253,7581,-48634,62623,5552,3674,-54389,65257,5799,4620,-53507,9681,56009,3344,-56529,10264,2707,1169,978,7622,225,2330,4474,70127,-28381,35073,-25029,30607,3472,-28050,1203,35907,-31945,1277,-591,1118,40557,3012,-40569,45026,3328,-31331,37,1660,168,-138,38895,528,464,650,455,-27834
admin_0,,es,0-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,41,6,5,21,5,22,0,16,1,0,35,-36,-3,40,-2,3,4,104,0,-1,-13,41,10,15,3,-51,84,8,10,4,118,10,23,3,10,24,2,9,20,6,-1,8,27,0,0,52,12,29,-1,14,5,1,0,,,,,
admin_0,,es,10-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,72,10,5,43,8,25,5,36,11,0,41,5,-2,64,35,5,10,44,0,3,32,52,4,19,11,49,4,18,30,2,260,-2,72,5,13,39,11,13,24,12,-2,15,67,-5,0,118,34,46,0,28,7,11,0,,,,,
admin_0,,es,20-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,70,510,79,77,714,81,133,23,551,72,0,913,54,-25,509,268,96,68,592,0,11,146,469,101,62,70,501,28,100,337,19,2541,34,531,51,24,378,54,69,251,108,-14,59,254,5,0,601,171,206,7,128,14,8,0,,,,,
admin_0,,es,30-39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178,125,943,121,199,1394,183,305,30,1167,144,0,1666,98,-16,1074,522,177,85,881,0,40,228,714,205,117,116,734,49,170,447,34,3598,40,890,58,51,583,100,115,352,187,-30,104,373,-4,0,1029,272,367,5,215,26,-30,0,,,,,
admin_0,,es,40-49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271,193,1662,197,309,2180,234,528,86,1972,208,0,2541,121,-10,1845,832,363,140,1371,0,40,386,1148,341,160,164,1119,50,288,772,46,5651,71,1349,82,51,892,135,154,481,227,-80,169,581,-31,0,1593,432,560,15,367,17,-57,0,,,,,
admin_0,,es,50-59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,304,265,2051,281,394,2711,255,718,98,2516,264,0,3469,122,-8,2221,1046,506,181,1813,0,54,454,1627,404,197,167,1311,63,358,824,63,6636,116,1743,70,57,1075,214,168,502,281,-108,180,626,-63,0,2062,480,618,-3,362,35,-115,0,,,,,
admin_0,,es,60-69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263,224,1994,236,347,2515,249,652,120,2141,270,0,2920,86,2,2038,740,382,166,1486,0,49,341,1112,352,123,124,944,45,268,490,46,5515,74,1084,47,32,537,161,137,348,191,-85,123,421,-51,0,1355,308,343,7,192,23,-43,0,,,,,
admin_0,,es,70-79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172,251,1822,243,303,2493,209,670,147,1926,262,0,2587,83,-5,1962,700,340,177,1242,0,48,278,1245,382,132,108,864,54,274,369,20,5957,52,1018,33,14,415,132,79,288,105,-66,115,229,-17,0,1118,227,134,3,69,20,28,0,,,,,
admin_0,,es,80-89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191,1344,187,230,1620,138,604,91,1907,207,0,2055,77,8,1864,1150,521,227,1502,0,88,406,2355,614,206,140,1221,81,488,765,42,7362,99,1774,89,-25,868,217,92,488,106,-137,225,333,44,0,2224,520,115,1,140,17,37,0,,,,,
admin_0,,es,90+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,505,73,87,339,29,201,29,832,68,0,626,43,13,694,701,306,109,646,0,51,183,1501,294,138,75,650,47,358,430,20,3812,39,1027,51,-8,510,177,47,325,54,-68,120,158,53,0,1571,399,27,3,145,4,22,0,,,,,
