region_schema,region_parent,region_child,agerange,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-22
admin_0,,es,,9182,9966,10676,16363,17124,18127,25054,25796,27682,28050,35091,35885,35885,44557,44925,44920,51740,55450,56976,57647,63101,63101,63329,64777,71180,72800,73477,74054,78473,78747,80253,83329,83522,108187,108530,114492,113932,114048,117651,118434,118966,120935,121832,121419,122163,124164,124085,124085,131661,133461,135026,135047,136104,136151,135909,135909,141983
admin_0,,es,0-9,64,65,67,80,82,83,96,98,119,114,116,117,117,131,123,120,139,138,142,144,184,184,184,177,199,199,200,202,215,216,220,225,228,299,302,308,304,307,317,317,322,329,330,331,334,350,349,349,381,384,392,392,403,403,409,409,432
admin_0,,es,10-19,123,130,133,167,170,174,195,197,208,211,223,228,228,258,265,258,289,307,304,312,341,341,344,361,392,395,404,411,438,440,450,465,466,645,643,677,668,675,696,700,710,726,729,728,737,780,774,774,839,854,878,878,891,892,893,893,950
admin_0,,es,20-29,724,751,803,1139,1186,1228,1693,1749,1808,1840,2233,2279,2279,2889,2911,2904,3267,3458,3531,3575,4000,4000,4004,4094,4428,4501,4535,4588,4924,4944,5009,5276,5286,7086,7101,7452,7437,7455,7725,7760,7007,7998,8069,8057,8093,8283,8279,8279,8689,8807,8950,8955,9046,9048,9045,9045,9573
admin_0,,es,30-39,1258,1352,1424,1967,2037,2148,2957,3069,3237,3275,4028,4113,4113,5131,5153,5183,5841,6199,6307,6361,6948,6948,6981,7125,7623,7764,7840,7913,8393,8427,8544,8852,8876,11271,11297,11890,11841,11870,12280,12352,12431,12666,12791,12767,12838,13077,13071,13071,13745,13921,14167,14170,14326,14329,14297,14297,14891
admin_0,,es,40-49,1487,1645,1759,2690,2798,2973,4143,4265,4539,4593,5731,5849,5849,7178,7248,7255,8334,8869,9107,9185,9989,9989,10011,10236,10990,11221,11315,11416,12135,12168,12358,12892,12924,16384,16440,17329,17230,17264,17890,17984,18076,18407,18558,18503,18611,18978,18937,18937,19957,20238,20622,20632,20827,20831,20747,20747,21490
admin_0,,es,50-59,1603,1766,1910,3032,3178,3368,4751,4897,5295,5337,6740,6887,6887,8715,8788,8776,10008,10658,10963,11070,12095,12095,12123,12409,13434,13684,13791,13894,14682,14716,14959,15504,15550,19352,19445,20542,20412,20444,21167,21305,21400,21734,21932,21862,21987,22395,22346,22346,23673,23960,24361,24361,24584,24598,24479,24479,25141
admin_0,,es,60-69,1338,1465,1561,2516,2636,2790,3903,4014,4329,4369,5330,5449,5449,6790,6833,6825,7797,8167,8354,8426,9134,9134,9154,9332,9858,10037,10096,10160,10649,10675,10813,11097,11118,13817,13852,14409,14303,14325,14627,14717,14784,14952,15069,15030,15091,15339,15298,15298,16083,16219,16420,16421,16547,16554,16506,16506,16944
admin_0,,es,70-79,1237,1294,1395,2152,2258,2396,3422,3519,3800,3841,4636,4742,4742,5820,5887,5866,6765,7100,7230,7309,7884,7884,7912,8069,8664,8847,8914,8954,9360,9388,9525,9733,9742,12560,12583,13109,12974,12983,13228,13299,13332,13481,13537,13497,13565,13691,13683,13683,14296,14388,14471,14472,14515,14522,14533,14533,15093
admin_0,,es,80 y +,1348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin_0,,es,80-89,,1092,1176,1843,1949,2076,2820,2892,3148,3240,4279,4397,4397,5424,5469,5474,6557,7279,7566,7707,8537,8537,8596,8830,10328,10685,10807,10885,11590,11648,11970,12534,12565,17056,17116,18285,18264,18238,18832,18972,19043,19383,19462,19348,19515,19747,19777,19777,21263,21635,21692,21691,21786,21791,21805,21805,23180
admin_0,,es,90+,,406,448,777,830,891,1074,1096,1199,1230,1775,1824,1824,2221,2248,2259,2743,3275,3472,3558,3989,3989,4020,4144,5264,5467,5575,5631,6087,6125,6405,6751,6767,9717,9751,10491,10499,10487,10889,11028,11061,11309,11355,11296,11392,11524,11571,11571,12735,13055,13073,13075,13179,13183,13195,13195,14289
