region_schema,region_parent,region_child,agerange,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15
admin_1,na,na-ca,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
admin_1,na,na-er,,36,0,79,107,54,53,20,49,44,0,69,73,3,91,70,162,0,137,21,32,111,79,55,81,61,60,59,0,52,0,0,184,94,49,118,102,0,16,44,73,0,0,0
admin_1,na,na-ha,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
admin_1,na,na-ka,,0,0,0,0,0,0,1,0,1,0,1,1,0,4,0,4,0,0,0,1,1,2,3,1,1,4,0,0,0,0,0,1,1,0,2,0,0,0,3,0,0,0,0
admin_1,na,na-kh,,0,0,2,2,0,1,0,0,1,0,0,2,0,1,1,4,0,0,1,3,7,10,5,5,6,4,8,0,14,0,0,47,14,15,45,42,0,32,35,73,0,0,0
admin_1,na,na-ku,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
admin_1,na,na-od,,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,8,2,0,2,1,0,2,1,3,0,0,0
admin_1,na,na-oh,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,2,0,0,1,0,0,0,0
admin_1,na,na-on,,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,1,0,0,10,1,0,0,9,0,0,0,0
admin_1,na,na-os,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
admin_1,na,na-ot,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0
admin_1,na,na-ow,,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0
