region_schema,region_parent,region_child,agerange,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15
admin_1,na,na-ca,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,-1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,0,0,0
admin_1,na,na-er,,64,0,50,107,54,53,20,49,43,0,69,71,2,91,69,161,0,129,3,29,106,76,55,79,36,57,58,0,-6,0,0,168,94,42,-209,95,0,-36,2,73,0,0,0
admin_1,na,na-ha,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,0,0,1,0,0,1,0,0,0,0,0,1,0,-3,1,0,0,0,1,0,0,0
admin_1,na,na-ka,,0,0,0,0,0,0,1,0,1,0,0,1,0,4,0,4,0,-2,0,1,1,2,3,1,1,4,0,0,0,0,0,1,1,0,1,0,0,0,3,0,0,0,0
admin_1,na,na-kh,,0,0,1,3,0,1,0,0,1,0,0,2,0,0,1,4,0,-2,1,3,7,10,5,3,6,4,8,0,13,0,0,41,13,3,34,36,0,19,12,62,0,0,0
admin_1,na,na-ku,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
admin_1,na,na-od,,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,7,2,-2,1,1,0,2,1,3,0,0,0
admin_1,na,na-oh,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,2,0,0,1,0,0,0,0
admin_1,na,na-on,,0,0,0,0,0,0,1,1,0,0,1,0,0,-1,0,0,0,0,0,0,0,0,2,0,0,2,0,0,-2,0,0,1,0,0,5,1,0,0,9,0,0,0,0
admin_1,na,na-os,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,0,0,0
admin_1,na,na-ot,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0
admin_1,na,na-ow,,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,2,0,0,-1,0,1,0,0,0,0,1,0,-4,1,1,0,0,-2,0,0,0,0
