region_schema,region_parent,region_child,agerange,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15
admin_1,na,na-ca,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,4,4,3,4,4,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,5,5,5,5,5
admin_1,na,na-er,,205,269,269,319,426,480,533,553,602,645,645,714,785,787,878,947,1108,1108,1237,1240,1269,1375,1451,1506,1585,1621,1678,1736,1736,1730,1730,1730,1898,1992,2034,1825,1920,1920,1884,1886,1959,1959,1959,1959
admin_1,na,na-ha,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,2,3,3,3,4,4,4,4,4,4,5,5,2,3,3,3,3,4,4,4,4
admin_1,na,na-ka,,5,5,5,5,5,5,5,6,6,7,7,7,8,8,12,12,16,16,14,14,15,16,18,21,22,23,27,27,27,27,27,27,28,29,29,30,30,30,30,33,33,33,33,33
admin_1,na,na-kh,,11,11,11,12,15,15,16,16,16,17,17,17,19,19,19,20,24,24,22,23,26,33,43,48,51,57,61,69,69,82,82,82,123,136,139,173,209,209,228,240,302,302,302,302
admin_1,na,na-ku,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
admin_1,na,na-od,,2,2,2,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,7,7,7,8,8,8,8,8,8,15,17,15,16,17,17,19,20,23,23,23,23
admin_1,na,na-oh,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,2,2,3,3,3,3,3
admin_1,na,na-on,,2,2,2,2,2,2,2,3,4,4,4,5,5,5,4,4,4,4,4,4,4,4,4,6,6,6,8,8,8,6,6,6,7,7,7,12,13,13,13,22,22,22,22,22
admin_1,na,na-os,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,2,2
admin_1,na,na-ot,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,2,2,2,2,3,3,3,3,6,6,6,6,6
admin_1,na,na-ow,,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,4,4,6,6,6,6,8,8,8,7,7,8,8,8,8,8,9,9,5,6,7,7,7,5,5,5,5,5
