region_schema,region_parent,region_child,agerange,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15
admin_1,na,na-ca,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,4,4,4,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7
admin_1,na,na-er,,212,248,248,327,434,488,541,561,610,654,654,723,796,799,890,960,1122,1122,1259,1280,1312,1423,1502,1557,1638,1699,1759,1818,1818,1870,1870,1870,2054,2148,2197,2315,2417,2417,2433,2477,2550,2550,2550,2550
admin_1,na,na-ha,,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,8,8,8,8,8,8,9,9,9,10,10,10,10,11,11,11,11
admin_1,na,na-ka,,7,7,7,7,7,7,7,8,8,9,9,10,11,11,15,15,19,19,19,19,20,21,23,26,27,28,32,32,32,32,32,32,33,34,34,36,36,36,36,39,39,39,39,39
admin_1,na,na-kh,,25,25,25,27,29,29,30,30,30,31,31,31,33,33,34,35,39,39,39,40,43,50,60,65,70,76,80,88,88,102,102,102,149,163,178,223,265,265,297,332,405,405,405,405
admin_1,na,na-ku,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
admin_1,na,na-od,,2,2,2,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,7,7,7,8,8,8,8,8,8,16,18,18,20,21,21,23,24,27,27,27,27
admin_1,na,na-oh,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,2,2,3,3,3,3,3
admin_1,na,na-on,,2,2,2,2,2,2,2,3,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,9,9,9,9,9,9,10,10,10,20,21,21,21,30,30,30,30,30
admin_1,na,na-os,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,4,4,4,4
admin_1,na,na-ot,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,2,2,2,2,3,3,3,3,6,6,6,6,6
admin_1,na,na-ow,,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,4,4,6,6,6,6,8,8,8,8,8,9,9,9,9,9,10,10,10,12,13,13,13,13,13,13,13,13
