region_schema,region_parent,region_child,agerange,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29
ps_province,ps,ps-bth,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,4,6,5,5,17,17,28,38,57,90,93,120,126,173,180,207,238,249,257,265,288,308,315,324,335,353,371,362,413,413,427,423,446,458,466,435,430,429,279,284,299
ps_province,ps,ps-gza,,42,42,42,47,51,51,51,51,29,29,30,30,30,30,30,30,30,26,26,15,15,15,15,15,15,15,15,15,14,14,14,14,14,11,11,11,11,11,11,11,11,11,8,8,8,8,8,3,3,3,5,5,6,6,4,5,5,4,4
ps_province,ps,ps-hbn,,21,21,21,21,21,21,21,29,18,25,19,21,23,23,26,38,42,79,122,208,280,326,477,641,769,810,904,960,1281,1413,1615,1853,2134,2337,2748,2931,3181,3458,3773,3895,4155,4376,4140,4329,4446,4356,4533,4677,4796,4806,4940,5058,5210,4676,4580,4333,4073,3828,3652
ps_province,ps,ps-jem,,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,15,19,23,29,32,32,43,51,91,91,120,128,141,141,156,159,214,247,259,321,353,352,410,411,521,585,585,641,740,790,847,878,836
ps_province,ps,ps-jen,,0,0,0,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,2,2,4,5,6,6,7,7,7,6,6,6,6,6,6,7,7,5,8,9,10,14,55,60,61,62,62,61,62,51,65,78,93
ps_province,ps,ps-jrh,,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,5,7,10,10,12,12,12,12,12,14,22,22,22,24,35,35,66,70,76,98,98,121,154,154,164,208,240,251,252,268
ps_province,ps,ps-nbs,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,21,26,28,31,33,36,37,42,57,91,113,125,142,156,164,179,171,164,163,169,167,173,159,160,157,142,126,129,136,112,114,120,139,127,147,193,227,247,239,246
ps_province,ps,ps-qqa,,14,14,16,16,16,16,16,16,16,16,17,17,17,17,17,17,17,16,16,5,5,3,0,0,0,0,0,0,0,1,2,2,5,6,6,6,6,6,6,5,6,6,9,20,20,28,34,36,94,98,116,120,120,125,135,139,135,146,145
ps_province,ps,ps-rbh,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,4,6,6,6,8,9,9,11,17,19,20,23,28,39,43,45,46,46,51,57,72,80,106,141,190,241,242,377,420,425,455,456,495,537,537,569,603,608,611,483,443
ps_province,ps,ps-slt,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,12,16,20,20,21,20,18,18,24,24,25,25,25,25
ps_province,ps,ps-tbs,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,24,29,39,39,43,45,45,48,48,48,48,49,35
ps_province,ps,ps-tkm,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,3,4,4,5,5,5,6,7,11,12,12,13,15,17,21,27,28,30,30,36,37,37,38,38,38,40,37,44,51,52,54,41,54,55,55,54
