region_schema,region_parent,region_child,agerange,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29
ps_province,ps,ps-bth,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,2,-1,0,12,0,11,10,19,33,3,27,6,47,7,27,31,11,8,8,23,20,7,9,11,18,18,-9,51,0,14,-4,23,12,8,-31,-5,-1,-150,5,15
ps_province,ps,ps-gza,,0,0,5,4,0,0,0,-22,0,1,0,0,0,0,0,0,-4,0,-11,0,0,0,0,0,0,0,0,-1,0,0,0,0,-3,0,0,0,0,0,0,0,0,-3,0,0,0,0,-5,0,0,2,0,1,0,-2,1,0,-1,0
ps_province,ps,ps-hbn,,0,0,0,0,0,0,8,-11,7,-6,2,2,0,3,12,4,37,43,86,72,46,151,164,128,41,94,56,321,132,202,238,281,203,411,183,250,277,315,122,260,221,-236,189,117,-90,177,144,119,10,134,118,152,-534,-96,-247,-260,-245,-176
ps_province,ps,ps-jem,,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,2,4,4,6,3,0,11,8,40,0,29,8,13,0,15,3,55,33,12,62,32,-1,58,1,110,64,0,56,99,50,57,31,-42
ps_province,ps,ps-jen,,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,2,0,2,1,1,0,1,0,0,-1,0,0,0,0,0,1,0,-2,3,1,1,4,41,5,1,1,0,-1,1,-11,14,13,15
ps_province,ps,ps-jrh,,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,3,0,2,0,0,0,0,2,8,0,0,2,11,0,31,4,6,22,0,23,33,0,10,44,32,11,1,16
ps_province,ps,ps-nbs,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,18,5,2,3,2,3,1,5,15,34,22,12,17,14,8,15,-8,-7,-1,6,-2,6,-14,1,-3,-15,-16,3,7,-24,2,6,19,-12,20,46,34,20,-8,7
ps_province,ps,ps-qqa,,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,-11,0,-2,-3,0,0,0,0,0,0,1,1,0,3,1,0,0,0,0,0,-1,1,0,3,11,0,8,6,2,58,4,18,4,0,5,10,4,-4,11,-1
ps_province,ps,ps-rbh,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,-1,2,0,0,2,1,0,2,6,2,1,3,5,11,4,2,1,0,5,6,15,8,26,35,49,51,1,135,43,5,30,1,39,42,0,32,34,5,3,-128,-40
ps_province,ps,ps-slt,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,4,4,0,1,-1,-2,0,6,0,1,0,0,0
ps_province,ps,ps-tbs,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,5,10,0,4,2,0,3,0,0,0,1,-14
ps_province,ps,ps-tkm,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,1,1,4,1,0,1,2,2,4,6,1,2,0,6,1,0,1,0,0,2,-3,7,7,1,2,-13,13,1,0,-1
