region_schema,region_parent,region_child,agerange,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29
ps_province,ps,ps-bth,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,2,0,0,12,0,11,10,19,33,3,27,0,47,0,27,0,11,8,8,23,20,18,8,11,29,18,1,51,0,14,1,23,12,8,15,11,8,4,4,15
ps_province,ps,ps-gza,,0,0,5,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0
ps_province,ps,ps-hbn,,0,0,0,0,0,0,8,1,7,0,2,2,0,3,12,4,37,43,86,103,46,151,164,128,41,94,20,143,132,0,248,0,206,0,185,34,278,316,151,263,328,166,194,158,50,182,319,199,321,135,119,154,167,106,64,40,25,180
ps_province,ps,ps-jem,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,2,4,4,6,0,0,0,8,0,0,14,8,14,0,15,2,55,33,0,62,32,0,59,0,110,64,0,56,99,50,57,62,58
ps_province,ps,ps-jen,,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,1,1,4,19,5,1,1,0,2,1,1,14,13,15
ps_province,ps,ps-jrh,,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,3,0,2,0,0,2,0,2,8,0,0,2,11,0,31,4,6,22,0,23,33,0,10,44,32,11,1,16
ps_province,ps,ps-nbs,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,18,6,2,3,2,3,1,5,8,24,22,0,17,0,8,0,10,1,2,6,3,6,5,7,4,4,4,4,7,5,3,6,19,6,48,46,34,20,16,7
ps_province,ps,ps-qqa,,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,3,11,0,8,6,2,58,6,18,4,0,5,10,4,6,18,6
ps_province,ps,ps-rbh,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,-1,2,0,0,2,1,0,2,6,2,1,3,0,11,0,2,0,0,3,6,15,8,26,36,49,51,1,135,44,5,52,8,38,49,0,32,27,5,3,8,13
ps_province,ps,ps-slt,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,4,4,0,1,0,2,0,6,0,1,0,1,0
ps_province,ps,ps-tbs,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,5,10,0,4,2,0,3,0,0,0,1,3
ps_province,ps,ps-tkm,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,1,0,4,0,0,0,2,2,4,6,1,2,0,6,1,1,1,0,0,2,0,7,7,1,2,5,13,8,4,4
