region_schema,region_parent,region_child,agerange,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29
ps_province,ps,ps-bth,,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,70,68,68,79,79,89,89,89,89,94,94,94,94,140,156,164,318,318,318
ps_province,ps,ps-gza,,18,18,18,18,18,18,18,18,40,40,41,41,41,41,41,41,41,45,45,56,56,56,56,56,56,56,56,56,57,57,57,57,57,60,60,60,60,60,60,60,60,60,63,63,63,63,63,68,68,68,68,68,68,68,70,70,70,70,70
ps_province,ps,ps-hbn,,58,58,58,58,58,58,58,58,70,70,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,80,89,89,89,89,89,89,89,89,115,115,217,616,616,655,795,795,969,1042,1357,1357,1357,1357,2057,2256,2563,2862,3132,3487
ps_province,ps,ps-jem,,138,138,138,138,138,138,138,138,138,138,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,168,268
ps_province,ps,ps-jen,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,11,11,11,11,11,13,13,13,13,13,16,16,28,28,28,28
ps_province,ps,ps-jrh,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ps_province,ps,ps-nbs,,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,25,34,37,37,42,42,61,67,74,93,113,113,113,142,144,144,144,162,190,190,190,190,214,214
ps_province,ps,ps-qqa,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,12,12,14,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,27,35,42
ps_province,ps,ps-rbh,,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,84,84,84,77,77,77,211,264
ps_province,ps,ps-slt,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,6,6
ps_province,ps,ps-tbs,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
ps_province,ps,ps-tkm,,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,10,10,10,10,10,28,28,35,39,44
