region_schema,region_parent,region_child,agerange,2020-07-31,2020-08-06
postcode,au-vic,3000,,68,90
postcode,au-vic,3001,,0,0
postcode,au-vic,3002,,6,7
postcode,au-vic,3003,,20,34
postcode,au-vic,3004,,17,34
postcode,au-vic,3005,,0,0
postcode,au-vic,3006,,37,46
postcode,au-vic,3008,,27,32
postcode,au-vic,3010,,0,0
postcode,au-vic,3011,,79,99
postcode,au-vic,3012,,107,129
postcode,au-vic,3013,,21,38
postcode,au-vic,3014,,0,0
postcode,au-vic,3015,,23,34
postcode,au-vic,3016,,24,30
postcode,au-vic,3017,,0,0
postcode,au-vic,3018,,22,28
postcode,au-vic,3019,,83,107
postcode,au-vic,3020,,223,300
postcode,au-vic,3021,,325,407
postcode,au-vic,3022,,80,93
postcode,au-vic,3023,,270,329
postcode,au-vic,3024,,111,151
postcode,au-vic,3025,,32,43
postcode,au-vic,3026,,50,53
postcode,au-vic,3027,,34,45
postcode,au-vic,3028,,51,80
postcode,au-vic,3029,,640,830
postcode,au-vic,3030,,317,456
postcode,au-vic,3031,,308,329
postcode,au-vic,3032,,117,135
postcode,au-vic,3033,,30,35
postcode,au-vic,3034,,59,68
postcode,au-vic,3035,,0,0
postcode,au-vic,3036,,22,31
postcode,au-vic,3037,,195,255
postcode,au-vic,3038,,74,88
postcode,au-vic,3039,,55,66
postcode,au-vic,3040,,71,88
postcode,au-vic,3041,,24,28
postcode,au-vic,3042,,38,48
postcode,au-vic,3043,,42,48
postcode,au-vic,3044,,73,102
postcode,au-vic,3045,,0,0
postcode,au-vic,3046,,135,173
postcode,au-vic,3047,,149,166
postcode,au-vic,3048,,64,87
postcode,au-vic,3049,,23,28
postcode,au-vic,3050,,1,1
postcode,au-vic,3051,,207,218
postcode,au-vic,3052,,22,30
postcode,au-vic,3053,,100,104
postcode,au-vic,3054,,18,21
postcode,au-vic,3055,,31,41
postcode,au-vic,3056,,62,70
postcode,au-vic,3057,,26,34
postcode,au-vic,3058,,95,119
postcode,au-vic,3059,,66,77
postcode,au-vic,3060,,142,162
postcode,au-vic,3061,,11,14
postcode,au-vic,3062,,0,0
postcode,au-vic,3063,,3,3
postcode,au-vic,3064,,546,671
postcode,au-vic,3065,,63,75
postcode,au-vic,3066,,75,86
postcode,au-vic,3067,,21,18
postcode,au-vic,3068,,40,45
postcode,au-vic,3069,,0,0
postcode,au-vic,3070,,39,62
postcode,au-vic,3071,,24,33
postcode,au-vic,3072,,69,85
postcode,au-vic,3073,,120,190
postcode,au-vic,3074,,80,115
postcode,au-vic,3075,,73,82
postcode,au-vic,3076,,186,219
postcode,au-vic,3077,,0,0
postcode,au-vic,3078,,11,17
postcode,au-vic,3079,,39,41
postcode,au-vic,3080,,0,0
postcode,au-vic,3081,,132,153
postcode,au-vic,3082,,54,89
postcode,au-vic,3083,,75,88
postcode,au-vic,3084,,54,61
postcode,au-vic,3085,,22,27
postcode,au-vic,3086,,0,0
postcode,au-vic,3087,,8,9
postcode,au-vic,3088,,41,51
postcode,au-vic,3089,,16,17
postcode,au-vic,3090,,24,43
postcode,au-vic,3091,,0,0
postcode,au-vic,3093,,8,9
postcode,au-vic,3094,,7,7
postcode,au-vic,3095,,23,29
postcode,au-vic,3096,,1,3
postcode,au-vic,3097,,2,2
postcode,au-vic,3099,,5,6
postcode,au-vic,3100,,,0
postcode,au-vic,3101,,30,37
postcode,au-vic,3102,,8,8
