region_schema	region_parent	region_child	date_updated	datatype	agerange	value	source_url	text_match
admin_1	be	be-vli	2020_03_12	total		114	https://epistat.wiv-isp.be/covid/	
admin_1	be	be-wht	2020_03_12	new		28	DERIVED	
admin_1	be	be-wlg	2020_03_12	new		29	DERIVED	
admin_1	be	be-wlg	2020_03_12	total		130	https://epistat.wiv-isp.be/covid/	
admin_1	be	be-wlx	2020_03_12	total		9	https://epistat.wiv-isp.be/covid/	
admin_1	be	be-wna	2020_03_12	new		2	DERIVED	
admin_1	be	be-wna	2020_03_12	total		20	https://epistat.wiv-isp.be/covid/	
admin_0		be	2020_03_14	new	NA	2	DERIVED	
admin_1	be	unknown	2020_03_14	new		7	DERIVED	
admin_1	be	unknown	2020_03_14	total		50	https://epistat.wiv-isp.be/covid/	
admin_0		be	2020_03_15	new	0-9	2	DERIVED	
admin_0		be	2020_03_15	total	0-9	31	https://epistat.wiv-isp.be/covid/	
admin_0		be	2020_03_16	new		387	DERIVED	
admin_0		be	2020_03_16	total		2144	https://epistat.wiv-isp.be/covid/	
admin_0		be	2020_03_16	total_male		1082	https://epistat.wiv-isp.be/covid/	
admin_0		be	2020_03_16	total_female		1056	https://epistat.wiv-isp.be/covid/	
admin_0		be	2020_03_16	new	10-19	1	DERIVED	
admin_0		be	2020_03_16	total	10-19	83	https://epistat.wiv-isp.be/covid/	
admin_0		be	2020_03_16	new	20-29	29	DERIVED	
admin_0		be	2020_03_16	total	20-29	225	https://epistat.wiv-isp.be/covid/	
admin_0		be	2020_03_16	new	30-39	50	DERIVED	
admin_0		be	2020_03_16	total	30-39	294	https://epistat.wiv-isp.be/covid/	
admin_0		be	2020_03_16	new	40-49	79	DERIVED	
admin_0		be	2020_03_16	total	40-49	452	https://epistat.wiv-isp.be/covid/	
admin_0		be	2020_03_16	new	50-59	73	DERIVED	
admin_0		be	2020_03_16	total	50-59	384	https://epistat.wiv-isp.be/covid/	
admin_0		be	2020_03_16	new	60-69	51	DERIVED	
