region_schema	region_parent	region_child	date_updated	datatype	agerange	value	source_url	text_match
admin_1	LY	LY-BA	2020_05_01	status_recovered		4	https://data.humdata.org/dataset/libya-coronavirus-covid-19-subnational-cases	
admin_1	LY	LY-BA	2020_05_01	total		4	https://data.humdata.org/dataset/libya-coronavirus-covid-19-subnational-cases	
admin_1	LY	LY-MI	2020_05_01	status_recovered		10	https://data.humdata.org/dataset/libya-coronavirus-covid-19-subnational-cases	
admin_1	LY	LY-MI	2020_05_01	total		10	https://data.humdata.org/dataset/libya-coronavirus-covid-19-subnational-cases	
admin_1	Libya	Sorman	2020_05_01	status_active		1	https://data.humdata.org/dataset/libya-coronavirus-covid-19-subnational-cases	
admin_1	Libya	Sorman	2020_05_01	total		1	https://data.humdata.org/dataset/libya-coronavirus-covid-19-subnational-cases	
admin_1	Libya	Tripoli	2020_05_01	status_active		39	https://data.humdata.org/dataset/libya-coronavirus-covid-19-subnational-cases	
admin_1	Libya	Tripoli	2020_05_01	status_deaths		3	https://data.humdata.org/dataset/libya-coronavirus-covid-19-subnational-cases	
admin_1	Libya	Tripoli	2020_05_01	status_recovered		4	https://data.humdata.org/dataset/libya-coronavirus-covid-19-subnational-cases	
admin_1	Libya	Tripoli	2020_05_01	total		46	https://data.humdata.org/dataset/libya-coronavirus-covid-19-subnational-cases	
admin_1	LY	LY-BA	2020_05_03	status_recovered		4	https://data.humdata.org/dataset/libya-coronavirus-covid-19-subnational-cases	
admin_1	LY	LY-BA	2020_05_03	total		4	https://data.humdata.org/dataset/libya-coronavirus-covid-19-subnational-cases	
admin_1	LY	LY-MI	2020_05_03	status_recovered		10	https://data.humdata.org/dataset/libya-coronavirus-covid-19-subnational-cases	
admin_1	LY	LY-MI	2020_05_03	total		10	https://data.humdata.org/dataset/libya-coronavirus-covid-19-subnational-cases	
admin_1	Libya	Sorman	2020_05_03	status_active		1	https://data.humdata.org/dataset/libya-coronavirus-covid-19-subnational-cases	
admin_1	Libya	Sorman	2020_05_03	total		1	https://data.humdata.org/dataset/libya-coronavirus-covid-19-subnational-cases	
admin_1	Libya	Tripoli	2020_05_03	status_active		37	https://data.humdata.org/dataset/libya-coronavirus-covid-19-subnational-cases	
admin_1	Libya	Tripoli	2020_05_03	status_deaths		3	https://data.humdata.org/dataset/libya-coronavirus-covid-19-subnational-cases	
admin_1	Libya	Tripoli	2020_05_03	status_recovered		8	https://data.humdata.org/dataset/libya-coronavirus-covid-19-subnational-cases	
admin_1	Libya	Tripoli	2020_05_03	total		48	https://data.humdata.org/dataset/libya-coronavirus-covid-19-subnational-cases	
