region_schema,region_parent,region_child,agerange,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-09-26,2020-09-27,2020-09-28,2020-09-29,2020-10-02,2020-10-03,2020-10-04,2020-10-05,2020-10-06,2020-10-07,2020-10-08,2020-10-09,2020-10-10,2020-10-11,2020-10-12,2020-10-13,2020-10-14,2020-10-15,2020-10-16,2020-10-17,2020-10-18,2020-10-19,2020-10-20,2020-10-21,2020-10-22,2020-10-23,2020-10-24,2020-10-25,2020-10-26,2020-10-27,2020-10-28
admin_1,sa,sa-01,,921,726,784,79,730,79,246,326,399,254,290,388,546,1047,2170,437,254,348,432,797,1103,1691,1889,562,3701,1502,828,743,450,576,147,390,258,426,367,1743,1397,530,691,368,462,386,432,273,336,398,393,325,441,1979,872,367,333,277,210,506,407,446,444,449,634,336,456,272,159,191,204,131,164,187,161,177,302,675,249,207,412,186,1622,173,246,163,141,126,508,92,103,98,57,109,134,72,108,81,124,0,0,0,0,0,0,0,0,0,0,1040,87,109,212,172,193,60,103,151,100,51,103,109,74,44,2,46,72,83,25,35,67,32,50,79,31,58,55,103,71,87,98,13,59,71,34,83,73,103,39,45,77
admin_1,sa,sa-02,,525,521,973,379,670,496,429,432,686,577,875,416,313,484,642,782,837,561,496,1466,265,1501,786,1229,814,534,261,589,409,460,515,2083,928,751,705,1301,1064,940,473,233,275,429,486,773,419,459,763,271,427,759,549,469,530,606,694,476,566,629,506,633,913,427,542,307,262,275,277,225,245,300,213,241,406,300,501,385,835,241,1033,128,199,209,168,283,594,113,135,228,154,141,172,171,121,173,187,0,0,0,0,0,0,0,0,0,0,2085,256,303,415,246,258,261,197,226,270,184,159,172,217,338,138,138,160,142,119,78,91,143,104,45,49,27,105,79,122,55,71,57,21,18,73,113,65,52,63,62,74
admin_1,sa,sa-03,,192,87,183,75,167,61,39,57,40,60,106,60,40,138,118,112,235,204,55,64,161,282,141,250,164,119,75,241,147,309,107,203,132,199,63,31,152,60,139,21,265,179,116,100,177,183,90,204,157,130,80,111,114,114,114,136,69,77,88,136,121,102,134,76,61,62,81,116,96,70,187,237,75,92,100,64,136,77,265,86,130,109,114,76,281,45,74,121,105,107,123,86,58,51,74,0,0,0,0,0,0,0,0,0,0,952,171,162,219,80,83,161,108,101,33,62,39,51,71,66,125,72,187,129,60,149,161,184,93,96,86,1,0,174,175,106,79,110,149,139,172,102,2,87,117,107,115
admin_1,sa,sa-04,,81,66,380,144,59,343,199,743,543,494,672,55,506,298,111,78,695,805,551,461,354,295,1513,612,59,113,301,816,968,1565,920,1431,983,785,534,903,2140,1346,1067,529,870,535,1076,2719,1888,1729,809,1220,1596,1529,1406,1329,1245,613,622,706,826,758,956,616,1074,576,589,604,494,486,498,422,428,331,338,310,706,1360,784,237,442,219,746,229,235,419,278,197,660,151,177,255,207,233,173,160,102,173,259,0,0,0,0,0,0,0,0,0,0,2114,323,295,240,422,377,253,290,261,292,144,202,206,109,237,202,183,97,65,144,162,123,85,148,96,101,157,124,65,50,63,48,43,70,88,102,58,132,65,54,69,53
admin_1,sa,sa-05,,1,2,8,21,2,101,71,74,90,117,1,2,2,1,0,4,1,166,25,3,47,24,163,32,18,3,0,0,155,23,28,41,103,4,3,42,98,84,196,274,1,0,197,1227,340,356,330,192,135,112,59,42,24,30,43,132,58,170,174,116,559,100,163,128,161,231,89,160,16,57,93,153,112,93,53,146,125,156,160,187,71,66,34,193,118,104,76,132,101,19,24,60,17,27,38,0,0,0,0,0,0,0,0,0,0,610,22,29,16,39,20,103,103,100,106,112,104,11,12,11,5,10,6,10,7,10,11,16,9,20,23,11,13,11,11,63,17,82,2,6,26,17,23,34,10,16,34
admin_1,sa,sa-06,,4,42,12,16,13,24,5,0,21,3,19,2,4,11,23,8,12,47,25,9,18,6,35,21,34,19,26,2,19,0,0,0,0,0,0,0,6,1,0,155,-154,0,36,681,102,232,126,201,181,68,159,74,153,144,26,19,83,66,62,61,193,71,185,113,84,57,46,61,63,81,73,81,38,36,73,50,39,42,27,40,85,54,51,61,78,54,77,58,43,22,42,96,46,83,40,0,0,0,0,0,0,0,0,0,0,208,14,5,11,29,3,4,3,61,10,63,8,16,10,29,15,35,13,13,18,11,24,2,2,10,112,3,33,4,5,4,2,1,13,1,2,10,15,11,10,5,9
admin_1,sa,sa-07,,18,5,4,20,1,0,0,5,3,12,16,16,54,107,2,30,26,46,20,24,26,21,5,3,26,25,20,32,91,32,30,12,25,12,28,25,43,20,44,39,37,33,32,46,45,60,64,58,48,56,44,47,46,40,38,49,40,26,37,51,56,38,34,47,41,46,42,43,52,48,41,23,34,37,40,31,35,34,36,30,45,54,35,54,59,45,24,44,48,42,43,48,26,34,62,0,0,0,0,0,0,0,0,0,0,392,15,7,10,15,8,14,7,7,15,13,6,5,6,5,1,5,2,3,2,1,1,1,4,2,3,6,7,1,3,0,3,3,3,2,1,2,1,2,2,0,2
admin_1,sa,sa-08,,32,11,1,7,4,1,0,3,2,0,0,0,0,2,27,16,21,5,13,8,4,8,3,0,8,2,8,0,8,4,0,0,0,4,4,0,3,0,10,5,2,1,1,19,15,7,63,76,65,26,48,28,21,20,7,14,23,31,19,22,41,9,3,6,15,12,11,6,5,10,8,8,23,24,45,15,22,5,9,12,15,10,9,22,26,3,7,9,3,7,8,4,4,3,3,0,0,0,0,0,0,0,0,0,0,172,7,5,10,33,22,8,13,9,9,34,6,14,10,6,0,10,10,5,14,9,13,7,9,5,7,8,21,6,4,5,8,2,9,10,4,3,12,4,5,5,2
admin_1,sa,sa-09,,19,1,7,21,0,27,8,13,16,22,18,39,15,9,4,116,0,7,0,199,16,29,18,0,45,2,56,67,1,147,13,75,19,37,0,162,48,22,0,1,1,0,1,238,224,119,176,4,6,144,232,108,144,82,3,154,93,128,82,88,195,2,81,67,65,13,120,104,113,69,58,104,109,110,150,118,83,124,96,78,105,125,188,244,223,182,127,147,208,150,267,168,115,209,525,0,0,0,0,0,0,0,0,0,0,934,32,10,21,31,62,32,77,16,12,72,22,34,31,19,11,15,10,6,18,11,10,4,15,0,8,9,39,1,12,12,8,2,13,11,6,16,7,6,4,11,2
admin_1,sa,sa-10,,8,6,6,6,0,12,11,39,4,32,20,13,12,10,5,33,4,18,27,31,24,26,46,48,52,51,49,0,0,94,1,156,67,65,12,18,57,52,63,20,83,69,51,113,105,100,89,62,65,106,90,110,98,51,68,50,67,45,96,93,76,55,64,49,41,52,90,44,28,63,61,47,139,113,210,57,66,42,302,66,36,28,26,32,22,38,43,35,25,14,44,45,21,19,25,0,0,0,0,0,0,0,0,0,0,255,43,11,12,21,12,17,60,34,17,74,5,52,5,7,3,12,10,10,9,2,5,16,10,17,1,73,20,9,8,9,4,11,4,6,2,5,5,6,6,12,1
