month,seek
2020-02,62
2020-03,3940
2020-04,24944
2020-05,45858
2020-06,67298
2020-07,87622
2020-08,108447
2020-09,129524
2020-10,150189
2020-11,171872
2020-12,193314
2021-01,215432
2021-02,237481
2021-03,257373
2021-04,279445
2021-05,300745
2021-06,322673
2021-07,343576
2021-08,364995
2021-09,386737
2021-10,407773
2021-11,429301
2021-12,450338
2022-01,472269
2022-02,494754
