region_schema,region_parent,region_child,agerange,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-30,2020-08-31,2020-09-02,2020-09-03,2020-09-04,2020-09-08,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-23,2020-09-26,2020-09-27,2020-10-01,2020-10-03,2020-10-04,2020-10-07,2020-10-08,2020-10-11,2020-10-12,2020-10-13,2020-10-16,2020-10-17,2020-10-18,2020-10-19,2020-10-21,2020-10-25,2020-10-26,2020-10-27,2020-10-29,2020-10-31,2020-11-01,2020-11-02,2020-11-05,2020-11-06,2020-11-07,2020-11-08,2020-11-09,2020-11-10,2020-11-11,2020-11-12,2020-11-17,2020-11-20,2020-11-23,2020-11-24,2020-11-25,2020-11-29,2020-11-30,2020-12-01,2020-12-02,2020-12-03,2020-12-04,2020-12-05,2020-12-07,2020-12-08,2020-12-09,2020-12-10,2020-12-11,2020-12-12,2020-12-13,2020-12-14
admin_1,au,au-wa,,303,303,303,304,304,304,304,305,304,304,304,304,304,304,305,305,307,314,314,313,327,327,331,332,330,331,331,336,336,336,335,336,336,337,337,337,337,337,337,338,338,338,338,339,339,340,340,340,341,341,342,342,342,342,342,342,344,346,346,350,352,353,353,353,359,360,361,363,363,363,364,364,366,366,366,366,366,367,369,372,372,359,360,360,360,361,361,361,361,361,361,361,361,361,363,363,363,363,363,363,363,363,365,365,365,366,366,366,366,366,366,368,369,369,369,369,370,371,371,371,372,372,373,376,376,392,392,392,395,396,399,401,401,409,409,410,413,437,451,453,455,455,456,456,456,458,459,460,460,460,462,464,465,468,474,476,476,479,488,488,488,489,491,491,492,496,496,498,498,500,501,501,502
admin_1,au,au-wa,00-09,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13
admin_1,au,au-wa,10-19,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11
admin_1,au,au-wa,20-29,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,49,49,49,49,49,49,49,49,49,49,49,49,49,49,50,50,50,50,50,50,50,50,50,51,51,51,51,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,53,53,53,53,53,54,54,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,60,60,60,60,60,60,60,60,64,64,64,64,71,72,73,73,73,74,74,74,75,75,75,75,75,75,76,76,76,78,78,78,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79
admin_1,au,au-wa,30-39,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,66,66,66,66,66,74,74,71,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,73,73,73,73,73,73,73,73,73,73,72,74,75,76,76,76,77,77,77,77,77,77,78,78,78,78,78,78,78,78,79,79,79,79,80,80,80,80,80,80,80,80,80,80,80,80,83,83,83,83,83,83,83,83,83,83,83,84,84,84,84,84,84,84,85,85,85,85,85,85,85,85,85,85,86,87,87,92,92,92,93,94,95,96,96,97,97,97,98,100,106,107,107,107,107,107,107,108,109,110,110,110,110,110,111,111,113,113,113,115,118,118,118,118,119,119,119,119,119,119,119,119,119,119,120
admin_1,au,au-wa,40-49,34,34,34,35,35,35,35,35,35,35,35,35,35,35,35,35,36,39,39,38,38,38,45,46,43,43,43,46,46,46,46,46,46,46,46,46,46,46,46,47,46,46,46,46,46,46,46,46,46,46,47,47,47,47,47,47,47,47,48,49,49,49,49,49,49,49,49,50,50,50,51,51,52,52,52,52,52,53,53,55,55,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,50,50,50,50,51,51,51,51,51,51,51,51,51,52,52,52,52,52,53,53,53,53,53,53,53,54,54,55,55,55,56,56,56,56,56,59,59,59,60,66,71,71,71,71,71,71,71,71,70,70,70,70,70,71,71,72,72,72,72,72,75,75,75,76,76,76,77,78,78,78,78,79,79,79,79
admin_1,au,au-wa,50-59,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,41,41,40,40,40,41,41,44,44,44,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,46,46,46,46,46,46,46,46,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,47,47,47,47,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,49,49,52,52,52,53,53,55,56,56,56,56,57,57,62,64,64,64,64,64,64,64,64,64,64,64,64,65,65,65,65,65,66,66,66,69,69,69,69,70,70,70,73,73,74,74,74,74,74,74
admin_1,au,au-wa,60-69,52,52,52,52,52,52,52,53,52,52,52,52,52,52,52,52,52,52,52,53,53,53,54,54,54,54,54,54,54,54,54,54,54,54,54,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,56,56,56,55,56,56,56,56,56,56,55,56,56,56,55,55,55,55,55,55,55,55,55,55,55,53,53,53,53,54,54,54,54,54,54,54,54,54,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,54,54,54,54,54,54,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,59,59,59,59,59,59,59,59,59,59,59,59,59,60,60,60,61,62,63,63,63,63,63,63,63,63,63,63,63,63,63,63,64,64,64,64
admin_1,au,au-wa,70-79,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,53,52,52,52,52,52,52,52,52,52,52,52,52,52,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,54,53,54,54,54,54,54,54,55,55,55,55,55,55,56,56,56,56,56,56,57,57,57,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54
admin_1,au,au-wa,80+,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
