region_schema,region_parent,region_child,agerange,2020-07-31,2020-08-06
postcode,au-vic,3000,,40,51
postcode,au-vic,3001,,0,0
postcode,au-vic,3002,,2,2
postcode,au-vic,3003,,11,22
postcode,au-vic,3004,,7,22
postcode,au-vic,3005,,0,0
postcode,au-vic,3006,,19,21
postcode,au-vic,3008,,14,14
postcode,au-vic,3010,,0,0
postcode,au-vic,3011,,53,69
postcode,au-vic,3012,,57,69
postcode,au-vic,3013,,13,26
postcode,au-vic,3014,,0,0
postcode,au-vic,3015,,10,18
postcode,au-vic,3016,,7,12
postcode,au-vic,3017,,0,0
postcode,au-vic,3018,,9,13
postcode,au-vic,3019,,49,63
postcode,au-vic,3020,,144,190
postcode,au-vic,3021,,221,262
postcode,au-vic,3022,,64,73
postcode,au-vic,3023,,177,200
postcode,au-vic,3024,,94,110
postcode,au-vic,3025,,13,21
postcode,au-vic,3026,,24,22
postcode,au-vic,3027,,18,26
postcode,au-vic,3028,,31,53
postcode,au-vic,3029,,346,459
postcode,au-vic,3030,,217,327
postcode,au-vic,3031,,118,113
postcode,au-vic,3032,,45,54
postcode,au-vic,3033,,15,20
postcode,au-vic,3034,,22,27
postcode,au-vic,3035,,0,0
postcode,au-vic,3036,,20,23
postcode,au-vic,3037,,119,156
postcode,au-vic,3038,,32,42
postcode,au-vic,3039,,29,30
postcode,au-vic,3040,,39,50
postcode,au-vic,3041,,9,12
postcode,au-vic,3042,,21,24
postcode,au-vic,3043,,24,23
postcode,au-vic,3044,,49,72
postcode,au-vic,3045,,0,0
postcode,au-vic,3046,,65,83
postcode,au-vic,3047,,44,51
postcode,au-vic,3048,,38,54
postcode,au-vic,3049,,16,18
postcode,au-vic,3050,,1,1
postcode,au-vic,3051,,68,66
postcode,au-vic,3052,,14,18
postcode,au-vic,3053,,45,35
postcode,au-vic,3054,,12,12
postcode,au-vic,3055,,13,21
postcode,au-vic,3056,,28,26
postcode,au-vic,3057,,16,17
postcode,au-vic,3058,,52,65
postcode,au-vic,3059,,25,25
postcode,au-vic,3060,,91,96
postcode,au-vic,3061,,3,4
postcode,au-vic,3062,,0,0
postcode,au-vic,3063,,3,2
postcode,au-vic,3064,,286,331
postcode,au-vic,3065,,34,37
postcode,au-vic,3066,,47,46
postcode,au-vic,3067,,11,7
postcode,au-vic,3068,,20,22
postcode,au-vic,3069,,0,0
postcode,au-vic,3070,,19,33
postcode,au-vic,3071,,13,21
postcode,au-vic,3072,,43,54
postcode,au-vic,3073,,57,116
postcode,au-vic,3074,,60,74
postcode,au-vic,3075,,45,46
