region_schema,region_parent,region_child,agerange,2020-03-28,2020-04-13,2020-04-14,2020-04-18,2020-04-22,2020-04-23,2020-04-24,2020-04-29,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25
admin_0,,np,,1,2,2,1,3,3,1,3,17,2,1,7,1,24,83,26,6,18,14,14,80,27,25,30,59,68,19,79,90,114,156,170,189,171,239,288,201,334,278,323,213,313,323,279,250,447,275,425,451,380,586,671,426,331,421,533,540,629,434,593,554,463,476,316,482,473,740,232,293,180,204,255,108,118,70,82,144,116,116,167,101,57,156,186,150,100,147,133,109,130,139,311,210,274,224,315,246,418,259,381,360,464,378,380,338,638,484,525,594,468,641,581,1016,681,707,838,634,818,743,855
admin_0,,np,0-9,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,1,,,6,4,4,5,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin_0,,np,10-19,,,,,,,,,,,1,4,,,2,1,1,2,1,1,,,,8,4,4,,,5,5,2,1,1,1,12,14,13,14,10,15,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin_0,,np,20-29,,,,,1,1,,,,,,,,,12,8,,,8,3,7,,,11,16,21,2,28,10,13,8,3,4,8,22,8,26,15,22,16,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin_0,,np,30-39,,,,,,,,,,,,,,,4,9,2,5,2,8,2,,,6,16,9,9,20,11,7,3,5,1,5,19,4,8,17,9,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin_0,,np,40-49,,,,,,,,,,,,,1,1,3,6,1,1,1,2,1,,,2,5,1,4,12,4,2,2,1,1,4,7,7,7,6,6,8,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin_0,,np,50-59,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,4,1,1,2,,,,,5,3,3,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,2,1,
admin_0,,np,60-69,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
admin_0,,np,70-79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,,,,,,,,,,,,3,
admin_1,np,np-p1,,,,,1,3,2,1,,,,,,1,,,,,,,,4,11,5,25,1,1,1,,,,26,28,3,5,3,1,17,11,44,7,10,20,5,17,6,30,9,27,26,5,15,3,6,11,15,16,19,13,16,16,15,31,3,12,28,13,38,12,8,16,10,18,2,4,13,4,6,9,3,33,4,13,2,15,15,11,13,34,2,41,,,9,11,28,28,28,56,45,19,69,67,59,38,18,107,77,115,97,93,105,79,145,113,37,89,105,69,72,69
admin_1,np,np-p2,,,1,,,,,,3,,,,,,,63,3,1,4,7,10,13,2,,,,14,6,56,33,56,93,74,57,77,70,121,45,103,30,84,84,180,152,98,79,202,115,119,174,184,367,66,15,44,72,130,95,103,68,78,88,84,47,82,61,53,55,88,77,24,25,44,9,20,5,20,41,44,24,42,22,3,68,85,49,35,27,42,24,10,62,53,64,90,51,80,125,194,78,225,96,194,140,155,93,233,146,166,210,127,208,170,421,218,248,179,114,390,171,188
admin_1,np,np-p3,,,,,,,,,,,,,,,,,,,2,3,,,8,,,,2,2,4,,,3,,,1,1,8,4,1,26,7,2,,,24,7,38,1,28,18,2,,,35,19,3,7,18,5,13,19,27,5,16,16,29,47,216,18,38,76,36,35,12,51,14,14,13,7,18,4,8,1,4,3,23,4,9,12,5,10,7,60,22,53,41,9,33,54,65,69,98,115,89,106,80,159,183,180,166,147,202,187,313,184,236,250,287,205,289,296
admin_1,np,np-p4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,4,3,,,4,11,,,4,14,38,2,27,5,,,4,2,5,23,20,77,83,76,47,68,130,50,23,41,36,77,49,25,40,26,115,15,9,33,8,21,18,11,16,15,8,5,27,20,32,2,22,12,12,13,6,14,4,8,3,29,42,34,8,1,24,9,9,23,8,15,24,5,9,13,23,8,29,19,22,21,29,27,34,27,23,13,15,29
admin_1,np,np-p5,,,,,,,,,,,,1,3,,,17,23,1,11,4,1,61,5,20,5,26,44,10,11,39,34,4,65,114,17,68,65,113,86,68,99,20,95,57,82,76,53,76,115,106,80,133,148,107,86,173,215,127,118,157,228,154,136,159,48,36,10,137,51,26,16,23,16,9,14,10,2,14,20,1,12,30,4,33,19,7,5,16,12,25,14,32,46,2,52,7,2,11,12,27,23,45,47,50,55,93,111,15,53,47,72,94,90,51,85,75,59,79,110,38,153
admin_1,np,np-p6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,62,75,54,17,114,95,101,54,16,18,37,55,83,70,70,112,10,43,121,,,9,1,51,20,39,27,21,3,5,13,42,4,64,1,39,2,13,30,23,15,7,21,46,11,40,15,2,9,1,11,12,24,30,11,26,29,31,4,1,24,2,1,,,4,11,4,5,5,9,25,13,25,1,26,8,2,6,7,44,24,58,10,8,51,20
admin_1,np,np-p7,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,2,,,,,,18,28,5,3,11,11,5,,,16,27,,,,10,76,8,245,180,94,102,96,100,320,118,184,213,127,197,120,246,320,115,47,96,13,89,91,35,3,5,6,16,20,3,41,3,25,26,41,32,8,46,8,23,18,4,97,70,10,87,194,25,87,31,11,40,21,11,12,20,2,15,2,19,2,8,28,50,10,53,176,16,23,107,100
np_district,np-p1,np0101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
np_district,np-p1,np0102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
np_district,np-p1,np0103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,2,15,,,,,,1,4,,,,,,,,,1,,,
np_district,np-p1,np0104,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,25,28,1,4,2,,,5,12,,,,,,3,13,5,1,1,1,2,2,1,1,6,3,12,11,1,4,,,,,21,1,,,2,5,1,8,1,,,1,4,1,,,2,1,,,2,1,1,25,1,1,,,,,13,2,,,8,,,2,,,1,10,10,2,9,,,8,21,10,1,7,17,10,5,5
np_district,np-p1,np0105,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,2,6,2,,,3,8,,,4,25,22,1,9,1,3,8,2,12,2,1,1,2,2,17,1,,,6,19,6,2,,,4,,,,2,1,,,3,2,9,1,1,3,3,8,2,,,,,8,2,15,2,16,46,23,14,24,64,49,28,15,42,48,88,63,65,100,40,108,65,9,45,52,50,31,43
np_district,np-p1,np0106,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,7,,,5,,,1,,,10,,,3,2,,,,,2,,,1,6,10,,,,,1,4,19,,,,3,3,1,,,,,1,,,,,,6,,,2,5,,,,,,2,,,12,5,12,2,19,1,10,6,,,15,20,24,19,2,31,8,36,13,29,31,9,23,16
np_district,np-p1,np0107,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
np_district,np-p1,np0112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,1
np_district,np-p1,np0113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,1
np_district,np-p1,np0114,,,,,1,3,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,2,,,,,,2,,,,1
np_district,np-p2,np0215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,4,9,12,,,,13,,,,,7,6,9,17,,,,,,,,,,15,22,6,8,,,,,25,,,32,36,,,4,4,2,,,,,,,,,,,9,1,18,7,7,11,,,15,2,2,1,7,,,7,8,,,1,17,,,5,31,14,2,11,1,3,13,19,5,3,4,15,3
np_district,np-p2,np0216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,,,,,17,,,,,,,,1,,,,,,2,1,,,,,23,7,,,6,,,,,2,,,,1,3,,,4,2,1,,,,,,,,,1,,,,,,,1,,,,,,,,2,2,2,,,,,,10,2,3,5,3,,,19,21,16,35,14,10,3
np_district,np-p2,np0217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,21,7,6,1,6,4,8,,,45,11,,,,,4,21,26,29,,,,10,39,20,9,15,3,10,6,3,21,30,22,15,27,,,,,4,,,27,21,6,27,8,,,,29,5,,,,,10,9,12,14,1,,,30,14,12,24,11,20,37,13,24,39,22,55,27,37,3,64,28,31,3,3,60,5,42
np_district,np-p2,np0218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,9,3,17,35,,,50,,,16,1,,,89,200,1,,,2,1,12,12,5,4,30,56,4,29,36,13,,,,,,,,,,,,19,,,,,,,,,,,,,10,8,14,6,,,,31,15,17,3,,,15,3,12,44,20,24,9,8,2,24,12,15,,,34,,
np_district,np-p2,np0219,,,,,,,,,,,,,,,,,,,,,,,,,,,13,1,,,,,5,17,10,38,21,15,3,,,84,106,17,27,2,57,13,6,23,15,6,2,11,9,5,47,2,21,5,,,1,,,,,,,7,6,3,3,1,8,3,1,,,,,,,25,23,3,3,,,1,,,,1,5,1,,,2,26,5,9,12,36,4,21,41,6,26,14,54,2,17,107,19,93,24,1,91,8,58
np_district,np-p2,np0232,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,26,22,36,20,56,6,29,18,74,11,65,6,6,,,21,53,57,86,92,76,102,52,127,34,,,,,13,44,38,51,34,17,18,7,,,,,,6,,,,,1,,,1,5,12,8,,,,,,,,,1,,,1,2,3,1,2,2,6,2,2,5,4,1,31,20,24,25,5,4,14,11,37,4,6,11,2,9,5,44
np_district,np-p2,np0233,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,24,3,7,,,1,,,,,,3,,,,,,,,,9,1,,,,,,3,,,,,2,12,,,,,,,,,,,,,,,,,,,,3,1,1,46,,,,,3,1,,,,,4,1,,,7,28,14,9,7,4,3,39,15,1,24,2,69,59,42,15,8,40,10,39,94,17
np_district,np-p2,np0234,,,,,,,,,,,,,,,,,3,,,2,,,,,,,,,1,,,,,2,5,,,,1,,,,,,,,,,17,10,2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,2,,,4,2,6,17,31,8,4,20,14,34,49,41,66,81,71,1,151,42,138,55,73,22,70,3,39,71,24,64,77,128,108,55,80,59,139,34,4
np_district,np-p3,np0320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,,,2,11,1,1,,,,,8,1,1,,
np_district,np-p3,np0321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,3,,,,,,,,,,,2,1
np_district,np-p3,np0322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,5,,,,,,1,4,6,1,3
np_district,np-p3,np0323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,2,3,1,1,1,1,5,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,3,,,,,,,2
np_district,np-p3,np0324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,8,,,,,21,,,,,27,5,5
np_district,np-p3,np0325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,5,2,,,,20,10,7,,,,,5,,,,,,,1,1,,,,,,,4,,,5,,,3,1,5,10,10,3,2,4,16,21,11,30,9,38,15,50,17,18,25,6,12,33,19
np_district,np-p3,np0326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,4,,,,,1,2,2,,,,10,4,,,,,,,,,,,,,,,,,,,,,,1,2,1,1,1,5,13,,,4,3,,,8,8,5,6,9,8,14,17,8,8,15,50,28,14,14
np_district,np-p3,np0327,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,4,,,,,,,,,3,,,,,,,,,,1,,,1,,,3,1,,,,,4,3,4,,,12,10,28,166,,,24,14,16,5,28,3,5,3,2,7,1,1,,,2,8,3,5,10,2,8,3,48,14,41,32,5,22,43,48,57,76,92,56,90,36,110,109,111,83,80,126,139,138,134,174,142,160,126,177,199
np_district,np-p3,np0328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,6,,,,,,,,,1,1,,,,,,,,1,,,1,,,,,,,,,,,,,2,,,,,,,8,1,3,4,3,2,1,1,,,1,,,,2,2,,,
