region_schema,region_parent,region_child,agerange,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26
admin_1,au,au-nsw,,2,137,160,183,224,278,348,415,520,606,698,790,875,938,1002,1077,1134,1184,1244,1289,1315,1344,1366,1384,1407,1427,1424,1428,1431,1439,1461,1463,1469,1469,1475,1476,1479,1483,1486,1473,1474,1476,1479,1481,1482,1484,1486,1484,1485,1489,1490,1493,1495,1496,1496,1496,1498,1500,1506,1507,1508,1509,1510,1513,1514,1515,1515,1515,1516,1544,1544,1542,1543,1544,1545,1545,1546,1547,1552,1555,1556,1557,1557,1560,1561,1562,1564,1563,1568,1569,1573,1577,1579,1587,1587,1593,1598,1596,1609,1609,1616,1617,1623,1632,1639,1645,1656,1663,1670,1675,1677,1686,1686,1704,1707,1714,1726,1728,1734,1743,1752,1760,1769,1781,1789,1798,1803,1808,1814,1817,1865,1870,1876,1879,1881,1882,1885,1887,1887,1891,1894,1895,1897,1899
admin_1,au,au-nsw,0-9,2,,,,,,,,1,1,1,3,6,6,7,7,8,9,12,13,13,13,13,14,13,13,13,15,15,15,16,16,17,16,16,16,16,16,16,16,16,17,18,18,18,18,18,19,19,19,19,19,19,19,19,19,19,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,21,21,21,21,21,24,24,24,24,24,24,24,24,24,25,25,25,26,26,26,26,26,26,26,27,27,28,28,29,29,29,29,29,31,31,33,33,33,36,36,37,40,41,41,42,42,42,42,42,44,45,46,52,52,52,52,52,52,52,52,52,52,52,52,52,52
admin_1,au,au-nsw,10-19,,6,6,6,6,8,8,9,11,13,13,18,21,24,26,30,33,34,37,38,39,41,41,41,41,43,43,43,43,43,43,43,43,43,44,43,43,44,44,44,44,44,44,44,44,44,44,44,45,45,45,46,46,46,46,46,46,46,47,47,47,47,47,47,48,48,48,48,48,51,51,51,51,51,51,51,52,52,52,52,52,52,52,52,52,52,53,53,53,53,54,54,54,55,55,55,55,55,57,57,57,55,55,56,56,57,58,60,61,61,61,63,63,65,66,66,67,67,69,70,70,70,71,73,75,76,77,77,78,78,83,83,83,83,83,83,83,83,83,84,84,84,84,84
admin_1,au,au-nsw,20-29,,17,18,24,36,46,56,66,81,93,116,136,154,169,182,203,215,231,243,251,256,260,264,266,272,277,275,275,277,280,279,280,281,281,281,281,281,282,282,283,283,283,285,286,286,286,286,286,286,287,287,288,288,288,288,288,288,289,289,289,289,289,289,289,289,289,289,289,289,292,292,292,293,293,293,293,292,292,293,295,296,296,296,296,297,297,297,297,297,297,297,297,297,300,300,301,302,301,303,303,305,306,307,309,309,312,315,316,320,322,322,325,325,330,331,331,331,331,333,333,335,337,338,339,341,343,342,343,345,346,356,358,358,358,359,360,360,362,362,362,363,363,363,363
admin_1,au,au-nsw,30-39,,30,36,42,48,60,66,73,87,101,116,130,142,150,156,171,179,185,195,208,212,218,223,226,231,238,238,238,238,239,245,244,244,244,245,247,247,247,248,248,248,248,248,248,248,249,248,248,248,249,250,250,251,251,251,251,251,251,255,256,257,257,257,258,258,258,259,259,259,260,260,260,260,261,261,261,261,262,263,264,264,265,265,265,265,265,266,265,267,267,267,270,271,271,271,274,276,275,278,278,281,283,286,289,292,292,294,296,297,300,300,300,300,303,303,304,306,307,308,309,310,310,312,313,314,315,316,317,319,318,321,322,323,324,324,323,324,324,324,326,327,327,329,329
admin_1,au,au-nsw,40-49,,29,35,40,48,56,68,72,88,105,111,120,130,137,151,161,172,177,182,188,191,194,196,197,200,200,199,200,199,201,207,208,209,209,211,210,212,212,212,212,212,213,211,211,211,211,212,212,212,212,212,213,213,213,213,213,213,213,213,213,213,214,214,215,214,215,215,215,215,216,216,216,216,216,216,216,216,216,217,217,217,217,217,217,217,218,218,218,220,221,222,222,222,223,223,223,224,224,226,226,226,226,226,228,229,230,233,234,234,234,235,236,236,239,240,244,248,248,249,249,252,253,254,255,256,259,259,260,260,260,266,267,268,269,269,269,270,270,270,270,270,270,270,271
admin_1,au,au-nsw,50-59,,23,28,32,37,43,61,72,87,101,117,131,141,153,160,171,177,181,191,197,199,203,204,208,212,212,212,213,214,214,216,218,219,219,219,220,220,220,220,220,220,220,221,221,221,222,223,222,221,221,221,221,221,221,221,221,222,222,222,222,222,222,223,224,225,225,224,224,224,224,224,224,224,224,224,224,224,224,225,225,225,225,225,225,225,225,225,225,227,227,229,229,229,229,229,230,231,231,234,234,234,234,234,235,236,237,237,237,238,238,238,239,239,241,241,242,243,244,243,245,247,250,252,254,255,256,258,258,258,259,267,267,270,270,270,270,271,271,271,272,272,273,273,273
admin_1,au,au-nsw,60-69,,24,28,30,37,43,54,64,85,96,109,122,136,147,159,163,173,180,190,194,198,202,210,215,219,223,224,223,223,223,227,226,226,226,227,227,228,229,230,231,232,232,233,233,233,233,233,231,232,234,234,234,233,234,234,234,235,235,235,235,235,235,235,236,236,236,236,236,236,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,239,239,239,239,239,240,240,241,241,242,242,243,243,244,244,244,244,244,244,244,245,245,246,247,247,247,249,249,251,251,256,257,257,258,258,258,259,265,266,267,267,268,268,268,268,268,268,269,269,269,270
admin_1,au,au-nsw,70-79,,5,6,6,7,15,22,42,53,63,78,92,107,111,117,124,130,137,139,143,148,153,155,156,159,160,159,160,161,162,162,162,164,165,166,166,166,167,168,168,168,168,168,169,169,169,170,170,170,170,170,170,170,170,170,170,170,171,171,171,171,171,171,170,170,170,170,170,170,170,170,169,169,169,169,169,170,170,170,170,170,170,170,170,170,170,170,170,169,169,169,170,170,172,172,172,172,172,172,172,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,174,174,174,174,175,175,175,175,179,179,179,179,179,180,180,180,180,180,180,180,180,180
admin_1,au,au-nsw,80-89,,3,3,3,5,7,12,15,23,29,31,32,32,35,36,37,37,40,44,45,47,48,48,49,48,49,49,49,49,49,51,51,51,51,51,51,51,51,51,51,51,51,51,51,52,52,52,52,52,52,52,52,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,55,55,55,54,54,54,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,56,56,56,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,58,58,58,58,58,58,58,58,59,59,59,59,59,59,59,59,59,59,59
