region_schema,region_parent,region_child,agerange,2020-05-03,2020-05-06,2020-05-22,2020-06-10,2020-06-30,2020-07-02,2020-07-06,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-24
pt_municipality,pt,abrantes,,,,,,25,,29,29,29,29,29,29,29,29,29,29,29,29,31,31,31,31,31,31,31,33,33,33,36,36,36,36,36,36,36,37,39
pt_municipality,pt,alandroal,,,,,,,,,3,3,3,3,,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,3
pt_municipality,pt,albergaria-a-velha,,,,,,95,,95,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,92,92,92,96,96,96,96,96,96,96,97,97
pt_municipality,pt,albufeira,,,,,,121,,125,127,127,127,127,135,135,135,135,135,135,135,141,141,141,141,141,141,141,154,154,154,157,157,157,157,157,157,157,164,173
pt_municipality,pt,alcanena,,,,,,16,,16,17,17,17,17,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
pt_municipality,pt,alcobaça,,,,,,105,,106,106,106,106,106,106,106,106,106,106,106,106,105,105,105,105,105,105,105,112,112,112,129,129,129,129,129,129,129,142,149
pt_municipality,pt,alcochete,,,,,,28,,28,32,32,32,32,33,33,33,33,33,33,33,34,34,34,34,34,34,34,34,34,34,40,40,40,40,40,40,40,44,46
pt_municipality,pt,alcácer do sal,,,,,,9,,11,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,14,14,19,19,19,19,19,19,19,19,24
pt_municipality,pt,alenquer,,,,,,149,,159,194,194,194,194,215,215,215,215,215,215,215,221,221,221,221,221,221,221,225,225,225,245,245,245,245,245,245,245,256,260
pt_municipality,pt,alfândega da fé,,,,,,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6
pt_municipality,pt,alijó,,,,,,5,,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5
pt_municipality,pt,aljezur,,,,,,,,,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
pt_municipality,pt,aljustrel,,,,,,3,,3,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4
pt_municipality,pt,almada,,,,,,588,,624,714,714,714,714,774,774,774,774,774,774,774,819,819,819,819,819,819,819,844,844,844,869,869,869,869,869,869,869,896,923
pt_municipality,pt,almeida,,,,,,6,,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
pt_municipality,pt,almeirim,,,,,,33,,33,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,36,36,36,36,36,36,36,37,37
pt_municipality,pt,almodôvar,,,,,,7,,7,8,8,8,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
pt_municipality,pt,alpiarça,,,,,,13,,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,16,16
pt_municipality,pt,alvaiázere,,,,,,25,,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
pt_municipality,pt,amadora,,,,,,1697,,1780,1989,1989,1989,1989,2090,2090,2090,2090,2090,2090,2090,2185,2185,2185,2185,2185,2185,2185,2262,2262,2262,2299,2299,2299,2299,2299,2299,2299,2350,2411
pt_municipality,pt,amarante,,,,,,102,,102,102,102,102,102,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,105,105,105,105,105,105,105,108,111
pt_municipality,pt,amares,,,,,,82,,83,82,82,82,82,82,82,82,82,82,82,82,83,83,83,83,83,83,83,85,85,85,86,86,86,86,86,86,86,86,91
pt_municipality,pt,anadia,,,,,,55,,55,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58
pt_municipality,pt,angra do heroísmo,,,,,,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
pt_municipality,pt,ansião,,,,,,9,,9,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10
pt_municipality,pt,arcos de valdevez,,,,,,75,,75,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,73,73,73,73,73,73,73,74,74
pt_municipality,pt,arganil,,,,,,9,,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,12
pt_municipality,pt,armamar,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
pt_municipality,pt,arouca,,,,,,49,,49,53,53,53,53,55,55,55,55,55,55,55,58,58,58,58,58,58,58,59,59,59,59,59,59,59,59,59,59,59,63
pt_municipality,pt,arraiolos,,,,,,,,,,,,,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,12
pt_municipality,pt,arruda dos vinhos,,,,,,23,,23,26,26,26,26,27,27,27,27,27,27,27,28,28,28,28,28,28,28,30,30,30,32,32,32,32,32,32,32,32,35
pt_municipality,pt,aveiro,,,,,,359,,365,379,379,379,379,385,385,385,385,385,385,385,386,386,386,386,386,386,386,388,388,388,389,389,389,389,389,389,389,398,400
pt_municipality,pt,azambuja,,,,,,110,,112,117,117,117,117,121,121,121,121,121,121,121,127,127,127,127,127,127,127,131,131,131,138,138,138,138,138,138,138,151,152
pt_municipality,pt,baião,,,,,,38,,38,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,56,56,56,78,78,78,78,78,78,78,89,89
pt_municipality,pt,barcelos,,,,,,309,,309,309,309,309,309,310,310,310,310,310,310,310,309,309,309,309,309,309,309,310,310,310,319,319,319,319,319,319,319,332,341
pt_municipality,pt,barreiro,,,,,,335,,345,385,385,385,385,423,423,423,423,423,423,423,434,434,434,434,434,434,434,445,445,445,459,459,459,459,459,459,459,497,507
pt_municipality,pt,batalha,,,,,,8,,8,14,14,14,14,15,15,15,15,15,15,15,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,17,17
pt_municipality,pt,beja,,,,,,22,,21,21,21,21,21,22,22,22,22,22,22,22,25,25,25,25,25,25,25,25,25,25,26,26,26,26,26,26,26,28,28
pt_municipality,pt,benavente,,,,,,77,,83,110,110,110,110,115,115,115,115,115,115,115,119,119,119,119,119,119,119,126,126,126,135,135,135,135,135,135,135,157,161
pt_municipality,pt,bombarral,,,,,,29,,28,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,28,28,28,27,27,27,27,27,27,27,28,29
pt_municipality,pt,braga,,,,,,1256,,1256,1260,1260,1260,1260,1265,1265,1265,1265,1265,1265,1265,1269,1269,1269,1269,1269,1269,1269,1277,1277,1277,1280,1280,1280,1280,1280,1280,1280,1313,1324
