region_schema,region_parent,region_child,agerange,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17
pt_municipality,pt,abrantes,,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1
pt_municipality,pt,alandroal,,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
pt_municipality,pt,albergaria-a-velha,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1
pt_municipality,pt,albufeira,,0,0,0,8,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7
pt_municipality,pt,alcanena,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pt_municipality,pt,alcobaça,,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,13
pt_municipality,pt,alcochete,,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,4
pt_municipality,pt,alcácer do sal,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
pt_municipality,pt,alenquer,,0,0,0,21,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,11
pt_municipality,pt,alfândega da fé,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pt_municipality,pt,alijó,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
pt_municipality,pt,aljezur,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pt_municipality,pt,aljustrel,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
pt_municipality,pt,almada,,0,0,0,60,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,27
pt_municipality,pt,almeida,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pt_municipality,pt,almeirim,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
pt_municipality,pt,almodôvar,,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
