region_schema,region_parent,region_child,agerange,2020-05-11,2020-05-12,2020-05-13,2020-05-31,2020-06-02,2020-06-04,2020-06-07,2020-06-14,2020-08-20,2020-08-23
admin_1,iq,anbar,,0,0,0,0,1,5,2,8,56,60
admin_1,iq,babylon,,5,5,5,5,5,8,9,18,349,366
admin_1,iq,baghdad-karkh,,10,11,12,23,24,28,37,81,556,568
admin_1,iq,baghdad-resafa and midical city,,42,43,45,109,115,144,180,282,,
admin_1,iq,baghdad-rusafa and medical city,,,,,,,,,,1373,1397
admin_1,iq,basrah,,18,18,18,19,19,21,23,30,518,540
admin_1,iq,diwaniya,,1,1,1,1,1,1,3,6,233,239
admin_1,iq,iq-ar,,1,1,1,1,1,3,4,4,294,327
admin_1,iq,iq-da,,0,0,0,0,0,0,0,0,19,23
admin_1,iq,iq-di,,4,4,4,7,7,8,10,20,155,159
admin_1,iq,iq-ki,,2,2,2,3,3,3,6,11,352,366
admin_1,iq,iq-na,,6,0,6,6,6,6,9,12,149,152
admin_1,iq,iq-su,,4,4,4,5,6,,20,38,536,553
admin_1,iq,kerbala,,7,7,7,9,9,10,11,19,292,300
admin_1,iq,missan,,2,2,2,5,6,8,9,25,249,252
admin_1,iq,muthanna,,3,3,3,4,4,6,8,13,125,132
admin_1,iq,ninewa,,0,0,0,0,0,,0,0,115,133
admin_1,iq,salah al-din,,0,0,0,0,0,,0,2,119,122
admin_1,iq,thi-qar,,3,3,3,4,4,,5,17,496,503
admin_1,iq,wassit,,2,2,2,4,4,,10,21,222,236
