region_schema,region_parent,region_child,agerange,2020-05-12,2020-05-13,2020-08-26
admin_1,iq,anbar,,0,0,21
admin_1,iq,babylon,,0,0,-63
admin_1,iq,baghdad-karkh,,24,28,11
admin_1,iq,baghdad-resafa and midical city,,-6,38,
admin_1,iq,baghdad-rusafa and medical city,,,,120
admin_1,iq,basrah,,-25,6,50
admin_1,iq,diwaniya,,0,0,72
admin_1,iq,iq-ar,,-1,-3,-24
admin_1,iq,iq-da,,0,0,90
admin_1,iq,iq-di,,5,1,-65
admin_1,iq,iq-ki,,-9,-2,-69
admin_1,iq,iq-na,,-4,2,-179
admin_1,iq,iq-su,,0,0,34
admin_1,iq,kerbala,,1,-7,34
admin_1,iq,missan,,0,-9,-71
admin_1,iq,muthanna,,0,-1,180
admin_1,iq,ninewa,,2,0,94
admin_1,iq,salah al-din,,-2,0,-2
admin_1,iq,thi-qar,,-4,0,59
admin_1,iq,wassit,,-1,0,19
