region_schema,region_parent,region_child,agerange,2020-05-11,2020-05-12,2020-05-13,2020-05-31,2020-06-02,2020-06-04,2020-06-07,2020-06-14,2020-08-20,2020-08-23
admin_1,iq,anbar,,3,3,3,1,0,6,34,125,938,1008
admin_1,iq,babylon,,16,16,16,81,85,140,306,461,1678,1680
admin_1,iq,baghdad-karkh,,128,152,180,786,811,826,1204,1958,3572,3455
admin_1,iq,baghdad-resafa and midical city,,351,345,383,1421,1489,1758,2438,3060,,
admin_1,iq,baghdad-rusafa and medical city,,,,,,,,,,5136,5904
admin_1,iq,basrah,,261,236,242,150,149,214,522,669,7052,7068
admin_1,iq,diwaniya,,0,0,0,19,24,31,106,314,1349,1533
admin_1,iq,iq-ar,,15,14,11,63,52,59,135,323,4305,4188
admin_1,iq,iq-da,,0,0,0,12,14,65,74,75,1488,1967
admin_1,iq,iq-di,,1,6,7,35,34,39,33,195,768,830
admin_1,iq,iq-ki,,35,26,24,13,13,57,98,211,2905,3037
admin_1,iq,iq-na,,4,0,2,30,35,84,160,547,2609,2835
admin_1,iq,iq-su,,0,0,0,116,217,,541,1021,3238,3399
admin_1,iq,kerbala,,19,20,13,100,111,140,231,318,2638,2697
admin_1,iq,missan,,31,31,22,52,89,195,241,605,1463,1529
admin_1,iq,muthanna,,36,36,35,46,59,95,129,120,2231,2309
admin_1,iq,ninewa,,0,2,2,31,37,,19,33,1662,1586
admin_1,iq,salah al-din,,5,3,3,12,12,,37,115,1638,1738
admin_1,iq,thi-qar,,11,7,7,50,50,,221,447,746,768
admin_1,iq,wassit,,2,1,1,60,97,,305,884,3973,3973
