region_schema,region_parent,region_child,agerange,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28
admin_1,kz,kz-akm,,166,166,166,166,167,172,174,175,176,177,182,184,186,190,193,195,205,227,242,284,284,306,328,349,368,391,414,434,457,472,482,1246,1298,1246,1246,1246,1452,1246,1512,1547,1246,1246,1653,1246,1246,1246,1812,1246,1899,1949,1246,2054,1246,2161,1246,1246,1246,2370,1246,2473,2532,1246,2641,2700,1246,1246,1246,2897,1246,2965,3004,1246,3069,1246,1246,3172,3186,3212,3236,3249,3265,1246,3296,1246,3317,3331,3343,1246,1246
admin_1,kz,kz-akt,,343,343,349,363,367,373,388,401,401,401,427,444,492,502,516,528,538,546,561,590,590,610,628,653,671,693,716,749,777,828,862,1511,1511,1511,1511,1511,1511,1828,1511,1939,1511,2075,2115,2178,2349,2545,1511,2649,1511,1511,2736,1511,2803,1511,1511,2910,2947,1511,1511,2980,3004,3021,3045,3056,3056,1511,1511,1511,1511,3093,3103,1511,1511,3124,1511,1511,1511,1511,1511,3170,1511,3181,3187,3189,3194,1511,1511,1511,3210
admin_1,kz,kz-ala,,2647,2647,2676,2715,2741,2790,2821,2850,2882,2904,2939,2957,3005,3051,3082,3113,3147,3182,3217,3292,3292,3358,3390,3429,3470,3530,3549,3622,3662,3716,3775,5501,5696,5902,5501,6088,6201,6358,6501,6678,6895,7118,5501,7591,5501,5501,5501,5501,5501,8922,9143,9394,5501,9851,10098,10318,10712,10712,5501,11236,11444,11662,11873,5501,5501,12464,5501,5501,5501,13150,5501,13433,13553,5501,5501,13742,5501,5501,13877,5501,13938,5501,13994,14034,14072,14084,5501,5501,5501
admin_1,kz,kz-alm,,361,361,376,381,402,413,422,426,441,446,457,470,490,500,507,515,527,534,545,565,565,573,583,597,620,630,645,662,681,701,720,2096,2207,2330,2096,2569,2640,2691,2096,2831,2096,3048,2096,3130,3209,3291,3379,3436,2096,2096,3625,2096,2096,3802,3880,3933,2096,2096,2096,2096,4257,4320,2096,4406,2096,4491,2096,4577,2096,4663,2096,4704,2096,2096,4764,2096,2096,2096,2096,2096,4844,4848,2096,4864,4868,4875,4879,2096,4889
admin_1,kz,kz-ast,,2207,2207,2266,2289,2344,2379,2416,2454,2478,2520,2543,2570,2620,2644,2683,2760,2864,2951,3010,3192,3192,3245,3348,3407,3484,3546,3613,3660,3716,3788,3845,5442,5442,5642,5713,5794,5442,5984,6057,6177,6357,5442,5442,6688,6899,5442,7353,5442,7887,5442,5442,5442,8832,9068,5442,9494,10070,10070,10320,10570,5442,5442,5442,5442,5442,5442,5442,5442,12530,12712,12886,5442,13205,13348,5442,5442,13481,13544,5442,13613,5442,5442,13686,5442,13730,5442,13747,5442,13784
admin_1,kz,kz-aty,,1105,1105,1119,1140,1175,1185,1196,1202,1213,1222,1227,1232,1246,1278,1287,1310,1324,1341,1362,1386,1386,1402,1440,1475,1540,1560,1584,1584,1606,1617,1640,4133,4420,4747,5124,5466,4133,4133,4133,6814,4133,7393,7662,4133,4133,8297,4133,4133,8873,4133,9187,9283,9392,4133,4133,9866,4133,4133,4133,4133,10175,10242,10287,10318,10348,10383,4133,4133,10511,10535,10576,10606,10617,4133,4133,10673,10690,4133,10717,4133,10748,4133,4133,10803,10818,4133,10845,4133,4133
admin_1,kz,kz-kar,,932,932,956,956,1024,1072,1105,1129,1147,1188,1238,1290,1342,1419,1475,1522,1572,1624,1661,1778,1778,1839,1897,1950,1993,2034,2080,2128,2176,2219,2268,4839,4936,5013,5089,4839,5243,5336,4839,4839,5790,4839,6068,6244,6346,4839,4839,6672,4839,4839,7058,7226,4839,4839,4839,7831,4839,4839,8176,4839,4839,8513,4839,4839,8806,4839,4839,9075,4839,4839,4839,4839,4839,4839,9631,9675,9714,4839,9788,9820,4839,4839,4839,9918,9938,9958,4839,9997,10016
admin_1,kz,kz-kus,,182,182,182,184,191,195,198,200,202,205,208,209,210,215,218,220,233,241,247,278,278,292,325,358,369,395,420,451,459,471,498,934,934,934,1045,934,934,1161,934,1314,934,1500,1556,934,934,934,1745,1798,934,1904,1960,2017,2071,934,934,934,2354,934,2417,2482,2549,934,934,934,934,934,2908,934,934,3021,934,934,934,3141,3168,3195,3220,3241,934,3276,3290,934,934,3325,934,934,934,934,934
admin_1,kz,kz-kzy,,402,402,418,448,449,452,456,461,465,465,470,484,484,491,493,500,507,514,522,540,540,548,555,572,584,596,615,626,634,653,664,1212,1212,1212,1379,1409,1212,1212,1487,1515,1578,1639,1212,1784,1846,1899,1212,1212,2162,2211,2230,2349,2464,2541,1212,2706,1212,1212,1212,2859,1212,1212,2984,3019,3026,3068,3096,3110,1212,3169,1212,3180,3186,1212,1212,1212,3212,3212,1212,1212,3215,1212,3222,1212,3226,1212,3228,3229,3231
admin_1,kz,kz-man,,272,272,291,308,308,319,323,325,328,331,343,357,368,371,378,379,397,401,404,419,419,419,434,436,449,456,462,467,472,478,484,1134,1134,1295,1409,1453,1577,1590,1672,1134,1794,1134,1134,1134,1134,1134,1134,1134,2250,2252,2294,2348,1134,2444,2519,2583,1134,2699,1134,1134,1134,2875,2907,2928,2940,2965,1134,3030,1134,1134,3124,3152,3171,3186,3207,3220,1134,1134,1134,1134,3278,1134,1134,3305,3315,3315,3322,3327,3330
admin_1,kz,kz-pav,,206,206,217,217,224,229,242,257,268,284,286,296,298,333,346,349,383,424,437,449,449,469,500,521,535,568,593,630,674,709,740,1139,1198,1139,1139,1139,1139,1460,1507,1139,1616,1139,1726,1803,1876,1139,2027,1139,1139,1139,2380,2447,1139,1139,2644,1139,1139,2880,1139,1139,3052,3125,3209,3262,1139,1139,1139,1139,1139,1139,1139,1139,1139,3580,1139,3610,3645,3663,3685,1139,3699,1139,3735,1139,3764,3777,1139,3797,3807
admin_1,kz,kz-sev,,59,59,59,61,64,64,64,64,64,65,72,72,76,84,96,111,117,125,134,172,172,198,225,246,271,287,302,339,358,378,400,1295,1295,1295,1295,1295,1399,1418,1446,1295,1532,1295,1295,1295,1770,1845,1940,2005,2066,1295,1295,2270,1295,1295,2540,1295,1295,2779,2849,2912,2977,3038,3102,1295,1295,1295,1295,3374,3419,1295,3501,1295,1295,1295,3641,1295,1295,1295,3750,1295,1295,1295,3822,1295,3849,3861,1295,3883,3894
admin_1,kz,kz-shy,,867,867,885,906,909,924,932,942,956,978,992,1022,1051,1097,1107,1133,1158,1167,1185,1245,1245,1277,1296,1357,1404,1446,1482,1540,1556,1609,1647,3151,3151,3151,3151,3151,3151,3594,3151,3720,3151,3849,3151,4067,4147,3151,4251,3151,4363,4410,3151,4480,4518,4554,4576,3151,3151,3151,4733,4784,3151,4869,4895,3151,4980,5011,5025,3151,5070,3151,3151,3151,5114,5121,5131,5134,5143,3151,5150,5152,5155,3151,3151,5160,5164,5165,5167,3151,5169
admin_1,kz,kz-vos,,135,135,142,148,159,168,177,185,190,199,204,215,224,234,252,262,265,277,298,367,367,395,429,460,507,555,609,649,696,742,793,1517,1628,1517,1517,1517,1517,1517,1517,2426,2547,2701,2912,3012,3237,3376,1517,3639,1517,3975,1517,4250,4488,4698,4914,5129,1517,1517,1517,1517,6075,6262,1517,1517,6610,6734,6856,6953,1517,1517,1517,1517,1517,7440,7525,7622,1517,1517,7803,7833,7863,7890,1517,7951,7979,8007,1517,8064,8088
admin_1,kz,kz-yuz,,379,379,384,384,384,389,392,395,400,403,411,416,420,440,443,454,464,467,487,555,555,578,597,619,653,694,714,773,797,832,846,1719,1745,1774,1845,1928,1989,2041,2051,1719,1719,2164,1719,1719,1719,1719,1719,1719,1719,1719,1719,2497,2513,1719,2552,2571,2615,2615,1719,1719,2721,2750,2789,1719,2835,1719,1719,2902,1719,2965,1719,3009,3032,1719,3079,1719,1719,1719,3164,1719,1719,1719,1719,3235,3245,3255,1719,1719,1719
