region_schema,region_parent,region_child,agerange,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27
admin_1,kz,kz-akm,,0,6,21,4,0,0,3,0,0,3,1,7,2,0,4,1,11,0,1,0,0,0,0,13,16,0,0,0,0,0,67,28,-28,37,0,26,-63,952,-202,-750,0,808,0,-808,0,944,-944,0,0,0,0,0,1164,56,26,-1246,0,1246,153,190,83,-1672,0,0,1814,102,0,47,25,41,25,43,-2097,2154,-2154,2376,-2376,0,2543,-2543,0,2642,-2642,0,0,0,2723
admin_1,kz,kz-akt,,0,3,4,13,5,7,10,3,10,6,2,0,11,8,1,18,3,5,16,0,19,1,23,25,33,14,17,17,0,0,24,0,0,0,0,0,0,569,-569,0,0,0,0,376,-376,641,9,-650,684,1,0,-685,803,-803,944,-944,0,0,0,968,0,-968,0,0,992,10,-1002,1572,192,-1764,0,1830,65,36,-1931,1952,-1952,2284,-2284,2439,-2439,2450,14,-2464,2483,-2483,2497
admin_1,kz,kz-ala,,46,36,63,39,34,31,74,31,23,47,32,23,15,10,19,23,30,29,15,5,0,0,0,1,2,0,2,3,0,0,25,40,27,4,0,10,-81,1656,48,0,-1704,2146,-2146,0,0,2735,-2735,0,0,3078,379,-3457,0,0,4131,308,-4439,4483,-4483,4791,-4791,0,0,4876,504,-5380,5594,161,-5755,0,6021,-6021,6400,-6400,0,8396,-8396,0,9140,-9140,9750,-9750,0,0,0,10437,-10437
admin_1,kz,kz-alm,,5,0,23,34,19,0,15,5,0,22,12,7,0,0,29,32,2,37,18,19,11,21,24,23,9,0,21,0,0,0,0,36,-36,0,36,0,0,928,-964,0,0,1435,-1435,0,1629,-1629,0,1855,-1855,1855,-1855,2159,75,-2234,0,0,0,0,2892,-2892,0,2985,-2985,0,0,2985,-2985,0,3434,0,-3434,3434,-3434,3484,55,0,-3539,0,3628,-3628,0,3987,0,-3987,0,4012,-4012
admin_1,kz,kz-ast,,22,27,36,85,27,56,61,186,58,91,59,64,88,0,20,7,81,21,124,15,42,70,140,76,65,0,65,14,0,0,127,0,0,312,15,-327,454,-454,628,70,-698,888,-888,0,1774,201,-1975,2307,-2307,2375,288,424,-3087,3517,-3517,0,0,0,0,5047,170,-5217,5521,40,513,-6074,6577,204,165,-6946,0,7153,34,-7187,7338,30,3,-7371,0,7567,16,514,518,508,497,-9620,9798
admin_1,kz,kz-aty,,19,148,51,74,140,23,4,47,14,42,16,5,35,29,24,9,6,15,49,0,31,39,7,50,46,43,2,51,43,0,29,22,15,9,-46,0,0,0,0,0,0,0,0,0,3754,50,44,-3848,4032,-4032,4192,-4192,0,0,4880,129,0,90,40,-5139,0,5515,-5515,5616,437,46,33,-6132,6275,29,27,-6331,0,6743,543,-7286,8207,390,37,-8634,0,0,0,8707,8,50,-8765
admin_1,kz,kz-kar,,12,25,34,65,26,37,19,16,53,60,29,11,14,19,2,51,20,34,46,31,17,26,61,56,53,0,55,84,0,0,137,60,57,60,-177,0,0,2265,-2265,2394,92,-2486,2618,-2618,2768,-2768,0,0,0,3121,-3121,0,3338,-3338,3461,-3461,3590,79,-3669,0,0,4038,46,40,-4124,4186,38,-4224,4293,-4293,0,4364,-4364,0,4548,-4548,4951,359,-5310,6077,16,-6093,0,7216,330,-7546,0
admin_1,kz,kz-kus,,2,1,8,5,5,10,11,9,5,2,12,20,0,7,2,2,1,0,2,2,1,0,5,8,8,0,2,17,0,0,30,18,29,21,-68,81,-81,0,445,17,-462,476,-476,502,-502,0,605,7,5,8,-625,0,870,-870,927,-927,0,0,0,1660,80,8,-1748,1845,45,-1890,2007,-2007,0,0,2169,-2169,0,0,0,2405,-2405,2435,3,-2438,2452,-2452,2479,-2479,2500,1,-2501
admin_1,kz,kz-kzy,,0,8,15,6,5,5,5,7,6,5,37,28,17,0,51,15,8,10,6,3,5,10,29,22,15,0,45,26,13,0,104,61,-61,159,-159,197,91,376,-354,-310,364,89,1,-454,567,-567,667,15,-682,745,65,75,39,92,-1016,0,1137,45,30,29,-1241,1320,-1320,1365,74,40,-1479,0,0,0,0,1582,-1582,1803,-1803,2058,-2058,0,0,0,0,0,0,2228,-2228,0,2271
admin_1,kz,kz-man,,5,10,6,4,1,2,4,14,11,4,7,13,17,12,5,14,6,9,6,3,19,8,11,17,7,5,12,17,0,0,23,5,-5,0,0,46,-46,740,-740,0,0,0,806,-806,0,980,76,95,-1151,1175,-1175,0,0,0,0,1490,0,87,-1577,1653,11,-1664,0,0,1735,71,-1806,0,0,1859,8,-1867,0,0,0,2055,6,-2061,0,0,0,2188,8,-2196,0,2204,-2204
