region_schema,region_parent,region_child,agerange,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28
admin_1,kz,kz-akm,,0,0,0,1,5,2,1,1,1,5,2,2,4,3,2,10,22,15,42,0,22,22,21,19,23,23,20,23,15,10,764,52,-52,0,0,206,-206,266,35,-301,0,407,-407,0,0,566,-566,653,50,-703,808,-808,915,-915,0,0,1124,-1124,1227,59,-1286,1395,59,-1454,0,0,1651,-1651,1719,39,-1758,1823,-1823,0,1926,14,26,24,13,16,-2019,2050,-2050,2071,14,12,-2097,0
admin_1,kz,kz-akt,,0,6,14,4,6,15,13,0,0,26,17,48,10,14,12,10,8,15,29,0,20,18,25,18,22,23,33,28,51,34,649,0,0,0,0,0,317,-317,428,-428,564,40,63,171,196,-1034,1138,-1138,0,1225,-1225,1292,-1292,0,1399,37,-1436,0,1469,24,17,24,11,0,-1545,0,0,0,1582,10,-1592,0,1613,-1613,0,0,0,0,1659,-1659,1670,6,2,5,-1683,0,0,1699
admin_1,kz,kz-ala,,0,29,39,26,49,31,29,32,22,35,18,48,46,31,31,34,35,35,75,0,66,32,39,41,60,19,73,40,54,59,1726,195,206,-401,587,113,157,143,177,217,223,-1617,2090,-2090,0,0,0,0,3421,221,251,-3893,4350,247,220,394,0,-5211,5735,208,218,211,-6372,0,6963,-6963,0,0,7649,-7649,7932,120,-8052,0,8241,-8241,0,8376,-8376,8437,-8437,8493,40,38,12,-8583,0,0
admin_1,kz,kz-alm,,0,15,5,21,11,9,4,15,5,11,13,20,10,7,8,12,7,11,20,0,8,10,14,23,10,15,17,19,20,19,1376,111,123,-234,473,71,51,-595,735,-735,952,-952,1034,79,82,88,57,-1340,0,1529,-1529,0,1706,78,53,-1837,0,0,0,2161,63,-2224,2310,-2310,2395,-2395,2481,-2481,2567,-2567,2608,-2608,0,2668,-2668,0,0,0,0,2748,4,-2752,2768,4,7,4,-2783,2793
admin_1,kz,kz-ast,,0,59,23,55,35,37,38,24,42,23,27,50,24,39,77,104,87,59,182,0,53,103,59,77,62,67,47,56,72,57,1597,0,200,71,81,-352,542,73,120,180,-915,0,1246,211,-1457,1911,-1911,2445,-2445,0,0,3390,236,-3626,4052,576,0,250,250,-5128,0,0,0,0,0,0,0,7088,182,174,-7444,7763,143,-7906,0,8039,63,-8102,8171,-8171,0,8244,-8244,8288,-8288,8305,-8305,8342
admin_1,kz,kz-aty,,0,14,21,35,10,11,6,11,9,5,5,14,32,9,23,14,17,21,24,0,16,38,35,65,20,24,0,22,11,23,2493,287,327,377,342,-1333,0,0,2681,-2681,3260,269,-3529,0,4164,-4164,0,4740,-4740,5054,96,109,-5259,0,5733,-5733,0,0,0,6042,67,45,31,30,35,-6250,0,6378,24,41,30,11,-6484,0,6540,17,-6557,6584,-6584,6615,-6615,0,6670,15,-6685,6712,-6712,0
admin_1,kz,kz-kar,,0,24,0,68,48,33,24,18,41,50,52,52,77,56,47,50,52,37,117,0,61,58,53,43,41,46,48,48,43,49,2571,97,77,76,-250,404,93,-497,0,951,-951,1229,176,102,-1507,0,1833,-1833,0,2219,168,-2387,0,0,2992,-2992,0,3337,-3337,0,3674,-3674,0,3967,-3967,0,4236,-4236,0,0,0,0,0,4792,44,39,-4875,4949,32,-4981,0,0,5079,20,20,-5119,5158,19
admin_1,kz,kz-kus,,0,0,2,7,4,3,2,2,3,3,1,1,5,3,2,13,8,6,31,0,14,33,33,11,26,25,31,8,12,27,436,0,0,111,-111,0,227,-227,380,-380,566,56,-622,0,0,811,53,-864,970,56,57,54,-1137,0,0,1420,-1420,1483,65,67,-1615,0,0,0,0,1974,-1974,0,2087,-2087,0,0,2207,27,27,25,21,-2307,2342,14,-2356,0,2391,-2391,0,0,0,0
admin_1,kz,kz-kzy,,0,16,30,1,3,4,5,4,0,5,14,0,7,2,7,7,7,8,18,0,8,7,17,12,12,19,11,8,19,11,548,0,0,167,30,-197,0,275,28,63,61,-427,572,62,53,-687,0,950,49,19,119,115,77,-1329,1494,-1494,0,0,1647,-1647,0,1772,35,7,42,28,14,-1898,1957,-1957,1968,6,-1974,0,0,2000,0,-2000,0,2003,-2003,2010,-2010,2014,-2014,2016,1,2
admin_1,kz,kz-man,,0,19,17,0,11,4,2,3,3,12,14,11,3,7,1,18,4,3,15,0,0,15,2,13,7,6,5,5,6,6,650,0,161,114,44,124,13,82,-538,660,-660,0,0,0,0,0,0,1116,2,42,54,-1214,1310,75,64,-1449,1565,-1565,0,0,1741,32,21,12,25,-1831,1896,-1896,0,1990,28,19,15,21,13,-2086,0,0,0,2144,-2144,0,2171,10,0,7,5,3
