region_schema,region_parent,region_child,agerange,2020-03-07,2020-03-08,2020-03-12,2020-03-14,2020-03-15,2020-03-17,2020-03-18,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-08,2020-04-14,2020-04-15,2020-04-17,2020-04-18,2020-04-20,2020-05-05,2020-05-13,2020-05-20,2020-07-06,2020-07-10,2020-07-12,2020-07-13,2020-07-15,2020-07-19,2020-07-21,2020-07-27,2020-07-29,2020-07-31,2020-08-01,2020-08-02,2020-08-06,2020-08-08,2020-08-10,2020-08-11,2020-08-18,2020-09-13,2020-10-01,2021-06-26,2021-08-17,2021-08-18,2021-08-28,2021-09-01,2021-09-12,2021-09-13,2021-09-17,2021-09-21,2021-09-26,2021-09-27,2021-09-28,2021-09-29,2021-09-30,2021-10-02,2021-10-03,2021-10-04,2021-10-06,2021-10-11,2021-10-18,2021-10-23,2021-10-28,2021-10-30,2021-11-01,2021-11-02,2021-11-08,2021-11-09,2021-11-10,2021-11-12,2021-11-13,2021-11-14,2021-11-15,2021-11-16,2021-11-17,2021-11-18
admin_1,au-nsw,au-nsw,,1,1,2,3,4,5,6,7,13,17,19,21,24,32,34,39,42,43,48,51,55,58,59,60,62,65,66,67,68,70,70,72,72,70,71,73,74,75,76,77,77,78,79,80,83,84,85,86,88,89,90,91,91,92,94,95,96,97,98,99,100,101,102,104,105,107,108,109,110,112,113,114,116,117,118,119,120,123,124,127,134,141,143,144,146,149,150
lga,au,albury,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
lga,au,ballina,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lga,au,balranald,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
lga,au,bayside,,,,,,,,,,,,,,,,,1,,,,,2,3,3,,,,,,,,,4,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,
lga,au,berrigan,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lga,au,blacktown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,3,,,,,,,,,,
lga,au,blue mountains,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lga,au,broken hill,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,3,,,,,,,,,,,
lga,au,byron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
