region_schema,region_parent,region_child,agerange,2020-09-14,2020-09-16
cn_city,cn,110100,,935,935
cn_city,cn,120100,,230,234
cn_city,cn,130100,,38,38
cn_city,cn,130400,,32,32
cn_city,cn,130500,,23,23
cn_city,cn,130600,,48,48
cn_city,cn,130700,,43,43
cn_city,cn,130800,,7,7
cn_city,cn,130900,,49,49
cn_city,cn,131000,,32,32
cn_city,cn,131100,,8,8
cn_city,cn,140100,,89,89
cn_city,cn,140200,,12,12
cn_city,cn,140300,,4,4
cn_city,cn,140400,,8,8
cn_city,cn,140500,,11,11
cn_city,cn,140600,,8,8
cn_city,cn,140700,,37,37
cn_city,cn,140800,,19,19
cn_city,cn,140900,,7,7
cn_city,cn,141000,,2,2
cn_city,cn,141100,,6,6
cn_city,cn,150100,,114,114
cn_city,cn,150200,,11,11
cn_city,cn,150300,,2,2
cn_city,cn,150400,,9,9
cn_city,cn,150500,,7,7
cn_city,cn,150600,,11,11
cn_city,cn,150700,,86,86
cn_city,cn,150800,,8,8
cn_city,cn,150900,,3,3
cn_city,cn,152200,,1,1
cn_city,cn,152500,,9,9
cn_city,cn,210100,,53,53
cn_city,cn,210300,,5,5
cn_city,cn,210400,,1,1
cn_city,cn,210500,,3,3
cn_city,cn,210800,,2,2
cn_city,cn,210900,,8,8
cn_city,cn,211000,,4,4
cn_city,cn,211100,,11,11
cn_city,cn,211200,,10,10
cn_city,cn,211300,,6,6
cn_city,cn,220300,,23,23
cn_city,cn,220400,,7,7
cn_city,cn,220500,,8,8
cn_city,cn,220700,,2,2
cn_city,cn,220800,,1,1
cn_city,cn,222400,,7,7
cn_city,cn,230100,,269,269
cn_city,cn,230200,,43,43
cn_city,cn,230300,,46,46
cn_city,cn,230400,,5,5
cn_city,cn,230500,,52,52
cn_city,cn,230600,,27,27
cn_city,cn,230700,,1,1
cn_city,cn,230800,,15,15
cn_city,cn,230900,,17,17
cn_city,cn,231000,,407,407
cn_city,cn,231100,,14,14
cn_city,cn,231200,,47,47
cn_city,cn,232700,,3,3
cn_city,cn,320100,,103,103
cn_city,cn,320200,,56,56
cn_city,cn,320300,,79,79
cn_city,cn,320400,,53,53
cn_city,cn,320500,,91,91
cn_city,cn,320800,,67,67
cn_city,cn,320900,,28,28
cn_city,cn,321000,,23,23
cn_city,cn,321100,,12,12
cn_city,cn,321200,,39,39
cn_city,cn,321300,,15,15
cn_city,cn,330100,,196,199
cn_city,cn,330500,,12,12
cn_city,cn,330600,,42,42
cn_city,cn,330700,,57,57
cn_city,cn,330800,,50,50
cn_city,cn,331000,,149,149
cn_city,cn,331100,,35,35
cn_city,cn,340100,,174,174
cn_city,cn,340200,,34,34
cn_city,cn,340300,,160,160
cn_city,cn,340400,,27,27
cn_city,cn,340500,,38,38
cn_city,cn,340600,,28,28
cn_city,cn,340700,,29,29
cn_city,cn,340800,,83,83
cn_city,cn,341000,,9,9
cn_city,cn,341100,,13,13
cn_city,cn,341300,,41,41
cn_city,cn,341500,,69,69
cn_city,cn,341600,,108,108
cn_city,cn,341700,,17,17
cn_city,cn,341800,,6,6
cn_city,cn,350100,,102,105
cn_city,cn,350300,,56,56
cn_city,cn,350400,,14,14
cn_city,cn,350700,,20,20
cn_city,cn,350800,,6,6
cn_city,cn,360100,,236,236
cn_city,cn,360200,,6,6
cn_city,cn,360300,,33,33
cn_city,cn,360400,,116,116
cn_city,cn,360500,,129,129
cn_city,cn,360600,,18,18
cn_city,cn,360700,,74,74
cn_city,cn,360800,,22,22
cn_city,cn,360900,,106,106
cn_city,cn,361000,,72,72
cn_city,cn,361100,,123,123
cn_city,cn,370100,,61,61
cn_city,cn,370300,,30,30
cn_city,cn,370400,,24,24
cn_city,cn,370700,,44,44
cn_city,cn,370800,,260,260
cn_city,cn,370900,,35,35
cn_city,cn,371300,,50,50
cn_city,cn,371400,,39,39
cn_city,cn,371500,,38,38
cn_city,cn,371600,,15,15
cn_city,cn,371700,,18,18
cn_city,cn,410100,,159,159
cn_city,cn,410200,,26,26
cn_city,cn,410300,,32,32
cn_city,cn,410400,,58,58
cn_city,cn,410500,,53,53
cn_city,cn,410600,,19,19
cn_city,cn,410700,,57,57
cn_city,cn,410800,,32,32
cn_city,cn,410900,,17,17
cn_city,cn,411000,,39,39
cn_city,cn,411100,,36,36
cn_city,cn,411300,,156,156
cn_city,cn,411400,,91,91
cn_city,cn,411500,,274,274
cn_city,cn,411600,,76,76
cn_city,cn,411700,,139,139
cn_city,cn,419001,,5,5
cn_city,cn,420200,,1015,1015
cn_city,cn,420500,,931,931
cn_city,cn,420600,,1175,1175
cn_city,cn,420700,,1394,1394
cn_city,cn,420800,,928,928
cn_city,cn,420900,,3518,3518
cn_city,cn,421000,,1580,1580
cn_city,cn,421100,,2907,2907
cn_city,cn,421200,,836,836
