region_schema,region_parent,region_child,agerange,2020-09-03,2020-09-14,2020-09-23,2020-10-06,2020-10-07,2020-10-21,2020-10-24,2020-11-01
cn_city,cn,130100,,0,0,0,0,0,0,0,0
cn_city,cn,130200,,0,0,0,0,0,0,0,0
cn_city,cn,130300,,0,0,0,0,0,0,0,0
cn_city,cn,130400,,0,0,0,0,0,0,0,0
cn_city,cn,130500,,0,0,0,0,0,0,0,0
cn_city,cn,130600,,0,0,0,0,0,0,0,0
cn_city,cn,130700,,0,0,0,0,0,0,0,0
cn_city,cn,130800,,0,0,0,0,0,0,0,0
cn_city,cn,130900,,0,0,0,0,0,0,0,0
cn_city,cn,131000,,0,0,0,0,0,0,0,0
cn_city,cn,131100,,0,0,0,0,0,0,0,0
cn_city,cn,140100,,0,0,0,1,0,0,2,3
cn_city,cn,140200,,0,0,0,0,0,0,0,0
cn_city,cn,140300,,0,0,0,0,0,0,0,0
cn_city,cn,140400,,0,0,0,0,0,0,0,0
cn_city,cn,140500,,0,0,0,0,0,0,0,0
cn_city,cn,140600,,0,0,0,0,0,0,0,0
cn_city,cn,140700,,0,0,0,0,0,0,0,0
cn_city,cn,140800,,0,0,0,0,0,0,0,0
cn_city,cn,140900,,0,0,0,0,0,0,0,0
cn_city,cn,141000,,0,0,0,0,0,0,0,0
cn_city,cn,141100,,0,0,0,0,0,0,0,0
cn_city,cn,150100,,0,0,0,0,0,0,0,0
cn_city,cn,150200,,0,0,0,0,0,0,0,0
cn_city,cn,150300,,0,0,0,0,0,0,0,0
cn_city,cn,150400,,0,0,0,0,0,0,0,0
cn_city,cn,150500,,0,0,0,0,0,0,0,0
cn_city,cn,150600,,0,0,0,0,0,0,0,0
cn_city,cn,150700,,0,0,0,0,0,0,0,0
cn_city,cn,150800,,0,0,0,0,0,0,0,0
cn_city,cn,150900,,0,0,0,0,0,0,0,0
cn_city,cn,152200,,0,0,0,0,0,0,0,0
cn_city,cn,152500,,0,0,0,0,0,0,0,0
cn_city,cn,210100,,0,0,0,0,0,0,0,0
cn_city,cn,210200,,0,0,2,0,0,0,3,0
cn_city,cn,210300,,0,0,0,0,0,0,0,0
cn_city,cn,210400,,0,0,0,0,0,0,0,0
cn_city,cn,210500,,0,0,0,0,0,0,0,0
cn_city,cn,210600,,0,0,0,0,0,0,0,0
cn_city,cn,210700,,0,0,0,0,0,0,0,0
cn_city,cn,210800,,0,0,0,0,0,0,0,0
cn_city,cn,210900,,0,0,0,0,0,0,0,0
cn_city,cn,211000,,0,0,0,0,0,0,0,0
cn_city,cn,211100,,0,0,0,0,0,0,0,0
cn_city,cn,211200,,0,0,0,0,0,0,0,0
cn_city,cn,211300,,0,0,0,0,0,0,0,0
cn_city,cn,211400,,0,0,0,0,0,0,0,0
cn_city,cn,220100,,0,0,0,0,0,0,0,0
cn_city,cn,220200,,0,0,0,0,0,0,0,0
cn_city,cn,220300,,0,0,0,0,0,0,0,0
cn_city,cn,220400,,0,0,0,0,0,0,0,0
cn_city,cn,220500,,0,0,0,0,0,0,0,0
cn_city,cn,220700,,0,0,0,0,0,0,0,0
cn_city,cn,220800,,0,0,0,0,0,0,0,0
cn_city,cn,222400,,0,0,0,0,0,0,0,0
cn_city,cn,230100,,0,0,0,0,0,0,0,0
cn_city,cn,230200,,0,0,0,0,0,0,0,0
cn_city,cn,230300,,0,0,0,0,0,0,0,0
cn_city,cn,230400,,0,0,0,0,0,0,0,0
cn_city,cn,230500,,0,0,0,0,0,0,0,0
cn_city,cn,230600,,0,0,0,0,0,0,0,0
cn_city,cn,230700,,0,0,0,0,0,0,0,0
cn_city,cn,230800,,0,0,0,0,0,0,0,0
cn_city,cn,230900,,0,0,0,0,0,0,0,0
cn_city,cn,231000,,0,0,0,0,0,0,0,0
cn_city,cn,231100,,0,0,0,0,0,0,0,0
cn_city,cn,231200,,0,0,0,0,0,0,0,0
cn_city,cn,232700,,0,0,0,0,0,0,0,0
cn_city,cn,320100,,0,0,1,0,0,0,0,1
cn_city,cn,320200,,0,0,0,0,0,0,0,0
cn_city,cn,320300,,0,0,0,0,0,0,0,0
