region_schema,region_parent,region_child,agerange,2020-07-17,2020-07-18,2020-07-19,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-09-26,2020-09-27,2020-09-28,2020-09-30,2020-10-01,2020-10-02,2020-10-03,2020-10-04,2020-10-05,2020-10-06
lt_municipality,lt,kupiškio,,1,0,1,1,1,0,1,0,0,0,0,2,0,2,0,3,0,3,3,0,3,0,4,4,5,0,2,3,3,3,3,3,3,4,5,3,6,6,6,3,5,5,4,3,3,6,6,3,6,3,3,8,8,8,8,8,3,8,4,9,9,5,9,8,8,9,9,9,9,10,11,11,7,11,8
lt_municipality,lt,kėdainių,,2,3,3,3,3,7,3,3,3,3,8,3,8,3,8,8,8,8,9,9,9,3,3,4,8,4,4,8,2,10,10,4,4,4,10,4,10,4,10,10,5,5,6,6,8,10,12,12,12,12,13,13,11,11,12,13,14,12,14,12,14,12,11,11,16,11,16,18,16,16,16,16,21,16,16
lt_municipality,lt,lazdijų,,0,0,0,0,5,1,1,5,5,1,1,5,1,1,5,5,5,6,0,0,0,6,6,6,0,6,0,6,6,6,6,6,0,0,0,0,6,2,6,6,1,6,6,6,1,1,1,6,6,6,6,7,7,7,7,0,7,7,7,7,0,0,7,0,0,0,0,7,7,7,0,7,0,1,1
lt_municipality,lt,marijampolės,,72,72,7,6,73,6,73,6,6,9,73,9,73,9,73,9,7,75,75,7,7,75,7,75,75,7,75,7,75,7,76,7,76,76,76,9,9,9,9,76,76,76,76,8,77,9,10,77,10,77,77,12,12,12,12,78,11,78,78,78,78,79,80,14,14,14,81,81,82,14,83,83,15,83,14
lt_municipality,lt,molėtų,,2,2,3,3,4,3,3,3,4,7,7,4,4,4,4,7,4,7,5,5,5,6,6,6,5,6,8,8,5,5,5,12,5,12,7,18,27,27,7,33,31,9,31,9,35,35,35,9,9,35,10,34,34,34,12,32,32,12,31,31,31,14,14,15,26,26,18,26,23,23,21,21,24,21,20
lt_municipality,lt,panevėžio,,7,21,21,6,8,2,7,7,21,21,7,4,4,4,4,4,7,7,21,7,5,8,8,38,5,5,40,40,7,6,46,6,46,24,48,48,50,52,29,4,4,11,4,13,66,13,2,2,15,15,13,71,13,21,17,19,76,76,4,13,7,13,77,77,7,7,38,13,14,81,81,11,14,13,50
lt_municipality,lt,prienų,,5,0,5,0,0,5,0,0,5,5,2,5,5,5,5,7,8,5,5,15,15,15,16,5,5,17,17,18,18,5,17,17,17,17,9,12,11,13,13,11,14,11,16,16,11,16,12,8,8,8,8,21,8,8,21,21,21,21,21,21,8,7,22,22,7,23,23,6,6,4,4,4,4,4,3
lt_municipality,lt,radviliškio,,1,7,0,7,0,7,0,7,7,7,7,7,7,0,7,7,1,7,7,7,1,1,7,7,1,1,7,7,1,7,7,1,1,7,0,0,0,0,8,8,8,0,8,8,1,8,8,1,1,8,8,8,1,8,8,8,8,8,8,56,8,8,73,99,8,114,115,116,9,146,9,181,9,9,11
lt_municipality,lt,raseinių,,1,5,5,5,1,5,5,1,1,1,2,5,5,5,5,5,2,2,2,5,2,2,2,2,5,5,5,5,5,5,2,5,5,2,5,2,2,5,5,5,5,2,5,3,5,5,5,5,11,5,5,16,5,5,5,5,37,44,6,6,61,73,6,114,144,6,6,6,284,307,356,7,7,7,7
lt_municipality,lt,rokiškio,,0,3,1,3,1,1,1,1,3,3,3,3,2,3,2,3,4,1,4,4,1,4,1,1,1,4,5,0,5,5,5,5,5,5,0,1,5,5,5,4,4,5,5,4,4,4,4,5,4,6,5,6,5,12,12,12,12,12,5,5,5,5,16,5,5,5,5,5,16,6,6,6,16,16,6
lt_municipality,lt,tauragės,,0,1,9,1,9,9,9,9,2,9,2,2,9,2,2,2,9,9,10,1,1,10,2,5,10,5,11,5,6,7,11,11,11,8,11,8,11,8,11,8,19,12,26,13,25,14,27,14,27,28,15,15,34,34,16,32,19,30,29,30,22,22,22,29,25,25,28,28,22,11,43,9,9,43,43
