region_schema,region_parent,region_child,agerange,2020-07-17,2020-07-18,2020-07-19,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-09-26,2020-09-27,2020-09-28,2020-09-30,2020-10-01,2020-10-02,2020-10-03,2020-10-04,2020-10-05,2020-10-06,2020-10-07,2020-10-08,2020-10-09,2020-10-10,2020-10-11,2020-10-12,2020-10-13,2020-10-14,2020-10-15,2020-10-16,2020-10-17,2020-10-18,2020-10-19,2020-10-20,2020-10-21,2020-10-22,2020-10-23,2020-10-24,2020-10-25,2020-10-27,2020-10-28,2020-10-29,2020-10-30,2020-10-31,2020-11-01,2020-11-02,2020-11-04,2020-11-05,2020-11-06,2020-11-07,2020-11-08,2020-11-09,2020-11-10,2020-11-11,2020-11-12,2020-11-16,2020-11-17,2020-11-19,2020-11-20,2020-11-21,2020-11-22,2020-11-23,2020-11-24,2020-11-28,2020-11-29,2020-11-30,2020-12-01,2020-12-02
lt_municipality,lt,alytaus,,28,28,28,7,28,28,28,28,28,7,28,28,28,7,28,28,28,7,28,7,28,28,7,28,28,28,7,7,28,28,7,7,28,28,28,28,28,28,28,29,29,29,30,30,30,30,30,30,31,32,32,7,34,34,34,34,8,34,34,35,35,36,8,8,36,36,36,36,36,8,36,36,36,36,36,36,36,36,38,39,8,8,8,8,9,40,44,9,45,45,11,11,12,53,55,64,64,64,25,102,33,39,144,49,70,257,286,79,393,100,157,620,219,749,262,289,946,324,1232,1230,1290,471,1344
lt_municipality,lt,anykščių,,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,14,13,13,14,14,14,14,14,15,15,16,16,17,17,17,20,25,31,34,34,37,39,55,56,78,86,110,114,115,115,159,168,172,174,190
lt_municipality,lt,birštono,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,3,3,3,3,4,4,4,4,4,5,6,7,11,14,14,16,16,16,20,21,23,24,26,29,30,33,38,48,49,52,55,59,60,70,71,71,71,73
lt_municipality,lt,druskininkų,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,8,8,8,10,11,12,12,14,17,19,22,22,22,23,23,23,23,23,23,23,23,23,24,24,24,24,26,27,32,32,32,34,32,40,49,50,53,50,62,70,110,110,133,148,179,192,212,215,286,293,299,299,303
lt_municipality,lt,elektrėnų,,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,12,12,12,12,12,12,13,14,14,14,16,16,16,16,18,18,18,18,19,20,20,20,21,21,21,23,22,22,24,24,24,24,24,24,25,24,25,26,26,28,29,30,30,32,37,38,40,42,46,46,46,51,52,56,58,59,61,62,64,64,69,75,80,80,88,92,98,97,105,105,125,127,130,134,147,153,155,157,169,168,204,205,233,253,257,271,270,274,327,342,343,346,362
lt_municipality,lt,ignalinos,,6,6,6,6,6,6,6,6,6,6,8,8,16,17,17,17,20,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,24,24,24,24,24,24,24,24,24,24,25,27,28,28,28,33,34,35,34,39,39,50,50,54,60,62,68,68,68,96,106,110,113,132
lt_municipality,lt,jonavos,,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,16,17,18,18,18,18,18,19,19,19,19,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,23,23,23,24,25,25,25,26,26,26,26,27,27,29,29,29,30,32,44,49,51,52,52,54,56,58,61,73,83,93,120,129,150,190,214,234,246,263,275,338,350,372,414,447,476,497,504,676,727,742,738,793
lt_municipality,lt,jurbarko,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,8,8,8,8,9,10,10,10,11,11,12,13,15,17,18,18,21,21,21,21,21,21,21,22,22,22,23,24,24,24,24,24,24,24,25,27,28,28,28,28,30,31,31,33,33,34,35,44,46,46,51,54,57,59,70,75,87,102,110,135,149,153,157,164,194,205,215,222,226,235,239,259,263,276,283,293,304,305,308,345,360,360,364,374
lt_municipality,lt,kaišiadorių,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,5,5,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,11,11,11,11,12,12,12,12,12,14,14,14,14,14,15,15,15,16,18,22,23,23,23,26,26,29,31,32,34,34,38,39,47,51,74,88,102,114,115,126,142,152,162,168,179,187,206,219,236,247,254,266,276,287,406,431,437,440,469
lt_municipality,lt,kalvarijos,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,9,9,9,9,10,12,13,14,15,18,24,24,26,30,34,35,44,46,47,48,52,53,71,74,88,95,102,113,116,122,131,136,137,142,157
