region_schema,region_parent,region_child,agerange,2020-05-12,2020-05-13,2020-08-26,2020-08-27,2020-08-31,2020-09-07,2020-09-08,2020-09-09,2020-09-21,2020-09-22,2020-11-09,2020-11-14,2020-11-15,2020-11-16,2020-11-17,2020-11-18,2020-11-19,2020-11-20,2020-11-21,2020-11-22,2020-11-23,2020-11-24,2020-11-25,2020-11-26,2020-11-27,2020-11-28,2020-11-29,2020-11-30,2020-12-01,2020-12-04,2020-12-07,2020-12-08,2020-12-09,2020-12-10,2020-12-11,2020-12-14,2020-12-15,2020-12-16,2020-12-20,2020-12-21,2020-12-28,2020-12-29,2020-12-30,2021-01-07,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-16,2021-01-17,2021-01-18,2021-01-21,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-21,2021-02-22,2021-02-23,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-23,2021-03-31,2021-04-01,2021-04-08,2021-05-08,2021-05-15,2021-06-12,2021-06-13,2021-06-16
admin_1,iq,iq-an,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,364,-364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
admin_1,iq,iq-ar,,0,0,8,11,9,7,7,4,4,2,2,7,5,4,9,0,3,13,4,3,6,5,3,2,7,4,3,1,5,4,2,2,3,3,2,1,0,0,2,0,1,0,1,1,2,0,0,0,0,2,0,1,0,0,1,0,2,0,0,-2,0,0,0,0,2,0,0,0,0,0,0,1,1,1,0,0,1,1,2,0,1,2,0,2,1,3,3,1,2,1,2,0,2,2,3,3,2,3,4,2,3,2,0,0,0
admin_1,iq,iq-ba,,0,0,8,9,8,8,7,9,9,7,4,1,0,2,0,0,2,0,1,0,2,0,1,1,0,0,2,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,0,2,0,1,1,1,1,2,0,2,2,1,2,0,0,2,0,2,1,2,3,3,1,2,2,0,2,1,3
admin_1,iq,iq-bb,,0,0,4,5,2,2,3,1,2,1,0,1,2,0,2,0,1,0,2,0,0,0,3,1,2,2,1,2,3,3,2,2,2,2,1,1,1,2,2,0,1,2,1,0,0,1,1,0,0,0,1,0,0,1,2,0,0,2,1,1,0,0,1,1,0,0,1,2,0,1,2,1,2,3,1,2,0,1,1,1,2,1,1,0,0,1,1,3,2,2,2,2,2,4,2,1,1,2,1,1,1,1,0,0,0
admin_1,iq,iq-bg,,1,1,4,5,1,2,3,5,7,1,3,4,2,1,3,4,4,3,3,1,1,0,3,3,2,1,2,2,1,0,3,0,2,1,6,2,0,2,5,0,2,0,1,0,0,1,0,0,0,1,0,2,1,2,1,1,0,0,1,0,0,3,1,1,0,1,1,0,3,1,0,2,3,1,2,2,5,2,3,4,3,1,3,5,5,4,3,3,3,5,8,7,3,5,3,7,3,1062,-1053,4,3,2,2,3,2
admin_1,iq,iq-da,,0,0,0,4,3,3,2,7,6,6,7,9,8,9,6,4,5,4,3,4,3,5,2,2,3,1,5,2,5,1,4,1,5,0,3,4,1,3,221,0,1,1,1,1,1,0,0,0,1,0,0,1,0,1,0,2,0,0,2,4,3,2,1,2,0,2,1,1,0,1,0,1,1,1,1,0,1,0,1,0,2,1,0,2,0,1,1,0,2,3,2,3,0,0,3,0,0,4,2,1,6,3,3,1,2
admin_1,iq,iq-di,,0,0,2,3,2,2,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,2,0,1,1,0,2,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,1,0,2,0,0,0,0,0,1,0,0,0,0
admin_1,iq,iq-dq,,0,0,1,0,2,9,9,5,2,1,1,1,0,1,0,0,0,0,0,0,2,1,0,1,1,1,1,1,2,2,0,0,1,1,0,1,1,0,2,0,0,0,1,0,0,0,0,0,0,1,2,1,0,0,2,1,0,0,1,6,2,1,2,0,2,4,2,2,1,1,2,2,1,2,1,1,2,1,0,1,1,0,2,1,0,0,3,1,0,2,2,0,0,0,0,0,1,1,3,3,3,2,1,2,2
admin_1,iq,iq-ka,,0,0,9,9,3,4,1,3,1,8,0,0,0,0,0,0,1,0,1,1,0,4,1,1,1,0,0,0,0,0,0,0,0,0,3,1,0,0,2,0,0,0,0,0,2,2,2,0,0,1,0,0,0,0,0,0,0,1,2,2,3,0,1,1,0,0,0,0,0,0,2,0,6,5,3,3,4,3,3,1,4,1,1,2,2,0,1,0,5,1,2,2,4,3,3,2,2,3,3,1,0,0,1,0,1
admin_1,iq,iq-ma,,0,0,0,1,4,1,2,2,5,5,3,0,2,0,0,2,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,2,2,1,0,0,2,3,3,1,2,0,1,1,0,3,3,2,3,2,1,3,2,2,0,0,0,0
