region_schema,region_parent,region_child,agerange,2020-05-12,2020-05-13,2020-08-26,2020-08-27,2020-08-31,2020-09-07,2020-09-08,2020-09-09,2020-09-21,2020-09-22,2020-11-09,2020-11-14,2020-11-15,2020-11-16,2020-11-17,2020-11-18,2020-11-19,2020-11-20,2020-11-21,2020-11-22,2020-11-23,2020-11-24,2020-11-25,2020-11-26,2020-11-27,2020-11-28,2020-11-29,2020-11-30,2020-12-01,2020-12-04,2020-12-07,2020-12-08,2020-12-09,2020-12-10,2020-12-11,2020-12-14,2020-12-15,2020-12-16,2020-12-20,2020-12-21,2020-12-28,2020-12-29,2020-12-30,2021-01-07,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-16,2021-01-17,2021-01-18,2021-01-21,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-21,2021-02-22,2021-02-23,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-23,2021-03-31,2021-04-01,2021-04-08,2021-05-08,2021-05-15
admin_1,iq,iq-an,,0,0,85,62,55,48,19,34,34,26,51,49,41,55,53,49,98,96,67,65,110,63,83,43,53,47,47,33,37,51,30,28,39,33,35,35,27,35,44,0,13,18,14,5,6,12,15,8,6,4,7,10,2,7,10,8,6,7,4,8,6,4,2,9,7,14,5,5,12,10,14,7,2,10,6,2,11,14,9,8,10,4,8,4,15,9,4,10,3,7,6,9,21,38,20,23,15,35,41,39,46,25
admin_1,iq,iq-ar,,0,0,264,220,169,281,199,193,226,110,303,161,231,223,156,79,154,302,66,193,152,135,144,123,105,39,98,111,91,97,110,89,64,53,41,54,43,44,76,0,22,19,16,30,11,17,14,19,6,30,21,17,16,15,4,6,15,8,13,13,8,12,9,3,17,23,9,40,30,50,51,43,95,95,71,135,85,82,112,114,142,63,153,162,162,158,167,170,42,202,127,162,223,195,168,46,149,218,171,263,18,44
admin_1,iq,iq-ba,,18,32,320,254,319,239,359,399,203,389,46,50,75,54,103,56,35,36,35,30,36,41,55,88,52,87,63,48,87,68,58,46,22,28,12,40,25,28,48,0,24,14,18,17,24,39,27,43,14,32,21,29,30,37,16,25,27,35,59,52,71,106,80,112,123,101,149,196,204,281,347,338,399,593,627,662,525,921,961,972,934,797,757,669,808,896,920,710,794,622,626,854,686,797,615,885,738,989,823,876,623,341
admin_1,iq,iq-bb,,0,0,163,133,146,63,73,97,91,131,122,36,90,59,179,65,177,108,88,84,184,84,234,101,282,27,51,55,64,101,38,27,16,15,80,39,30,30,61,0,5,13,11,43,9,25,15,32,25,34,33,4,26,47,45,10,40,36,32,16,56,40,72,113,80,109,102,171,185,168,154,250,158,89,238,143,160,206,149,206,188,142,68,149,169,128,170,155,84,197,91,52,248,240,187,91,105,162,137,185,83,37
admin_1,iq,iq-bg,,26,34,225,304,343,575,733,642,826,937,639,336,367,322,434,362,414,316,165,273,446,441,265,412,405,324,259,419,367,423,326,418,357,250,200,244,225,395,528,0,234,241,219,233,130,273,302,244,198,161,296,202,113,189,226,217,229,167,259,393,403,311,372,407,99,448,469,140,673,507,773,796,380,693,883,279,812,718,923,947,796,809,347,979,710,842,754,728,780,349,853,980,840,859,942,888,444,-10151,12135,1162,814,384
admin_1,iq,iq-da,,0,0,90,78,243,349,271,211,346,353,303,260,121,220,247,200,183,186,176,113,178,169,135,143,144,139,105,171,170,65,183,167,158,130,99,103,136,141,132,0,65,89,67,14,20,73,21,117,33,12,45,34,13,48,43,39,40,19,45,24,28,24,30,16,8,42,37,16,25,34,34,52,22,22,42,21,56,58,72,42,76,94,19,89,90,84,75,93,11,34,141,82,169,178,193,137,119,449,322,425,210,52
admin_1,iq,iq-di,,5,1,91,67,128,48,135,132,63,89,109,81,97,213,243,204,158,171,95,117,104,131,111,175,167,62,76,135,270,120,99,87,82,100,49,97,85,102,122,0,102,99,99,41,23,24,26,34,20,38,31,51,320,42,38,46,27,31,64,38,36,36,45,58,60,65,38,85,36,112,80,44,44,31,53,41,119,85,161,113,177,82,171,58,121,144,147,146,144,91,122,144,222,141,206,167,94,126,247,216,482,114
admin_1,iq,iq-dq,,0,0,270,113,211,254,286,271,247,289,13,12,10,21,29,28,16,11,15,32,39,47,36,26,31,38,18,14,20,65,18,23,92,24,10,15,7,11,19,0,5,4,1,5,9,5,8,7,15,11,10,12,18,25,24,31,17,29,25,42,27,37,116,93,84,176,203,180,185,161,243,351,264,182,319,114,144,168,150,212,144,150,152,173,198,215,202,171,109,110,154,261,211,158,199,74,202,232,189,239,72,30
admin_1,iq,iq-ka,,1,0,335,260,251,194,227,248,108,120,12,29,22,20,22,21,19,13,25,11,12,19,36,9,26,9,13,12,27,26,10,6,24,15,14,6,31,23,14,0,5,7,6,40,31,21,42,34,42,18,41,88,99,58,89,39,96,53,109,103,134,106,132,192,87,326,417,335,387,325,498,302,444,439,266,128,131,228,243,269,250,295,141,145,275,192,393,265,300,170,140,236,330,204,233,194,49,260,208,173,228,29
admin_1,iq,iq-ma,,0,0,96,242,71,185,158,170,158,170,87,10,38,73,50,35,29,31,7,13,34,30,21,32,25,10,14,22,16,4,16,3,11,16,13,6,10,3,13,0,5,5,4,2,5,15,6,7,7,2,6,3,2,13,6,5,1,10,12,11,23,5,16,6,1,25,9,25,61,39,44,55,56,59,56,57,82,115,117,168,118,106,98,93,174,164,105,178,136,90,231,196,191,244,248,257,207,272,389,445,222,41
admin_1,iq,iq-mu,,0,2,278,224,142,179,236,174,88,107,27,11,14,9,18,4,3,20,9,7,20,12,3,15,8,8,10,14,21,4,3,7,7,2,1,6,8,7,4,0,9,8,23,5,13,5,14,9,2,4,5,10,2,2,24,6,9,6,16,32,14,25,15,20,21,74,20,25,22,98,93,91,116,128,60,47,58,89,91,103,93,32,106,111,63,109,35,157,81,49,37,11,79,121,145,148,98,66,57,103,84,26
admin_1,iq,iq-na,,-301,301,110,299,272,370,323,101,134,175,52,35,32,9,94,27,17,63,114,56,24,47,24,28,45,40,48,80,43,27,34,80,36,57,36,23,62,38,73,0,20,23,27,34,7,18,43,19,3,21,10,25,32,59,45,89,105,30,96,94,118,89,268,312,261,340,129,229,267,446,405,520,448,492,668,393,278,568,674,465,553,234,360,555,478,575,615,539,455,470,479,466,491,352,427,291,452,279,240,219,140,110
admin_1,iq,iq-ni,,2,0,150,141,109,92,102,152,126,127,55,150,196,107,260,262,141,111,169,103,122,111,194,206,166,201,187,234,214,287,245,383,203,227,134,117,102,133,250,0,148,111,72,45,23,20,29,92,33,37,22,90,23,3,11,23,23,38,18,63,31,30,28,33,21,8,6,30,4,25,17,25,9,10,14,18,9,39,17,20,47,37,14,11,9,18,16,11,13,13,8,17,12,20,5,26,15,67,28,67,141,36
admin_1,iq,iq-qa,,0,0,192,151,202,195,195,203,89,199,65,64,4,80,46,26,36,10,23,13,29,35,26,30,23,28,16,43,24,27,17,26,39,49,18,63,104,61,63,0,4,15,13,11,3,24,10,10,13,12,25,42,15,15,24,29,21,17,21,26,46,43,61,52,27,191,86,144,164,232,196,140,151,246,160,175,230,280,241,275,347,92,182,147,247,213,131,255,155,171,205,294,262,227,167,159,260,194,171,174,49,61
admin_1,iq,iq-sd,,0,0,49,122,153,188,117,18,80,211,123,68,60,107,79,147,46,88,52,54,38,56,270,128,225,34,75,104,51,81,40,87,54,27,41,31,42,38,31,0,7,30,36,3,8,14,9,9,36,7,12,7,18,4,23,13,3,21,3,1,20,34,4,30,1,8,3,9,31,21,36,59,21,20,27,54,84,35,59,62,35,128,45,75,69,108,156,64,48,139,64,102,117,95,82,87,69,88,75,80,153,37
admin_1,iq,iq-su,,0,0,109,111,179,158,217,141,158,173,294,152,219,216,242,146,193,230,119,189,158,196,156,113,154,81,101,133,128,86,79,100,65,65,57,44,44,53,74,0,45,32,40,36,37,36,53,22,4,68,31,26,29,31,20,25,18,23,49,17,12,20,13,5,13,33,7,50,17,54,30,22,33,33,23,81,56,59,53,46,51,41,84,93,73,93,119,103,7,156,141,109,149,139,144,12,143,314,262,404,53,45
admin_1,iq,iq-wa,,0,0,229,240,143,296,356,292,225,430,50,92,62,59,71,54,49,109,39,73,69,81,45,95,128,54,71,37,40,57,42,40,47,20,26,24,30,21,57,0,35,56,21,7,110,-70,30,35,30,18,27,44,28,41,14,77,69,45,50,29,66,53,44,45,120,126,94,95,187,305,147,238,98,178,129,197,145,349,278,179,168,238,131,205,225,260,222,153,264,267,125,282,282,454,317,238,328,280,392,538,159,74
