region_schema,region_parent,region_child,agerange,2020-05-12,2020-05-13,2020-08-26,2020-08-27,2020-08-31,2020-09-07,2020-09-08,2020-09-09,2020-09-21,2020-09-22,2020-11-09,2020-11-14,2020-11-15,2020-11-16,2020-11-17,2020-11-18,2020-11-19,2020-11-20,2020-11-21,2020-11-22,2020-11-23,2020-11-24,2020-11-25,2020-11-26,2020-11-27,2020-11-28,2020-11-29,2020-11-30,2020-12-01,2020-12-04,2020-12-07,2020-12-08,2020-12-09,2020-12-10,2020-12-11,2020-12-14,2020-12-15,2020-12-16,2020-12-20,2020-12-21,2020-12-28,2020-12-29,2020-12-30,2021-01-07,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-16,2021-01-17,2021-01-18,2021-01-21,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-21,2021-02-22,2021-02-23,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18
admin_1,iq,iq-an,,0,0,21,11,11,22,-25,-42,-24,-9,6,-3,14,22,12,11,42,29,24,11,42,8,44,-9,6,12,16,-12,4,12,-2,-14,4,-4,-12,-41,-42,-27,-73,0,-11,3,-7,-6,-5,-1,-64,-59,-72,-37,-2,2,-3,-2,4,2,-7,-2,-1,3,-9,1,-4,1,-2,4,-2,-1,3,-2,5,3,-2,4,4,-1,5,6,3,3,4,1,4,-2,6,2,2,3,-2,3,1,3,7,22
admin_1,iq,iq-ar,,-1,-3,-24,-87,-95,53,-21,-23,7,-78,195,45,123,107,42,79,30,69,-42,-8926,9032,15,24,4,-30,-67,-24,-4,-31,-14,3,-28,-52,-66,-78,-61,-76,-74,-265,0,-100,-83,-93,-312,-366,-344,-337,-352,-375,-335,-360,-305,-349,-318,-364,-317,-339,-45,-32,-25,-30,-23,-45,-39,-16,-17,-33,-1,-23,7,-25,-9,63,63,3,114,52,43,67,63,83,0,97,96,86,92,96,118,-22,127,54,87,159,133
admin_1,iq,iq-ba,,-25,6,50,-98,-95,-346,-23,80,-116,137,-66,-53,2,-54,-24,-87,-72,-85,-92,-105,-30,-39,-57,-29,-43,21,-38,-28,6,27,21,5,-22,-53,-41,-8,-38,-32,-17,0,-19,-17,-10,-14,-2,15,13,25,-6,16,3,7,8,13,-4,-18,-4,0,38,38,43,64,50,75,108,66,91,125,147,175,267,225,268,339,417,360,187,683,547,564,535,205,130,-36,298,271,399,215,131,97,-292,-57,-164,-138
admin_1,iq,iq-bb,,0,0,-63,21,2,-58,-117,-41,-73,43,54,-34,32,-71,106,40,141,7,32,-51,108,-33,197,11,220,-145,-13,-120,-14,25,-58,-150,-111,-35,54,-79,-27,-12,29,0,-29,-5,-13,38,-2,14,8,28,20,27,17,-5,-10,15,11,-8,6,16,26,-9,43,15,26,70,71,78,85,121,163,121,77,136,70,-57,111,10,-64,48,49,45,78,-102,-124,-101,-81,-52,30,-2,-117,49,-120,-135,105,171
admin_1,iq,iq-bg,,24,28,11,-236,-94,111,380,337,208,331,33,-288,-265,-348,-472,-62,-194,-338,-440,-129,96,30,-91,104,58,18,-195,113,-4,78,-21,-3,62,-126,-207,-73,-176,181,-67,0,-13,-5,78,3,-82,65,91,126,-35,-27,128,-4,-79,-19,-5,40,-3,-17,58,191,198,107,171,244,-95,147,68,-123,298,136,563,464,-25,272,371,-442,0,-3,408,293,143,35,-324,273,-18,388,50,115,-13,-357,43,197,334,64
admin_1,iq,iq-da,,0,0,90,35,240,240,269,204,179,221,221,10,-118,153,-50,49,38,-155,-39,-120,174,123,-24,-71,139,-107,-262,138,25,57,159,-265,151,-201,-96,-132,-37,-28,-555,0,-113,-175,-18,-363,-301,-263,-348,-240,-305,-331,-279,-318,-334,-314,-314,-332,-344,-263,-216,-269,-299,-288,-311,-208,-237,40,21,-1,0,5,9,22,15,15,35,-4,14,26,-16,7,12,13,-33,43,16,38,16,26,-19,-7,25,14,89,86
admin_1,iq,iq-di,,5,1,-65,-61,59,9,65,95,35,31,-38,-59,-105,69,131,96,28,70,-33,36,-62,-101,-83,-10,57,-119,-73,20,176,-18,9,-49,-191,5,-65,21,6,7,-3,0,38,37,28,-72,-50,-9,-30,-39,-37,-11,15,-4,272,13,7,-73,-226,-30,7,-18,-3,-24,6,0,29,20,-9,31,1,72,44,-4,-10,-50,9,28,71,42,86,92,147,-9,112,5,10,40,19,-15,11,-25,23,55,125,-5
admin_1,iq,iq-dq,,-4,0,59,-53,14,-19,78,53,-1,2,-27,-9,-22,-2,11,-2,-1,-16,-3,19,12,21,9,9,11,18,-4,-7,-10,52,-22,-13,65,-8,-28,-6,-39,-49,-24,0,-12,-7,-10,-8,4,1,4,3,10,4,3,3,11,16,11,15,6,14,12,23,8,18,89,69,51,147,154,151,147,44,148,265,204,71,142,-130,-209,-155,-104,-53,-39,-111,-52,-39,13,51,85,26,-59,-42,-60,117,61,6
admin_1,iq,iq-ka,,1,-7,34,12,-80,-168,-56,79,-112,-46,-14,-3,-25,-9,-12,21,6,-38,1,-39,-14,-18,35,2,-8,-10,-6,-1,3,14,-15,-3,11,3,-13,-8,24,15,-17,0,-11,-9,-3,35,23,10,38,23,22,-21,15,67,74,18,47,21,55,-56,24,5,28,74,42,153,-7,223,283,231,253,135,412,60,157,116,-153,-175,-260,-110,-202,-166,-18,-43,-125,-148,70,65,262,42,54,-104,-109,-58,187,59
admin_1,iq,iq-ma,,0,-9,-71,82,-25,51,0,72,-31,7,53,-31,-5,22,-4,-23,-52,-18,-68,-38,-7,-7,-10,-23,-6,-35,-27,-8,-9,-31,-22,-24,-13,-4,-6,-5,0,-6,-11,0,0,-1,-26,-4,0,7,-2,-2,2,0,2,2,-5,0,-1,4,-1,7,9,5,20,-1,3,0,-4,13,-3,2,56,23,39,54,31,23,31,2,25,67,92,110,31,19,40,5,83,140,81,94,21,-28,62,79,82,143
admin_1,iq,iq-mu,,0,-1,180,136,-28,-19,143,40,-131,-65,-7,-7,-15,-14,-11,-14,-9,-7,-5,-13,-3,-7,-10,-7,-11,-4,-10,-8,1,-13,-13,-5,-14,-11,-11,-5,-8,-5,-17,0,-4,-3,-4,-4,-3,-3,-3,-2,-6,-2,-4,-4,-3,-5,-10,-3,-2,-5,1,23,3,19,9,14,16,67,16,18,15,90,86,84,107,118,53,41,52,83,76,90,80,18,81,93,49,90,22,134,66,32,25,-9,66,98
admin_1,iq,iq-na,,-4,2,-179,-6,101,145,58,-129,-11,61,-39,-54,-48,-56,36,-5,-26,16,81,23,-22,3,-4,1,26,-28,12,64,-5,-13,6,38,-1,15,0,-2,41,11,-133,0,-4,-16,-8,25,-14,0,30,2,-1,10,-16,19,18,47,24,86,85,8,78,56,93,44,217,267,200,258,54,120,213,201,196,207,151,274,382,21,-216,169,176,36,100,-324,-97,-11,20,234,252,263,-40,-87,53,-39,263,14
admin_1,iq,iq-ni,,2,0,94,-97,-210,-126,-62,-82,19,38,-97,3,-6,1,-31,224,116,48,-228,-125,-45,0,42,11,62,-57,-68,90,104,187,44,217,16,-5,-78,-163,-200,-83,-173,0,-74,-69,-214,-69,-49,-90,-111,-69,-18,-27,-23,18,-67,-57,-34,-32,-44,-21,-102,5,-17,-23,-5,2,-27,-30,-59,-5,-28,-9,-4,13,-6,-24,4,-2,-16,-31,-8,6,31,19,-11,1,-22,-3,6,-11,-7,3,-12,-3,-5,10
admin_1,iq,iq-qa,,0,0,72,27,69,13,42,83,-105,-99,28,43,-31,37,13,-19,-10,-20,-3,-51,-32,-39,-25,3,-42,9,-38,4,-12,3,-9,-4,18,21,2,39,77,35,25,0,-55,-13,-12,-9,-11,17,1,5,6,10,14,33,8,-16,12,16,9,-23,-21,15,27,27,45,28,-3,168,60,97,121,170,144,112,24,126,-7,-25,87,66,138,119,98,-70,19,50,63,83,-46,25,-125,-71,-70,-53,169,45
admin_1,iq,iq-sd,,-2,0,-2,67,146,108,116,-217,-539,195,-498,68,59,98,-294,52,21,-29,52,54,34,56,133,-4,222,34,75,49,48,80,-367,87,52,-60,41,31,-109,1,-114,0,1,30,31,3,-18,-366,6,-54,36,7,-217,-279,14,0,23,12,-18,-90,-79,-50,-47,34,4,30,-5,-20,-23,-8,15,8,24,46,12,12,-10,46,-1,-128,-166,41,34,128,30,-15,68,108,148,57,48,135,-86,64,-32,88
admin_1,iq,iq-su,,0,0,34,42,51,41,102,33,70,73,185,93,112,144,154,97,112,130,51,100,97,130,86,37,59,34,37,69,47,19,22,45,12,7,12,11,14,20,10,0,27,12,14,-225,-239,-239,-210,-229,-256,-198,-229,-227,-225,-212,-230,-226,-216,-62,-42,-71,-64,-37,-61,-68,-48,-27,-30,4,-10,19,18,-4,27,27,18,44,18,10,9,-1,17,31,54,87,51,90,110,49,-10,110,94,45,82,60
