region_schema,region_parent,region_child,agerange,2020-05-12,2020-05-13,2020-08-26,2020-08-27,2020-08-31,2020-09-07,2020-09-08,2020-09-09,2020-09-21,2020-09-22,2020-11-09,2020-11-14,2020-11-15,2020-11-16,2020-11-17,2020-11-18,2020-11-19,2020-11-20,2020-11-21,2020-11-22,2020-11-23,2020-11-24,2020-11-25,2020-11-26,2020-11-27,2020-11-28,2020-11-29,2020-11-30,2020-12-01,2020-12-04,2020-12-07,2020-12-08,2020-12-09,2020-12-10,2020-12-11,2020-12-14,2020-12-15,2020-12-16,2020-12-20,2020-12-21,2020-12-28,2020-12-29,2020-12-30,2021-01-07,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-16,2021-01-17,2021-01-18,2021-01-21,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-21,2021-02-22,2021-02-23,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09
admin_1,iq,iq-an,,0,0,63,51,44,26,44,76,58,35,45,52,27,33,41,38,56,67,43,54,68,55,39,52,47,35,31,45,33,39,32,42,35,37,47,76,69,62,117,0,24,15,21,11,11,13,79,67,78,41,9,8,5,9,6,6,13,9,5,5,15,3,6,8,9,10,7,6,9,12,9,4,4,6,2,3,6,8,6,5,6,3,4,6,9
admin_1,iq,iq-ar,,1,3,280,296,255,221,213,212,215,186,106,109,103,112,105,0,121,220,104,9116,-8886,115,117,117,128,102,119,114,117,107,105,115,113,116,117,114,119,118,339,0,121,102,108,341,375,361,351,371,381,363,381,321,365,333,367,323,352,53,45,40,38,35,54,42,31,40,42,41,53,43,76,51,31,31,68,21,32,38,43,51,58,61,56,64,75
admin_1,iq,iq-ba,,43,26,262,343,406,577,375,310,310,245,108,102,73,106,127,143,105,121,126,135,64,80,111,116,95,66,99,75,80,40,36,41,44,80,53,48,63,60,65,0,43,31,28,31,25,24,14,18,20,16,18,22,21,24,19,43,31,35,21,14,28,42,30,37,15,35,58,71,57,106,80,112,130,253,210,300,338,236,414,407,398,591,626,703,510
admin_1,iq,iq-bb,,0,0,222,107,142,119,187,137,162,87,68,69,56,130,71,25,35,101,54,135,76,117,34,89,60,170,63,173,75,73,94,175,125,48,25,117,56,40,30,0,33,16,23,5,11,10,6,4,5,7,15,9,36,31,32,18,34,18,5,24,13,25,45,42,9,31,16,48,22,46,75,113,86,143,126,131,224,157,99,160,108,243,191,250,250
admin_1,iq,iq-bg,,1,5,210,535,436,462,350,300,611,605,603,620,630,669,903,420,604,651,602,401,349,411,353,305,345,305,452,304,370,345,344,421,293,375,401,315,401,212,590,0,245,246,140,230,212,207,211,118,233,187,168,204,191,206,230,176,232,184,200,202,205,201,200,162,194,300,400,263,372,370,210,330,402,420,510,719,807,719,512,650,650,773,668,701,
admin_1,iq,iq-da,,0,0,0,39,0,106,0,0,161,126,75,241,231,58,291,147,140,337,212,229,1,41,157,212,2,245,362,31,140,7,20,431,2,331,192,231,172,166,466,0,177,263,84,376,320,336,369,357,337,343,324,351,347,361,357,369,384,282,259,289,324,310,340,222,245,0,15,16,25,28,25,29,6,6,6,25,41,32,87,35,62,80,52,44,74
admin_1,iq,iq-di,,0,0,154,125,67,37,70,36,28,57,147,139,202,144,111,108,130,100,128,81,165,232,194,185,110,181,149,115,94,137,88,136,272,94,114,74,79,95,125,0,64,61,71,113,72,32,56,73,57,49,16,55,48,29,31,119,253,60,57,55,38,60,39,58,31,45,47,54,35,40,36,48,54,81,44,13,48,43,75,21,30,91,59,52,111
admin_1,iq,iq-dq,,4,0,210,166,195,264,199,213,246,286,39,20,32,22,18,30,17,27,18,13,25,25,27,16,19,19,21,20,28,11,40,36,26,31,38,20,45,60,41,0,17,11,10,13,5,4,4,4,5,6,5,8,7,9,11,15,11,15,12,13,17,18,25,24,31,25,47,27,37,116,93,84,59,109,176,243,351,322,254,264,182,261,202,211,185
admin_1,iq,iq-ka,,0,7,292,239,328,358,282,166,219,158,26,32,47,29,34,0,12,51,23,49,26,33,0,6,33,19,19,13,24,12,25,9,13,12,24,13,7,8,29,0,16,16,9,5,6,9,2,11,20,38,26,21,25,40,42,18,41,108,83,96,103,32,89,38,94,103,134,104,134,190,84,242,281,318,416,300,387,335,442,434,264,337,265,291,203
admin_1,iq,iq-ma,,0,9,167,159,92,133,156,96,184,158,31,41,41,51,54,56,81,49,75,51,40,37,30,54,30,45,40,30,25,35,38,27,24,20,19,11,10,9,24,0,5,6,30,6,5,8,7,9,5,2,4,1,7,13,7,1,2,3,3,6,3,6,13,6,5,12,11,23,5,16,5,1,25,35,25,55,57,46,23,56,86,87,58,86,88
