region_schema,region_parent,region_child,agerange,2020-05-11,2020-05-12,2020-05-13,2020-05-31,2020-06-02,2020-06-04,2020-06-07,2020-06-14,2020-08-20,2020-08-23,2020-08-25,2020-08-26,2020-08-27,2020-08-30,2020-08-31,2020-09-03,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-13,2020-09-16,2020-09-20,2020-09-21,2020-09-22,2020-09-30,2020-10-05,2020-10-12,2020-10-19,2020-10-21,2020-10-26,2020-10-28,2020-11-01,2020-11-05,2020-11-08,2020-11-09,2020-11-13,2020-11-14,2020-11-15,2020-11-16,2020-11-17,2020-11-18,2020-11-19,2020-11-20,2020-11-21,2020-11-22,2020-11-23,2020-11-24,2020-11-25,2020-11-26,2020-11-27,2020-11-28,2020-11-29,2020-11-30,2020-12-01,2020-12-03,2020-12-04,2020-12-06,2020-12-07,2020-12-08,2020-12-09,2020-12-10,2020-12-11,2020-12-13,2020-12-14,2020-12-15,2020-12-16,2020-12-19,2020-12-20,2020-12-21,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2021-01-02,2021-01-04,2021-01-06,2021-01-07,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-20,2021-01-21,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-09,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-25,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-22,2021-03-23,2021-03-27,2021-03-30,2021-03-31,2021-04-01,2021-04-05,2021-04-07,2021-04-08,2021-04-11,2021-04-13
admin_1,iq,iq-an,,3,3,3,1,0,6,34,125,938,1008,1052,1073,1084,934,945,855,758,780,755,713,705,569,528,504,495,485,464,458,504,530,596,622,674,758,785,791,816,813,827,849,861,872,914,943,967,978,1020,1028,1072,1063,1069,1081,1097,1085,1089,1081,1093,1082,1080,1066,1070,1066,1054,924,883,841,814,760,687,687,520,509,512,505,484,460,449,443,444,439,438,374,315,264,192,155,153,123,125,119,116,114,118,120,113,94,92,91,94,85,86,82,83,81,86,85,89,87,86,89,87,92,95,94,92,96,100,103,107,106,111,117,120,123,127,128,132,130,136,138,140,143,141,144,145,148,155,177,183,202,226,230,243,273,295,317,367,424,449,497,521
admin_1,iq,iq-ar,,15,14,11,63,52,59,135,323,4305,4188,4192,4168,4081,3807,3712,3532,3345,3398,3377,3354,3155,3142,2928,2935,2857,3066,3419,4522,5558,6012,7322,7918,9536,10845,11362,11557,12235,12280,12403,12510,12552,12631,12661,12730,12688,3762,12794,12809,12833,12837,12807,12740,12716,12712,12681,12649,12635,12454,12457,12429,12377,12311,12233,12077,12016,11940,11866,11603,11338,11338,10733,10633,10550,10457,9616,8979,8338,8026,7356,6990,6646,6309,5957,5314,4939,4604,4244,3557,3252,2591,2242,1924,1560,1243,904,807,762,730,705,675,652,607,568,552,509,441,424,391,390,367,374,349,340,347,410,473,476,600,668,782,834,877,944,1007,1090,1090,1187,1283,1369,1461,1557,1675,1653,1780,1834,1921,2080,2213,2304,2283,2348,2431,2821,3369,3501,3591,4089,4293,4462,4864,5349
admin_1,iq,iq-ba,,261,236,242,150,149,214,522,669,7052,7068,7082,7132,7034,6552,6457,5984,5479,5133,5110,5190,5378,5435,5612,5496,5633,5428,4824,3010,1979,1941,1972,2029,2052,1968,1800,1734,1575,1522,1524,1470,1446,1359,1287,1202,1110,1005,975,936,879,850,807,828,790,762,768,716,743,744,765,770,748,695,654,517,509,471,439,417,400,400,362,343,326,316,288,265,253,239,247,245,260,273,298,322,316,332,335,338,345,341,349,362,358,340,336,333,333,371,409,452,516,566,641,749,963,1373,1439,1530,1655,1802,1977,2244,2469,3031,3299,3638,4055,5290,6355,6715,6902,7585,8132,8696,9231,9436,9566,9530,9828,10099,10498,10713,10844,10941,10649,10592,10428,10290,10198,10327,10594,10540,10801,11198,11322,11438,11224,11436,11530,12053,12323
admin_1,iq,iq-bb,,16,16,16,81,85,140,306,461,1678,1680,1428,1365,1386,1246,1248,1276,1164,1106,989,948,1020,1131,1287,1214,1257,1367,1383,853,893,1097,948,924,824,870,684,738,892,858,890,819,925,965,1106,1113,1145,1094,1202,1169,1366,1377,1597,1452,1439,1319,1305,1270,1295,917,859,709,598,563,617,532,453,426,414,356,385,385,210,181,176,163,90,58,46,84,102,100,114,122,150,174,194,221,238,229,224,226,216,231,242,234,240,219,235,261,252,295,310,336,406,477,675,865,943,1028,1149,1312,1433,1510,1646,1626,1696,1639,1750,1906,1957,1967,1903,1951,2000,2045,2123,2021,1897,1796,1715,1663,1693,1691,1574,1623,1503,1368,1473,1644,1683,1606,1396,1414,1487,1359,1431,1434,1467,1926,1881,2021,2200
admin_1,iq,iq-bg,,25243800,152,180,786,811,826,1204,1958,3572,3455,3384,3395,3159,2586,2492,3602,4564,4675,5055,5392,5875,6833,7044,7252,7583,8738,8334,7723,7597,7914,6840,6856,6258,6636,6347,6380,6321,6033,5768,5420,4948,4886,4692,4354,3914,3785,3881,3911,3820,3924,3982,4000,3805,3918,3914,4137,4215,4154,4133,4130,4192,4066,3859,3401,3328,3152,3333,3144,3077,3077,3159,3146,3141,3219,3076,2865,2939,2942,2908,2826,2891,2982,3108,3324,3289,3262,3390,3399,3395,3286,3207,3188,3183,3223,3220,3261,3244,3302,3493,3691,3798,3969,4213,4118,4419,4902,5049,5117,4994,5292,5428,5991,6455,7220,7195,7467,7838,8519,9026,8584,8584,8581,8989,9282,9425,9460,9136,9409,9391,9779,9829,9944,9931,9574,9617,9814,10148,10212,10421,10650,10604,10306,11627,11749,13145,12153,12314,12708,12938,13539,14538
admin_1,iq,iq-da,,0,0,0,12,14,65,74,75,1488,1967,2352,2442,2477,2403,2643,3031,3599,3839,4108,4312,4993,5259,5698,5877,6098,7216,8032,8241,9462,10053,11277,11620,12002,12397,12700,12921,13179,13189,13071,13224,13174,13223,13261,13106,13067,12947,13121,13244,13220,13149,13288,13181,12919,13057,13082,13052,13109,12992,13151,12886,13037,12836,12740,12693,12561,12524,12496,12449,11894,11894,11822,11709,11534,11516,10958,10274,9629,9266,8794,8493,8230,7882,7642,6966,6661,6330,6051,5396,5078,4435,4101,3787,3473,3141,2797,2334,2071,1855,1586,1287,999,688,480,243,281,331,371,392,391,391,396,405,427,452,467,482,517,571,592,588,602,628,612,619,631,644,611,654,670,708,724,750,731,724,749,763,852,938,1084,1188,1369,1444,2051,2482,2667,2823,3446,3894,4029,4709,4967
admin_1,iq,iq-di,,1,6,7,35,34,39,33,195,768,830,844,779,718,598,657,556,476,485,550,645,656,539,304,339,370,918,997,1068,1114,1079,1064,998,842,856,911,873,929,870,765,834,965,1061,1089,1159,1126,1162,1100,999,916,906,963,844,771,791,967,972,954,889,898,849,658,663,598,554,575,581,588,579,576,576,479,517,554,582,502,480,413,341,275,225,216,186,147,149,112,101,116,134,130,128,400,413,420,347,121,165,135,142,124,121,97,103,103,132,221,265,285,276,307,308,380,424,420,426,416,366,375,342,335,363,434,476,562,654,801,792,904,909,919,959,978,963,974,949,972,1027,1152,1147,1208,1225,1240,1202,1304,1511,1543,1560,1646,1985,2102,2374,2677
admin_1,iq,iq-dq,,11,7,7,50,50,,221,447,746,768,937,996,943,997,1011,1096,1258,1239,1317,1370,1666,1731,1588,1587,1589,1096,1507,715,489,605,630,607,488,363,299,272,263,254,232,230,241,239,238,222,219,238,250,271,280,289,300,318,314,307,297,358,410,386,364,351,416,408,380,352,346,307,258,221,197,197,127,115,108,98,72,62,61,53,59,63,64,68,71,81,91,95,98,115,118,133,144,160,171,186,192,224,238,250,273,281,299,388,457,508,630,732,879,1033,1184,1331,1375,1523,1788,2200,2404,2475,2617,2645,2645,2515,2306,2151,2047,1994,1955,1844,1792,1753,1766,1817,1902,1928,1869,1827,1767,1884,1945,1951,1977,1853,1709,1739,1965,1967,2124,2137,2021,2098,2154,2090,2220
admin_1,iq,iq-ka,,19,20,13,100,111,140,231,318,2638,2697,2650,2684,2696,2779,2699,2513,2392,2224,2168,2247,2385,1821,1427,1315,1269,972,752,664,583,540,295,333,319,364,279,265,289,286,261,252,240,261,267,229,230,191,177,159,194,196,188,178,172,171,174,185,199,154,139,136,147,150,137,118,110,134,149,159,142,142,144,133,124,121,67,101,121,156,188,211,221,259,282,298,320,299,314,361,428,531,605,623,670,691,746,860,804,828,833,861,935,977,1130,1123,1393,1890,2113,2396,2627,2880,3015,3427,3487,3603,3760,3876,3723,3607,3280,3105,2845,2735,2533,2367,2349,2306,2181,2033,2103,2168,2430,2472,2526,2422,2313,2255,2442,2501,2468,2469,2110,1856,1854,1674,1752,1851,1726,1833,1900,1713,1530
admin_1,iq,iq-ma,,31,31,22,52,89,195,241,605,1463,1529,1453,1382,1464,1469,1444,1422,1436,1487,1487,1559,1485,1600,1548,1517,1524,1122,945,577,583,593,411,387,232,425,475,528,660,629,624,646,642,619,567,549,481,443,436,429,419,396,390,355,328,320,311,297,266,225,203,179,166,162,156,146,141,141,135,126,115,115,97,97,96,70,61,54,51,47,45,45,52,50,48,47,49,49,51,57,59,57,52,52,51,55,54,55,62,71,76,96,95,98,98,94,127,164,177,174,176,232,255,294,348,367,398,421,452,568,570,572,597,664,756,866,897,916,956,961,1044,1184,1265,1359,1380,1352,1414,1493,1575,1718,1873,1956,2075,2104,2774,2825,2842,3041,3252,3306,3551,3784,3857
