region_schema,region_parent,region_child,agerange,2020-05-11,2020-05-12,2020-05-13,2020-05-31,2020-06-02,2020-06-04,2020-06-07,2020-06-14,2020-08-20,2020-08-23,2020-08-25,2020-08-26,2020-08-27,2020-08-30,2020-08-31,2020-09-03,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-13,2020-09-16,2020-09-20,2020-09-21,2020-09-22,2020-09-30,2020-10-05,2020-10-12,2020-10-19,2020-10-21,2020-10-26,2020-10-28,2020-11-01,2020-11-05,2020-11-08,2020-11-09,2020-11-13,2020-11-14,2020-11-15,2020-11-16,2020-11-17,2020-11-18,2020-11-19,2020-11-20,2020-11-21,2020-11-22,2020-11-23,2020-11-24,2020-11-25,2020-11-26,2020-11-27,2020-11-28,2020-11-29,2020-11-30,2020-12-01,2020-12-03,2020-12-04,2020-12-06,2020-12-07,2020-12-08,2020-12-09,2020-12-10,2020-12-11,2020-12-13,2020-12-14,2020-12-15,2020-12-16,2020-12-19,2020-12-20,2020-12-21,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2021-01-02,2021-01-04,2021-01-06,2021-01-07,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-20,2021-01-21,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-09,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-25,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-22,2021-03-23,2021-03-27,2021-03-30,2021-03-31,2021-04-01,2021-04-05,2021-04-07,2021-04-08,2021-04-11,2021-04-13,2021-04-18,2021-04-20,2021-04-22,2021-04-24,2021-04-26,2021-04-28,2021-05-01,2021-05-07,2021-05-08,2021-05-14,2021-05-15,2021-05-22,2021-06-05,2021-06-11,2021-06-12,2021-06-13,2021-06-15,2021-06-16,2021-06-18,2021-06-19,2021-06-20,2021-06-22,2021-06-27,2021-07-01,2021-07-02,2021-07-03,2021-07-04,2021-07-05,2021-07-06,2021-07-10,2021-07-11
admin_1,iq,iq-an,,2,2,2,5,5,1,5,17,1572,1728,1825,1888,1939,2209,2253,2400,2588,2614,2658,2734,2869,3101,3270,3328,3363,3650,3826,4045,4267,4350,4517,4561,4731,4891,5005,5050,5203,5255,5282,5315,5356,5394,5450,5517,5560,5614,5682,5737,5776,5828,5875,5910,5941,5986,6019,6061,6100,6197,6229,6271,6306,6343,6390,6542,6618,6687,6749,6885,7002,7002,7266,7290,7305,7326,7392,7425,7456,7467,7489,7500,7513,7592,7659,7728,7806,7847,7856,7895,7903,7916,7921,7930,7936,7942,7955,7985,7994,7999,8004,8019,8022,8028,8036,8045,8054,8065,8075,8082,8088,8097,8109,8118,8122,8129,8133,8139,8141,8148,8160,8163,8169,8177,8183,8188,8194,8197,8201,8207,8216,8223,8225,8232,8237,8241,8246,8252,8266,8282,8296,8300,8313,8324,8383,8413,8426,8445,8507,8543,8557,8600,8639,8735,8768,8804,8866,8915,9011,9095,9397,9434,9702,9719,10074,10942,11244,11263,11284,11334,11385,11475,11502,11533,11692,11897,12045,12082,12125,12145,12188,12221,12364,12406
admin_1,iq,iq-ar,,196,197,200,217,228,230,233,292,4910,5621,6069,6349,6645,7425,7680,8453,9106,9327,9540,9752,10614,11203,12058,12273,12459,14043,14811,15569,16397,16659,17357,17462,18034,18503,18848,18954,19359,19468,19571,19683,19788,19788,19909,20129,20233,29349,20463,20578,20695,20812,20940,21042,21161,21275,21392,21511,21618,21950,22055,22170,22283,22399,22516,22722,22836,22955,23073,23417,23756,23756,24539,24660,24762,24870,25783,26470,27149,27490,28183,28558,28919,29270,29641,30325,30706,31069,31450,32165,32486,33159,33524,33857,34224,34547,34899,35013,35066,35111,35151,35189,35224,35278,35320,35351,35445,35548,35588,35630,35671,35724,35767,35843,35894,35964,35995,36026,36094,36153,36204,36225,36257,36295,36338,36389,36447,36508,36564,36628,36703,36766,36834,36885,36947,37021,37092,37167,37229,37289,37363,37427,37557,37621,37901,38135,38218,38295,38655,38835,38927,39194,39373,39840,40022,40209,40410,40623,40862,41067,42448,42698,44320,44507,46469,49991,51261,51466,51661,51974,52097,52334,52464,52546,52678,53068,53440,53548,53620,53725,53811,53905,54303,54398
admin_1,iq,iq-ba,,304,347,373,658,681,708,764,925,10285,11495,12225,12487,12830,14303,14709,15841,17247,17824,18199,18509,19813,20790,22120,22430,22675,25450,27259,29790,32045,32477,33034,33177,33785,34316,34841,34949,35492,35594,35667,35773,35900,36043,36148,36269,36395,36530,36594,36674,36785,36901,36996,37062,37161,37236,37316,37391,37431,37527,37563,37604,37648,37728,37781,37948,37996,38059,38119,38218,38283,38283,38452,38495,38526,38554,38635,38683,38722,38753,38788,38813,38837,38851,38869,38900,38920,38936,38954,38986,39008,39053,39074,39098,39117,39160,39191,39248,39283,39304,39318,39346,39388,39418,39455,39470,39523,39577,39612,39670,39741,39798,39904,39984,40096,40355,40485,40738,40948,41150,41497,41797,42135,42371,42785,43192,43590,44181,44807,45510,46020,46643,47162,47656,48317,48842,49760,50669,51519,52452,53158,53912,55181,55970,58847,60884,61746,62452,65574,67112,67892,69791,71506,75882,77708,79254,80813,82731,84308,86251,91312,92063,96065,96684,102011,112200,115938,116818,117322,118556,119277,120459,121061,121774,123393,126308,129433,130132,130817,131599,132387,133346,136598,137363
admin_1,iq,iq-bb,,26,26,26,41,41,43,45,90,7425,7672,8107,8329,8436,8959,9101,9362,9688,9807,9994,10131,10485,10745,11046,11208,11295,12289,12764,13770,14373,14430,14935,15043,15505,15784,16101,16169,16381,16450,16506,16636,16707,16732,16767,16868,16922,17057,17133,17250,17284,17373,17433,17603,17666,17839,17914,17980,18053,18556,18650,18825,18950,18998,19023,19152,19269,19325,19365,19496,19526,19526,19802,19835,19851,19874,19967,20013,20045,20050,20068,20079,20089,20095,20099,20125,20130,20137,20152,20190,20199,20236,20272,20303,20335,20353,20387,20428,20446,20451,20475,20488,20513,20558,20600,20609,20658,20699,20730,20746,20794,20816,20862,20937,21050,21290,21376,21519,21645,21923,22295,22426,22650,22807,22906,23066,23174,23417,23608,23858,24108,24287,24426,24580,24779,24925,25134,25319,25460,25525,25671,25838,26286,26372,26685,27350,27438,27571,27986,28170,28399,28839,29121,30068,30468,30835,31296,31807,32204,32757,34757,34905,35863,36011,36831,38151,38824,38911,39061,39255,39345,39523,39611,39713,40096,40945,41721,41985,42120,42257,42598,42931,43805,44067
admin_1,iq,iq-bg,,118,119,124,426,447,763,923,1563,21528,22466,23215,23425,23960,25569,26005,26997,28127,28589,28939,29239,30832,32042,34393,35004,35609,40810,44998,50309,55407,56282,60164,60894,63890,66250,68263,68866,70913,71533,72163,72832,73735,74155,74759,75410,76012,76413,76762,77173,77526,77831,78176,78481,78933,79237,79607,79817,80162,81171,81515,81936,82229,82604,83005,83761,84076,84477,84689,85744,86334,86334,87707,87952,88198,88338,89057,89555,89979,90209,90586,90798,91005,91216,91334,91613,91846,92033,92201,92591,92795,93302,93493,93699,93929,94105,94337,94775,94959,95159,95361,95566,95767,95967,96129,96323,96840,97254,97554,97954,98217,98589,98959,99169,99499,100354,100756,101176,101686,102475,103535,104254,105061,105780,106292,106942,107592,108365,109033,109734,110457,110907,111608,112218,113008,113709,114511,115287,115790,116580,117310,117962,119399,120138,123230,125738,113129,127309,130842,132667,133595,136596,139048,143732,138491,148940,151539,153966,156333,159117,168115,169215,176230,177209,184207,194730,199500,200209,200940,202608,203440,205138,205956,206830,208635,213136,217140,218066,218929,219914,221103,222276,226413,
admin_1,iq,iq-da,,19,19,19,19,19,26,26,58,861,942,942,942,981,1445,1445,1740,1946,2052,2052,2052,2423,2942,3549,3710,3836,4812,5390,7023,8198,8513,9305,9608,11102,12273,12913,12988,13978,14219,14450,14508,14799,14946,15086,15423,15635,15864,15865,15906,16063,16275,16277,16522,16884,16915,17055,17215,17222,17842,17862,18293,18295,18626,18818,19059,19290,19462,19628,20008,20474,20474,21343,21520,21783,21867,22611,23368,24118,24494,25190,25510,25846,26215,26572,27309,27646,27989,28313,29046,29397,30121,30468,30829,31186,31555,31939,32479,32761,33020,33309,33633,33943,34283,34505,34750,34750,34750,34750,34765,34781,34806,34834,34859,34888,34933,34939,34945,34951,35015,35079,35104,35145,35177,35264,35299,35361,35441,35493,35537,35611,35656,35714,35781,35809,35847,35961,36026,36106,36198,36242,36275,36374,36418,36792,37317,37577,37741,38532,39031,39320,39901,40366,41831,42536,43214,43871,44569,45385,46232,48777,49171,51636,51935,54099,57889,58825,58969,59067,59358,59460,59727,59824,59878,60254,61061,61834,62162,62461,62608,62919,63244,64860,64974
admin_1,iq,iq-di,,15,15,15,28,33,50,65,113,4787,5150,5382,5536,5661,6058,6125,6458,6814,6851,6921,6957,7363,7648,8099,8127,8184,8739,9397,10404,11488,11764,12602,12821,13615,14183,14562,14709,15203,15342,15544,15688,15799,15907,16037,16137,16265,16346,16511,16743,16937,17122,17232,17413,17562,17677,17771,17880,18017,18405,18493,18629,18901,18995,19109,19306,19380,19459,19554,19822,19947,19947,20504,20568,20629,20700,20953,21075,21242,21355,21509,21581,21613,21669,21742,21833,21890,21939,21955,22055,22110,22184,22232,22261,22292,22411,22664,22738,22798,22855,22910,22948,23008,23047,23105,23136,23175,23242,23287,23334,23388,23423,23463,23499,23547,23657,23711,23792,23836,24007,24133,24146,24194,24237,24312,24333,24363,24454,24513,24565,24676,24780,24907,25068,25201,25317,25416,25503,25599,25745,25888,26038,26267,26399,27097,27511,27605,27835,28683,29098,29197,29993,30400,32146,32710,33784,34970,36021,37506,38547,41788,42277,44249,44772,46785,49173,49735,49807,49907,50158,50251,50453,50566,50684,50916,51638,52384,52528,52685,52837,52920,53040,53908,54147
admin_1,iq,iq-dq,,58,62,62,82,82,,149,326,7729,8443,8737,8947,9113,9746,9941,10509,11214,11478,11677,11890,12812,13524,14673,14919,15205,17518,18798,20181,20771,20809,20964,21024,21253,21473,21594,21633,21731,21751,21783,21805,21823,21853,21870,21897,21915,21928,21953,21978,22005,22021,22040,22059,22080,22100,22128,22144,22155,22241,22281,22317,22343,22374,22412,22452,22472,22517,22577,22651,22692,22692,22806,22823,22834,22844,22879,22895,22912,22925,22937,22942,22946,22950,22954,22963,22968,22974,22979,22990,22998,23012,23019,23028,23039,23054,23065,23084,23099,23111,23124,23141,23159,23184,23208,23239,23276,23341,23366,23413,23440,23477,23593,23686,23770,23931,23990,24099,24275,24658,25004,25247,25598,25920,26174,26438,26620,26881,27083,27294,27479,27643,27757,27901,28069,28219,28431,28575,28725,28877,29050,29248,29665,29836,30425,30993,31067,31240,32011,32365,32545,33168,33545,34547,35089,35351,35864,36317,36628,37007,38362,38583,39250,39391,39996,41087,41771,41926,42096,42434,42576,42954,43158,43380,43931,45234,46619,47034,47477,47982,48391,48527,49970,50366
admin_1,iq,iq-ka,,83,83,90,124,124,186,187,340,9201,9995,10563,10855,11094,11817,12145,12940,13762,14120,14402,14568,14997,16105,16938,17157,17315,18346,18930,19430,19752,19839,20240,20259,20404,20527,20673,20699,20810,20842,20889,20918,20952,20952,20964,21015,21038,21087,21113,21146,21146,21152,21185,21204,21223,21236,21260,21260,21272,21348,21373,21382,21395,21407,21431,21467,21480,21487,21495,21536,21565,21565,21659,21675,21691,21700,21771,21783,21800,21805,21818,21824,21833,21835,21846,21895,21915,21953,21979,22029,22050,22126,22151,22191,22233,22251,22292,22388,22496,22579,22675,22778,22810,22899,22937,23031,23242,23397,23500,23634,23738,23872,24062,24146,24388,24995,25276,25594,26010,26726,27545,27845,28232,28567,29009,29443,29707,30044,30309,30600,30803,30930,31060,31283,31524,31797,32044,32336,32475,32617,32880,33071,33718,34019,34905,35527,35706,35812,36568,36915,37020,37649,38055,38908,39257,39446,39844,40243,40439,40681,41894,42035,42803,42895,43586,44902,45515,45719,45836,46211,46286,46516,46706,46853,47188,47942,48339,48509,48761,48965,49233,49484,50492,50843
admin_1,iq,iq-ma,,10,10,19,47,47,50,70,137,5867,6160,6525,6692,6851,7278,7370,7873,8325,8458,8614,8710,9383,9760,10401,10585,10743,12017,12786,13690,14428,14699,15366,15480,16011,16134,16235,16266,16362,16403,16444,16495,16549,16605,16686,16735,16810,16861,16901,16938,16968,17022,17052,17097,17137,17167,17192,17217,17252,17362,17400,17427,17451,17471,17490,17527,17538,17548,17557,17587,17611,17611,17666,17671,17677,17707,17733,17743,17757,17763,17771,17776,17784,17791,17800,17808,17813,17815,17819,17823,17824,17834,17841,17854,17861,17862,17864,17877,17880,17883,17889,17892,17898,17911,17917,17922,17939,17962,17974,17985,18008,18013,18029,18034,18035,18085,18110,18145,18170,18204,18309,18364,18421,18467,18490,18546,18632,18719,18777,18863,18951,18972,18995,19077,19192,19309,19477,19594,19700,19798,19889,20060,20326,20502,21154,21829,22083,22270,23346,23994,24192,24991,25647,27366,28225,28841,29570,30370,31115,31953,34836,35295,37171,37517,39061,41245,42237,42407,42584,42921,43017,43280,43466,43629,44022,44681,45234,45439,45746,46034,46278,46569,47378,47766
