region_schema,region_parent,region_child,agerange,2020-05-11,2020-05-12,2020-05-13,2020-05-31,2020-06-02,2020-06-04,2020-06-07,2020-06-14,2020-08-20,2020-08-23,2020-08-25,2020-08-26,2020-08-27,2020-08-30,2020-08-31,2020-09-03,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-13,2020-09-16,2020-09-20,2020-09-21,2020-09-22,2020-09-30,2020-10-05,2020-10-12,2020-10-19,2020-10-21,2020-10-26,2020-10-28,2020-11-01,2020-11-05,2020-11-08,2020-11-09,2020-11-13,2020-11-14,2020-11-15,2020-11-16,2020-11-17,2020-11-18,2020-11-19,2020-11-20,2020-11-21,2020-11-22,2020-11-23,2020-11-24,2020-11-25,2020-11-26,2020-11-27,2020-11-28,2020-11-29,2020-11-30,2020-12-01,2020-12-03,2020-12-04,2020-12-06,2020-12-07,2020-12-08,2020-12-09,2020-12-10,2020-12-11,2020-12-13,2020-12-14,2020-12-15,2020-12-16,2020-12-19,2020-12-20,2020-12-21,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2021-01-02,2021-01-04,2021-01-06,2021-01-07,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-20,2021-01-21,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-09,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-25,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-22,2021-03-23,2021-03-27,2021-03-30,2021-03-31,2021-04-01,2021-04-05,2021-04-07,2021-04-08,2021-04-11,2021-04-13
admin_1,iq,iq-an,,5,5,5,6,6,12,41,150,2566,2796,2937,3022,3084,3207,3262,3319,3410,3458,3477,3511,3640,3736,3864,3898,3924,4202,4357,4570,4838,4947,5182,5252,5475,5719,5860,5911,6090,6139,6180,6235,6288,6337,6435,6531,6598,6663,6773,6836,6919,6962,7015,7062,7109,7142,7179,7213,7264,7350,7380,7408,7447,7480,7515,7537,7572,7599,7634,7716,7760,7760,7857,7870,7888,7902,7947,7956,7976,7981,8004,8010,8022,8037,8045,8063,8069,8073,8080,8089,8099,8106,8108,8115,8125,8133,8139,8150,8157,8161,8169,8175,8179,8181,8190,8197,8211,8221,8235,8240,8245,8257,8267,8281,8288,8294,8296,8306,8312,8322,8338,8340,8351,8365,8374,8382,8392,8396,8404,8408,8423,8432,8436,8446,8449,8456,8462,8471,8492,8530,8550,8573,8610,8625,8697,8758,8793,8834,8946,9040,9079,9171,9234
admin_1,iq,iq-ar,,212,212,212,281,281,292,372,619,9509,10136,10606,10870,11090,11631,11800,12420,12902,13183,13382,13575,14260,14848,15513,15739,15849,17676,18813,20696,22601,23328,25360,26063,28278,30080,30959,31262,32367,32528,32759,32982,33138,33217,33371,33673,33739,33932,34084,34219,34363,34486,34591,34630,34728,34839,34930,35022,35119,35279,35389,35478,35542,35595,35636,35692,35746,35789,35833,35918,35994,35994,36178,36200,36219,36235,36307,36359,36400,36430,36454,36465,36482,36496,36515,36556,36562,36592,36613,36642,36659,36673,36689,36704,36708,36714,36729,36746,36754,36767,36780,36788,36800,36809,36812,36829,36881,36916,36939,36948,36988,37018,37068,37119,37162,37239,37334,37429,37500,37686,37805,37940,38025,38107,38219,38333,38475,38538,38691,38853,39015,39173,39340,39510,39552,39754,39881,40043,40266,40461,40629,40675,40876,41025,41705,42500,42718,42889,43767,44158,44421,45101,45772
admin_1,iq,iq-ba,,583,601,633,827,849,943,1309,1624,17855,19103,19860,20180,20434,21444,21763,22442,23363,23602,23961,24360,25872,26921,28445,28648,29037,31638,32865,33610,34854,35252,35858,36059,36698,37153,37516,37562,37953,38003,38078,38132,38235,38291,38326,38362,38397,38427,38463,38504,38559,38647,38699,38786,38849,38897,38984,39007,39075,39173,39231,39277,39299,39327,39339,39369,39409,39434,39462,39544,39592,39592,39724,39748,39762,39780,39833,39858,39887,39904,39947,39971,40010,40037,40080,40136,40150,40182,40203,40238,40267,40309,40339,40376,40392,40417,40444,40498,40533,40592,40644,40715,40821,40901,41013,41136,41404,41868,41969,42118,42314,42518,42799,43146,43484,44305,44704,45297,45924,47361,48774,49436,49961,50882,51843,52815,53749,54546,55303,55972,56780,57676,58596,59306,60100,60722,61348,62202,62888,63685,64300,65185,66723,67461,70607,73044,74033,74856,77768,79521,80397,82825,84815
admin_1,iq,iq-bb,,47,47,47,127,131,191,360,569,9452,9718,9921,10084,10217,10621,10767,11061,11286,11349,11422,11519,11954,12330,12793,12884,13015,14131,14628,15116,15769,16034,16400,16487,16858,17187,17320,17442,17812,17848,17938,17997,18176,18241,18418,18526,18614,18698,18882,18966,19200,19301,19583,19610,19661,19716,19780,19813,19914,20043,20081,20108,20124,20139,20219,20263,20302,20332,20362,20436,20497,20497,20600,20605,20618,20629,20649,20664,20685,20728,20764,20773,20798,20813,20845,20895,20920,20954,20987,21016,21020,21059,21085,21132,21177,21187,21227,21248,21284,21316,21332,21388,21428,21500,21613,21693,21942,22174,22283,22385,22556,22741,22909,23063,23313,23534,23692,23781,24019,24453,24878,25021,25181,25387,25536,25742,25930,26072,26140,26289,26458,26586,26756,26911,26995,27192,27283,27335,27583,27823,28010,28101,28343,28448,28838,29379,29541,29678,30128,30773,30958,31545,32009
admin_1,iq,iq-bg,,256,282,316,1235,1282,1617,2164,3602,25656,26489,27176,27401,27705,28748,29091,31205,33302,33877,34610,35252,37340,39517,42093,42919,43856,50231,54029,58761,63754,64952,67780,68532,70942,73698,75432,76071,78067,78403,78770,79092,79526,79888,80302,80618,80783,81056,81502,81943,82208,82620,83025,83349,83608,84027,84394,84831,85254,86205,86531,86949,87306,87556,87756,88056,88300,88525,88920,89793,90321,90321,91781,92015,92256,92475,93053,93341,93841,94074,94417,94547,94820,95122,95366,95864,96062,96223,96519,96920,97122,97523,97636,97825,98051,98268,98497,98978,99145,99404,99797,100200,100511,100883,101290,101389,102208,103106,103554,104023,104163,104836,105343,106116,106912,108533,108913,109606,110489,111963,113534,113813,114625,115343,116266,117213,118009,118818,119165,120144,120854,121696,122450,123178,123958,124307,125160,126140,126980,127839,128781,129669,131069,131513,135938,138582,128431,140566,144272,146498,147660,151271,154730
admin_1,iq,iq-da,,19,19,19,31,33,91,100,133,2368,2932,3325,3415,3493,3894,4137,4840,5620,5969,6240,6451,7526,8344,9425,9771,10124,12286,13710,15603,18043,18959,21004,21655,23569,25162,26125,26428,27706,27966,28087,28307,28554,28754,28937,29123,29299,29412,29590,29759,29894,30037,30181,30320,30425,30596,30766,30899,30964,31472,31655,31822,31980,32110,32209,32407,32510,32646,32787,33123,33255,33255,33843,33908,33997,34064,34252,34328,34437,34451,34678,34698,34771,34792,34909,34973,35006,35018,35063,35143,35177,35259,35272,35320,35363,35402,35442,35520,35539,35584,35608,35636,35660,35690,35706,35714,35754,35804,35846,35883,35899,35924,35958,35992,36044,36115,36137,36159,36201,36322,36407,36428,36484,36542,36614,36656,36732,36826,36845,36934,37024,37108,37183,37276,37287,37321,37462,37544,37713,37891,38084,38221,38506,38625,39614,40575,41024,41346,42778,43737,44162,45433,46167
admin_1,iq,iq-di,,20,25,26,70,74,97,108,328,5710,6139,6387,6478,6545,6825,6953,7188,7471,7519,7654,7786,8208,8380,8600,8663,8752,9865,10611,11697,12837,13078,13904,14058,14701,15287,15725,15834,16386,16467,16564,16777,17020,17224,17382,17553,17648,17765,17869,18000,18111,18286,18453,18515,18591,18726,18996,19111,19231,19556,19655,19742,19824,19924,19973,20127,20224,20309,20411,20670,20792,20792,21254,21356,21455,21554,21727,21827,21927,21968,22056,22079,22103,22129,22163,22256,22276,22314,22345,22463,22514,22586,22906,22948,22986,23032,23059,23178,23209,23273,23311,23347,23383,23428,23486,23546,23674,23785,23850,23888,23973,24009,24121,24201,24245,24361,24405,24436,24489,24627,24746,24787,24906,24991,25152,25265,25442,25524,25695,25753,25874,26018,26165,26311,26455,26546,26668,26812,27034,27175,27381,27548,27795,27889,28691,29312,29438,29685,30624,31380,31596,32664,33376
admin_1,iq,iq-dq,,72,72,72,136,136,,375,790,8971,9714,10180,10450,10563,11257,11468,12143,13030,13284,13570,13841,15088,15883,16916,17163,17452,19302,21012,21620,22000,22159,22350,22389,22507,22609,22671,22684,22777,22789,22799,22820,22849,22877,22893,22904,22919,22951,22990,23037,23073,23099,23130,23168,23186,23200,23220,23298,23363,23429,23447,23470,23562,23586,23596,23610,23625,23632,23643,23682,23701,23701,23745,23750,23754,23755,23765,23773,23790,23795,23813,23822,23827,23835,23842,23862,23877,23888,23898,23926,23938,23968,23986,24011,24035,24066,24083,24139,24168,24193,24235,24262,24299,24415,24508,24592,24753,24921,25097,25300,25480,25665,25826,26069,26420,26996,27260,27442,27761,28174,28523,28637,28781,28949,29099,29311,29455,29605,29757,29930,30128,30343,30545,30716,30825,30935,31089,31350,31561,31719,31918,31992,32267,32469,33291,33862,34094,34283,34943,35376,35615,36180,36693
admin_1,iq,iq-ka,,109,110,110,233,244,336,429,677,12131,12992,13522,13857,14117,14929,15180,15800,16515,16709,16936,17184,17761,18314,18773,18881,19001,19755,20131,20565,20818,20864,21024,21081,21221,21389,21452,21464,21599,21628,21650,21670,21692,21713,21732,21745,21770,21781,21793,21812,21848,21857,21883,21892,21905,21917,21944,21955,21981,22012,22022,22028,22052,22067,22081,22098,22104,22135,22158,22210,22224,22224,22322,22327,22334,22340,22360,22406,22443,22483,22528,22559,22580,22622,22656,22722,22764,22782,22823,22920,23008,23188,23287,23345,23434,23473,23569,23780,23833,23942,24045,24179,24285,24417,24609,24696,25177,25829,26155,26572,26907,27294,27619,28117,28419,29148,29592,30031,30297,30903,31401,31529,31660,31888,32131,32400,32650,32945,33086,33231,33506,33698,34091,34356,34656,34826,34966,35202,35532,35736,35969,36163,36454,36503,37391,37842,38102,38310,38948,39407,39580,40024,40250
admin_1,iq,iq-ma,,43,43,43,104,142,253,320,767,7579,7941,8232,8328,8570,9011,9082,9568,10039,10224,10382,10552,11159,11657,12252,12410,12580,13475,14086,14641,15410,15694,16189,16280,16660,16981,17136,17223,17456,17466,17504,17577,17627,17662,17691,17722,17729,17742,17776,17806,17827,17859,17884,17894,17908,17930,17946,17957,17961,18032,18048,18051,18062,18078,18091,18118,18124,18134,18137,18158,18171,18171,18208,18213,18218,18222,18239,18242,18253,18255,18261,18266,18281,18287,18294,18301,18308,18310,18316,18326,18329,18337,18339,18352,18358,18363,18364,18378,18388,18400,18411,18434,18439,18455,18461,18462,18512,18572,18597,18606,18631,18692,18731,18775,18830,18899,18955,19014,19070,19221,19330,19387,19469,19584,19701,19869,19987,20093,20191,20284,20458,20622,20727,20905,21041,21131,21362,21558,21749,21993,22241,22498,22887,23094,24423,25154,25426,25815,27113,27816,28261,29298,30032
