region_schema,region_parent,region_child,agerange,2020-07-22,2020-07-23,2020-07-24,2020-07-28,2020-07-29,2020-07-30,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-09-01
admin_1,ly,ly-ba,,0,7,8,0,0,25,8,0,12,0,0,6,1,9,0,34,69,0,40,0,61,0,0
admin_1,ly,اجدابيا,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
admin_1,ly,الأبيار,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
admin_1,ly,البريقة,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0
admin_1,ly,البيضاء,,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,2,-2,0,0,0,0,0,0
admin_1,ly,الجفارة,,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,4,0,1,7,8,4,2,
admin_1,ly,الجفرة,,7,0,-1,,,,,,,,,,,,,,,,,,,,
admin_1,ly,الجميل,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,4,0
admin_1,ly,الخمس,,2,1,9,0,0,2,0,0,1,5,8,32,8,26,11,1,9,-5,8,15,26,24,0
admin_1,ly,الرجبان,,,,,,,,,,,,,0,0,2,7,0,1,8,2,15,-1,0,0
admin_1,ly,الرحيبات,,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0
admin_1,ly,الرياينة,,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,1,8,2,6,0,0
admin_1,ly,الزاوية,,0,0,5,1,0,7,13,0,0,25,14,27,9,6,0,5,3,1,15,1,12,2,0
admin_1,ly,الزنتان,,0,0,1,0,0,3,0,0,0,0,1,5,0,0,0,29,2,5,10,4,7,3,0
admin_1,ly,الشويرف,,0,0,,,,,,,,,,,,,,,,,,,,,
admin_1,ly,العجيلات,,,,,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,5,0,0
admin_1,ly,العزيزية,,,,,,,,,,,,,,,,,,,,,,,,0
admin_1,ly,القلعة,,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,-6,0,0,0,0,0,0,0
admin_1,ly,الكفرة,,,,0,0,0,1,0,0,0,1,0,0,0,0,0,0,4,0,3,0,0,0,0
admin_1,ly,المحروقة,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
admin_1,ly,المرج,,,,,,,,,,,,,,,,0,0,0,0,11,0,1,0,0
admin_1,ly,بن جواد,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
admin_1,ly,بني وليد,,0,0,0,0,0,9,0,0,0,4,-3,4,-4,3,0,-2,3,11,1,1,1,13,0
admin_1,ly,ترهونة,,0,1,,,,,,,,,,,,,,,,,,,,,
admin_1,ly,تندميرة,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
admin_1,ly,جادو,,,,,,,,,,,,,0,0,1,0,5,6,0,0,1,-4,0,0
admin_1,ly,جنزور,,2,0,0,1,0,9,2,0,0,0,14,7,0,5,21,13,2,6,29,20,4,3,0
admin_1,ly,درنة,,,,,0,0,4,0,0,0,0,4,0,6,0,2,3,2,0,0,0,0,0,0
admin_1,ly,رقدالين,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
admin_1,ly,زلطن,,,,,,,,,,,,,,,,0,0,0,2,0,0,0,0,0
admin_1,ly,زليتن,,4,9,3,9,0,4,0,0,2,10,76,45,15,13,20,18,20,3,44,40,22,54,0
admin_1,ly,زوارة,,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,-1,1,0,5,1,2,5,0
admin_1,ly,سبها,,-20,-4,4,28,0,26,24,0,28,0,29,0,43,3,6,-5,0,1,22,-9,-19,-7,0
admin_1,ly,سرت,,,,,0,0,0,6,0,0,0,0,0,0,0,0,6,4,0,0,0,1,0,0
admin_1,ly,صبراتة,,6,0,0,0,0,0,0,0,0,6,1,4,-13,0,2,9,-14,2,0,2,0,0,0
admin_1,ly,صرمان,,0,0,0,0,0,0,0,0,0,1,-1,0,1,0,0,1,0,1,0,3,1,-6,0
admin_1,ly,طبرق,,,,,0,0,4,8,0,8,10,5,-3,1,-8,-2,6,4,-11,-7,1,7,-4,0
admin_1,ly,طرابلس,,46,37,74,16,0,112,48,0,11,69,256,114,95,179,252,241,123,108,396,301,142,110,0
admin_1,ly,غدامس,,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0
admin_1,ly,غريان,,1,0,0,0,0,0,0,0,7,0,20,4,3,3,1,0,12,8,15,3,8,5,0
admin_1,ly,قصر الاخيار,,0,0,0,0,0,0,0,0,0,0,5,0,2,2,-5,0,0,1,0,-4,6,0,0
admin_1,ly,قصر بن غشير,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
admin_1,ly,كاباو,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
admin_1,ly,ككلة,,0,0,,,,,,,,,,,,,,,,,,,,,
admin_1,ly,مزدة,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,8,0,0,0,0
admin_1,ly,مسلاتة,,0,1,11,0,0,2,0,0,0,0,4,0,1,1,0,0,0,0,4,0,0,7,0
admin_1,ly,مصراتة,,6,14,73,71,0,96,100,0,71,97,152,67,59,94,41,38,35,51,97,35,52,-19,0
admin_1,ly,نالوت,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
admin_1,ly,هراوة,,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
admin_1,ly,وادي الشاطيء,,7,6,6,0,0,18,7,0,6,12,11,-2,0,3,1,14,2,2,21,8,3,5,0
admin_1,ly,يفرن,,0,0,0,0,0,5,0,0,0,1,4,10,27,7,4,9,71,2,5,4,12,8,0
