region_schema,region_parent,region_child,agerange,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-31,2020-09-01,2020-09-02
admin_1,ly,ly-ba,,37,37,37,37,37,37,37,37,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
admin_1,ly,اجدابيا,,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
admin_1,ly,الأبيار,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
admin_1,ly,البريقة,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
admin_1,ly,البيضاء,,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,8
admin_1,ly,الجفارة,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
admin_1,ly,الجفرة,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin_1,ly,الجميل,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
admin_1,ly,الخمس,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,8,8,9,15,16,18,21,21,23
admin_1,ly,الرجبان,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
admin_1,ly,الرحيبات,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
admin_1,ly,الرياينة,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
admin_1,ly,الزاوية,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,4,8,8,8,8,8,9,9,16,16,16,18,18,18
admin_1,ly,الزنتان,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,6,6,7,7,13,13,14
admin_1,ly,الشويرف,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin_1,ly,العجيلات,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2
admin_1,ly,العزيزية,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
admin_1,ly,القلعة,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7
admin_1,ly,الكفرة,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
admin_1,ly,المحروقة,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
admin_1,ly,المرج,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
admin_1,ly,بن جواد,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
admin_1,ly,بني وليد,,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,3,7,7,7,7,13,13,13,13,13,13,16,16,18,18,23
admin_1,ly,ترهونة,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin_1,ly,تندميرة,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
admin_1,ly,جادو,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4
admin_1,ly,جنزور,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
admin_1,ly,درنة,,,,,,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
admin_1,ly,رقدالين,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
admin_1,ly,زلطن,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
admin_1,ly,زليتن,,15,17,18,19,23,24,24,29,36,36,36,36,36,43,48,48,49,49,58,62,66,66,77,89,98,99,107,110,120,120,132
admin_1,ly,زوارة,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
admin_1,ly,سبها,,180,206,213,226,258,279,279,279,279,279,279,279,282,285,285,285,285,285,311,324,334,335,335,337,337,357,378,392,401,401,407
admin_1,ly,سرت,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
admin_1,ly,صبراتة,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,13,13,13,27,27,27,27,27,27,27,27,27,27
admin_1,ly,صرمان,,11,11,11,11,11,11,11,11,11,11,11,11,11,13,15,15,15,15,17,17,17,17,17,17,18,18,18,24,28,28,28
admin_1,ly,طبرق,,,,,0,0,0,0,0,0,0,0,0,0,0,9,14,14,25,38,42,44,44,53,60,67,68,68,73,73,73,73
admin_1,ly,طرابلس,,152,153,153,153,164,166,166,178,178,178,178,178,178,180,180,180,180,180,183,183,183,183,183,183,183,183,183,189,189,189,302
admin_1,ly,غدامس,,2,2,,,,,,,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3
admin_1,ly,غريان,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,13,13,13,13,15,15,15,16,25,25,26
admin_1,ly,قصر الاخيار,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,10,10,10,10,10,15,15,15,15,15,15
admin_1,ly,قصر بن غشير,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
admin_1,ly,كاباو,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
admin_1,ly,ككلة,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin_1,ly,مزدة,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
admin_1,ly,مسلاتة,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,11,11,11,11,13,13,13
admin_1,ly,مصراتة,,28,37,38,39,41,41,41,41,53,55,55,63,67,89,103,114,127,153,164,164,168,168,173,173,173,173,173,233,333,333,384
admin_1,ly,نالوت,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
admin_1,ly,هراوة,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
admin_1,ly,وادي الشاطيء,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
