region_schema,region_parent,region_child,agerange,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-31,2020-09-01,2020-09-02
admin_1,ly,ly-ba,,46,46,54,63,67,67,67,93,101,110,110,122,122,126,126,134,135,144,162,162,200,271,271,314,359,359,420,420,500,500,500
admin_1,ly,اجدابيا,,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,23,23,23,29,29,29,29,29,29,29,44,44,44
admin_1,ly,الأبيار,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,,,,,,,,,,,,,
admin_1,ly,البريقة,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,6,9,9,9,9,9,9,9
admin_1,ly,البيضاء,,10,10,10,10,10,10,10,10,11,11,11,12,12,12,12,12,13,13,19,22,24,24,24,24,24,24,24,24,24,24,24
admin_1,ly,الجفارة,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,4,4,5,5,9,9,10,11,18,26,30,32,,,
admin_1,ly,الجفرة,,16,23,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin_1,ly,الجميل,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,4,4,4,4,9,9,9,13,13,13,13
admin_1,ly,الخمس,,15,17,18,28,30,30,30,32,34,34,34,35,40,64,72,104,112,138,161,172,173,182,182,192,201,222,250,276,349,349,376
admin_1,ly,الرجبان,,,,,,,,,,,,,,,,1,1,1,3,15,22,22,23,31,44,46,61,61,61,67,67,67
admin_1,ly,الرحيبات,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5
admin_1,ly,الرياينة,,7,7,7,7,7,7,7,7,7,7,7,7,7,7,9,9,9,9,9,11,11,11,12,13,21,23,29,20,21,28,31
admin_1,ly,الزاوية,,5,5,5,10,11,12,12,19,39,52,52,52,77,92,107,134,144,151,175,175,180,183,185,190,205,214,227,229,269,269,279
admin_1,ly,الزنتان,,4,4,4,5,5,5,5,8,14,14,14,14,14,14,15,20,20,20,20,20,49,51,56,86,96,100,108,111,143,143,159
admin_1,ly,الشويرف,,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin_1,ly,العجيلات,,,,,3,3,3,3,4,5,5,5,5,5,5,6,6,7,8,8,8,8,8,8,13,13,13,20,20,21,21,23
admin_1,ly,العزيزية,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2
admin_1,ly,القلعة,,7,7,7,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,20,20,20,20,20,20,20,20
admin_1,ly,الكفرة,,,,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,3,10,10,10,16,16,16,19,19,19,19,24,24,26
admin_1,ly,المحروقة,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,
admin_1,ly,المرج,,,,,,,,,,,,,,,,,,,,2,2,3,4,4,6,17,17,18,18,27,27,27
admin_1,ly,بن جواد,,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,12,12,12,,,,,,,,,,,,,
admin_1,ly,بني وليد,,13,13,13,13,13,13,13,22,26,26,26,26,30,42,42,46,46,49,62,62,66,69,80,80,82,83,87,100,130,130,134
admin_1,ly,ترهونة,,25,25,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin_1,ly,تندميرة,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,
admin_1,ly,جادو,,,,,,,,,,,,,,,,2,2,2,3,8,8,13,19,19,22,22,23,23,23,24,24,24
admin_1,ly,جنزور,,18,20,20,20,36,37,37,46,51,53,53,53,53,63,77,84,84,89,127,148,161,163,169,176,205,225,229,232,255,255,362
admin_1,ly,درنة,,,,,,1,1,1,5,5,5,5,5,5,7,11,11,17,17,22,24,27,29,29,29,29,29,29,29,29,29,29
admin_1,ly,رقدالين,,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,6,10,10,10,27,27,27
admin_1,ly,زلطن,,,,,,,,,,,,,,,,,,,,2,2,2,2,4,4,4,4,4,4,4,4,4
admin_1,ly,زليتن,,148,154,164,168,195,205,205,216,252,252,252,255,265,339,421,466,482,495,588,612,634,654,668,701,757,798,828,894,1027,1027,1051
admin_1,ly,زوارة,,5,5,5,5,5,5,5,5,5,5,5,5,5,8,12,13,13,13,15,15,15,16,16,16,21,22,24,29,40,40,42
admin_1,ly,سبها,,733,739,742,759,791,843,843,873,900,924,924,952,956,962,993,993,1036,1039,1079,1098,1103,1104,1105,1120,1142,1153,1156,1164,1194,1194,1199
admin_1,ly,سرت,,,,,1,1,1,1,1,1,8,8,8,8,8,8,8,8,8,9,9,15,19,19,19,19,19,20,20,21,21,21
admin_1,ly,صبراتة,,22,28,28,28,28,28,28,28,28,28,28,28,34,54,55,59,59,59,66,68,77,77,79,79,79,81,81,81,86,86,86
admin_1,ly,صرمان,,20,20,20,20,21,21,21,21,22,22,22,22,23,23,24,24,25,25,32,32,33,33,34,34,36,39,40,40,42,42,53
admin_1,ly,طبرق,,,,,1,4,4,4,8,14,24,24,32,43,58,72,74,75,78,96,98,106,110,110,115,116,118,125,126,126,126,133
admin_1,ly,طرابلس,,526,573,611,686,752,770,770,898,1035,1083,1083,1094,1163,1440,1696,1810,1905,2084,2556,2808,3047,3170,3278,3641,4037,4338,4480,4596,5191,5191,5475
admin_1,ly,غدامس,,3,3,,,,,,,,,,,,,,,,,,,,4,4,4,4,4,4,4,4,4,4
admin_1,ly,غريان,,14,15,15,15,17,17,17,17,18,18,18,25,25,27,48,52,55,58,89,91,91,103,108,133,150,153,161,168,210,210,216
admin_1,ly,قصر الاخيار,,4,4,4,4,5,5,5,5,8,8,8,8,8,12,17,17,19,21,22,25,25,25,26,29,29,30,36,36,36,36,37
admin_1,ly,قصر بن غشير,,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,
admin_1,ly,كاباو,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,
admin_1,ly,ككلة,,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin_1,ly,مزدة,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,11,11,11,11,11,11,11
