region_schema,region_parent,region_child,agerange,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-31,2020-09-01
admin_1,ly,ly-ba,,6,6,13,21,24,24,24,49,53,61,61,73,73,77,77,83,84,93,109,109,143,212,212,253,293,293,354,354,434,434
admin_1,ly,اجدابيا,,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,16,16,16,22,22,22,22,22,22,22,37,37
admin_1,ly,الأبيار,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,,,,,,,,,,,,
admin_1,ly,البريقة,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,6,9,9,9,9,9,9
admin_1,ly,البيضاء,,4,4,4,4,4,4,4,4,5,5,5,6,6,6,6,6,7,7,13,16,18,16,16,16,16,16,16,16,16,16
admin_1,ly,الجفارة,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,4,4,5,5,9,9,10,11,18,26,30,32,,
admin_1,ly,الجفرة,,14,21,21,20,,,,,,,,,,,,,,,,,,,,,,,,,,
admin_1,ly,الجميل,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,8,8,8,12,12,12
admin_1,ly,الخمس,,14,16,17,26,28,28,28,30,32,32,32,33,38,62,70,102,110,136,155,166,167,176,171,178,186,201,227,251,321,321
admin_1,ly,الرجبان,,,,,,,,,,,,,,,,1,1,1,3,15,22,22,23,31,44,46,61,60,60,66,66
admin_1,ly,الرحيبات,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,5,5,5,4,4
admin_1,ly,الرياينة,,7,7,7,7,7,7,7,7,7,7,7,7,7,7,9,9,9,9,9,11,11,11,12,13,21,23,29,29,30,30
admin_1,ly,الزاوية,,4,4,4,9,10,11,11,18,38,51,51,51,76,91,105,132,141,147,167,167,172,175,176,180,195,196,208,210,247,247
admin_1,ly,الزنتان,,4,4,4,5,5,5,5,8,14,14,14,14,14,14,15,20,20,20,14,14,43,45,50,79,89,93,100,103,129,129
admin_1,ly,الشويرف,,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
