region_schema,region_parent,region_child,agerange,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-14,2020-07-15,2020-07-16,2020-07-17
admin_0,,sn,,0,1,-2,0,0,0,2,-1,3,0,7,-10,-1,3,2,0,2,2,2,1,,,6,-7,8,-3,1,8,-7,2,-10,7,0,-9,1,7,-4,-1,9,-2,-11,9,-3,7,6,-14,1,9,-7,25,-5,7,29,3,-12,7,24,-29,-8,40,0,-24,22,-31,46,-45,0,24,-8,102,-68,1,-26,37,-2,-68,13,9,24,1,-1,-30,4,12,-52,61,3,-14,25,4,-16,3,-1,-7,45,-40,-10,35,-5,-27,53,-9,48,-16,58,-20,-62,-18,31,9,17,-17,37,-3,-19,-2,20,-50,-9,41,17,-29,34,-18,81,-14,-49
admin_1,sn,bambey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,
admin_1,sn,bignona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,0
admin_1,sn,birkilane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,
admin_1,sn,bounkiling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
admin_1,sn,coki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
admin_1,sn,dakar-centre,,,,,,,,,,,,,,,,,,,,,,-3,0,0,0,1,1,-1,0,-1,1,,,,,,,,,,,,,,,,,,,,,-2,,,-2,-8,,,,,8,2,-10,17,-18,0,3,1,9,-5,,,,,6,1,-11,0,,,-6,3,11,-14,,,,,,,,,,4,2,4,,-4,0,5,-8,,4,10,-19,12,-7,,,,24,18,,21,-3,-10,8,,,-4,11,-2,-5,4,-5,10,0,-5
admin_1,sn,dakar-nord,,,,,,,,,,,,,,,,,,,,,,0,1,-1,1,-1,1,-1,0,0,0,,,,,,,,,,,0,,,5,0,,,,,2,,,17,-12,-8,,,3,-4,9,-6,,,-10,,,3,-1,-2,,,,,-1,14,-22,12,,,6,-3,-6,7,,,,,,,,,,3,-9,9,,-1,6,0,-11,,-4,0,10,-4,2,,,,7,13,,-1,-1,5,-9,,,6,-1,-1,-2,7,3,0,1,-10
admin_1,sn,dakar-ouest,,,,,,,,,,,,,,,,,,,,,,1,-1,2,-2,-1,1,7,-5,8,-12,2,0,2,,,,,,0,,,,,,,,,,,,,-2,1,2,-1,,,-11,-9,7,-9,35,-33,2,45,-41,-3,13,-8,,,,,17,-9,5,-9,,,19,-11,-2,-2,,,,,,,,,,9,-10,12,,-3,11,-7,4,62,3,14,-19,29,-14,,,,15,14,,2,9,-7,-2,,,-8,13,-12,6,2,1,18,-6,-12
admin_1,sn,dakar-sud,,,,,,,,,,,,,,,,,,,,,,2,-1,2,-1,2,-4,0,12,-12,10,-8,0,2,-2,,,,,,,,,1,,,1,-1,3,-3,1,2,7,-9,16,,,,15,-17,8,-4,,,-7,16,3,-6,-6,-2,,,,,12,6,-15,1,,,-15,5,-3,-5,,,,,,,,,,-7,-2,6,,1,-5,9,-15,,-1,3,0,5,0,,,,24,8,,12,1,-3,9,,,-5,7,9,-4,3,-11,8,6,-10
