region_schema,region_parent,region_child,agerange,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17
admin_0,,sn,,1,1,2,0,0,0,0,2,1,4,4,11,1,0,3,5,5,7,9,11,12,,7,13,6,14,11,12,20,13,15,5,12,12,3,4,11,7,6,15,13,2,11,8,15,21,7,8,17,10,35,30,37,66,69,57,64,88,59,51,91,91,67,89,58,104,59,59,83,75,177,109,110,84,121,119,51,64,73,97,98,97,67,71,83,31,92,95,81,106,110,94,97,96,89,134,94,99,89,124,119,92,145,83,74,122,106,164,144,82,64,95,104,121,112,95,132,129,110,108,128,78,69,110,127,98,132,63,45,126,112,63
admin_1,sn,sn-db,,,,,,,,,,,1,11,,,1,,1,1,,,,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,1,,,,,1,2,1,,4,6,7,7,4,6,15,,11,3,15,5,21,4,8,10,3,1,8,6,11,,10,,23,6,5,3,3,,7,3,1,1,4,,4,,,,,14,,7,5,1,13,,2,11,6,4,6,12,1,1,12,1,1,1,,477,478,18,21,,10,9,2,1,2,,3,1,2,3,1,1,,2,5,,1
admin_1,sn,sn-dk,,1,1,1,,,,,,,,,,,,,,,,,,3,0,0,0,0,1,2,1,1,0,1,2,2,1,2,,4,,2,1,1,1,1,1,6,6,3,2,2,1,4,2,4,13,11,3,,5,20,3,11,7,36,8,1,17,20,14,8,6,,12,,9,21,27,12,13,,25,10,15,12,7,,5,,,,,13,,15,8,6,12,,15,16,11,20,5,80,13,17,27,8,20,13,,899,910,925,939,,12,14,23,16,14,,18,10,23,11,17,19,5,6,24,18,6
admin_1,sn,sn-fk,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,1,1,2,1,6,2,,1,15,15,18,,,1,,1,,,3,,2,,,,1,,2,,
admin_1,sn,sn-ka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,1,,,,,,,,,3,3,3,3,,,,,1,,,,,,,,,,,,,
admin_1,sn,sn-kd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,3,5,13,12,17,,4,,,,,,,1,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,71,71,71,,,,,,1,,,,1,,,,1,,,2,
admin_1,sn,sn-ke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,1
admin_1,sn,sn-kl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,,1,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,7,2,,,1,,1,,4,28,28,33,,2,3,1,7,4,,5,5,,4,,3,,1,,2,
admin_1,sn,sn-lg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,3,4,9,,7,2,1,,,1,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,4,,,,,,,,,,,,,1,1,1,,,,,,,1,,,,,,,,,31,31,31,31,,,,,,,,,,,,,,1,,,,
admin_1,sn,sn-mt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,4,,2,1,1,,2,,,1,,1,13,13,13,,,,,,,,,,,,,,,,,,
