month,seek
2020-01,62
2020-02,126
2020-03,1410
2020-04,34752
2020-05,350571
2020-06,941556
2020-07,1499828
2020-08,2063402
2020-09,2631144
2020-10,3160658
2020-11,3715091
2020-12,4274568
2021-01,4910645
2021-02,5544160
2021-03,6117261
2021-04,6654400
2021-05,7247657
2021-06,7862301
2021-07,8438175
2021-08,9007305
2021-09,9476002
2021-10,9931238
2021-11,10398068
2021-12,10848049
2022-01,11309079
