month,seek
2020-02,62
2020-03,5053
2020-04,90848
2020-05,230851
2020-06,400262
2020-07,557686
2020-08,726082
2020-09,895883
2020-10,1056866
2020-11,1221370
2020-12,1383942
2021-01,1551452
2021-02,1718718
2021-03,1870472
2021-04,2008777
2021-05,2169709
2021-06,2343777
2021-07,2508952
2021-08,2666501
2021-09,2830217
2021-10,2988891
2021-11,3002320
2021-12,3007156
2022-01,3011667
2022-02,3015656
