month,seek
2020-01,62
2020-02,62344
2020-03,232987
2020-04,593405
2020-05,1094330
2020-06,1631364
2020-07,2134373
2020-08,2648408
2020-09,3183388
2020-10,3665677
2020-11,4195172
2020-12,4717177
2021-01,5303473
2021-02,5915201
2021-03,6301010
2021-04,6892415
2021-05,7462493
2021-06,8074614
2021-07,8644454
2021-08,8952272
2022-01,9414660
2022-02,10196592
