month,seek
2020-01,62
2020-02,17183
2020-03,63637
2020-04,131979
2020-05,221371
2020-06,429370
2020-07,966125
2020-08,1553468
2020-09,2153408
2020-10,2736786
2020-11,3342754
2020-12,3940915
2021-01,4567949
2021-02,5196735
2021-03,5765739
2021-04,6396444
2021-05,7007527
2021-06,7639066
2021-07,8250858
2021-08,8883368
2021-09,9516681
2021-10,10130311
2021-11,10764971
2021-12,11379232
2022-01,12014232
